,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
494,더클래스효성,0.12191018658065851,0.2683941938671376,0.3720135348211612,0.020996469348423356,0.06461359088084692,0.041683430760178025,0.007169839719508525,1.0,6.361808017782931e-307,1.4495545733148178e-307,3.7108819806245604e-308,4.784698867857733e-308,3.122355334143367e-308,2.7137702886434637e-308,2.729384938101624e-308,3.550622968564434e-308,5481.0,1400.0,0.18
495,피플앤코,0.09632020743500166,0.2251076618673443,0.05650983084126916,0.013376776050378444,0.026901669938706258,0.5266437149349438,0.005490442319987717,4.772118093822415e-307,4.779053386940867e-307,5.537749206855688e-307,1.3960692798724596e-307,1.0,1.01084048803178e-307,6.718013011188557e-308,6.861040264033116e-308,1.6906891530578286e-307,3891.0,229.8,0.64
496,야마하뮤직코리아,0.09810299852544488,0.2493968021390483,0.45382148067636097,0.015444739217048876,0.042357350883389974,0.04036316252562683,0.00577875154410217,0.2762723860339747,0.2462514965677485,0.0287737642920944,0.007728685169933445,0.011113327766864831,0.006925496004212363,0.0060638973587509885,0.006166221204481767,0.008010737412908872,5645.0,844.9,0.11
497,태영상선,0.8498302128967494,0.08140290360343683,0.009086676118873538,0.0037880169795321003,0.004278514392525415,0.00509675598630222,0.012300504180042488,0.4561564486175741,0.03454372668996211,0.012072018325781381,0.003534736871789284,0.004053100164976923,0.003242086586643957,0.0029993487374993183,0.0030157700397510797,0.003482677221237297,4829.0,999.2,0.51
498,넥스트플레이어,0.15644150891322148,0.048845556620598383,0.0038404332587790363,0.0015341772323740138,0.0017884168954762397,0.0023887525115278935,0.006155374510524526,0.7125708764356556,0.07117499704190079,0.02209357995151854,0.006407160268360295,0.007652967690623915,0.005920355286307127,0.005445704782622278,0.005496282697128924,0.006439882636395191,4356.0,144.7,0.86
499,우신라보타치,0.10595570209987164,0.3978203935018824,0.09341986071531687,0.012535486553092268,0.02718514185478958,0.04313619468458392,0.006218807165814599,0.13791913545584938,0.15270653947287255,0.12340821414806173,0.02945914503181277,0.35901307810366617,0.022640820157644924,0.016158977165944464,0.01649638063384714,0.03380722414900152,4259.0,212.9,0.35
500,공항철도,0.34900851703796676,0.4531759923117846,0.018347915987185107,0.00671615563040559,0.008206184566074028,0.011688890130407048,0.022546417194052638,0.6892177850049128,0.04966963134343022,0.016811836571690136,0.004956597800151159,0.005781766350582838,0.004619478238859923,0.0042889425580960126,0.004325052056033315,0.004976102507990727,6032.0,4186.5,0.07
501,복정제형,1.0,7.927670159636398e-307,5.192768344863715e-308,1.969679021609566e-308,2.3565680790683437e-308,3.1176140945502953e-308,8.771126058413049e-308,1.0,3.1674455797241045e-307,8.408164274471053e-308,2.403883970909897e-308,2.9896961709604493e-308,2.2141117459032585e-308,2.0173748500817873e-308,2.041684068782362e-308,2.4419128932408753e-308,3147.0,1074.8,0.35
502,하니웰애널리틱스,0.629994281057894,0.23302312815382786,0.014338843188561738,0.005361689323770331,0.00651105476996954,0.008970862713924154,0.0219135572271874,1.0,2.0632509092488383e-307,7.005325964664924e-308,2.048004971194174e-308,2.3942548917407315e-308,1.9027664739517166e-308,1.7625143585960697e-308,1.775822866761303e-308,2.0517342994307646e-308,2815.0,1523.9,1.18
503,아식스코리아,0.18915283864964086,0.7570861113186061,0.012519190784587833,0.004219538878720116,0.005515325762582843,0.007689412310084937,0.011620317370242677,0.2521916165140575,0.3388803022879368,0.06213016559684101,0.014266472964576934,0.02195514018574332,0.011659059090183563,0.00973571509640836,0.009811352775102125,0.013881316480666733,3929.0,966.5,0.74
504,제때,0.09615223809128659,0.34858424347965533,0.03820291674313364,0.008072889850028069,0.013497007302136535,0.026876582638026447,0.00570177162413023,0.3171934248332486,0.4594188608907239,0.07184748383368186,0.016614896422632395,0.021387850899787883,0.012832870284218622,0.01080459326055632,0.010814703209430393,0.014939194922845624,5310.0,2292.4,0.16
505,솔리드이엔지,0.2420181121067751,0.648308806939643,0.02919479133607645,0.009237406380369668,0.012612378857124375,0.018817188183307142,0.014734100810727466,0.4967882763429999,0.060248226531821505,0.018500635661152547,0.0051959931923861455,0.006206147484302432,0.004645646156639056,0.004213852033608749,0.004236286651368027,0.0050821399330006805,4690.0,526.7,0.35
506,애터미,0.12583852710464377,0.5476708226168027,0.033826146846331756,0.00896535043470667,0.013886580795373185,0.03393276496212802,0.00727702031992094,0.9079302490946014,0.029343218109862124,0.010569250158525369,0.0031359933578826893,0.0035771961510797905,0.002921793557091242,0.002725081912644463,0.0027425633039277093,0.0031237645957718084,6032.0,1100.0,0.06
507,엔투비,0.3550638653551378,0.08445105039542761,0.007479021600174189,0.0029408706742973896,0.003408982009290831,0.004300364338910971,0.05323638270342327,0.9050118569969274,0.046686924810362226,0.017445010275909938,0.005259812783737736,0.005964115154588449,0.004967982596632394,0.00467319105258346,0.004708107701557194,0.005282998627701059,1350.0,1.3,0.33
508,제이더블유중외메디칼,0.872494412213269,0.07189770056357024,0.006123186579209385,0.002398447670968063,0.0028298844966750357,0.003700387230070421,0.012402627490107912,0.8332918869870326,0.054074537555188554,0.01719117055693103,0.00490109868431591,0.005745263224462025,0.004406612271944472,0.004021613364777447,0.004042289464343393,0.004789757583588014,3901.0,479.3,0.33
509,한국아즈빌,0.5853306598216202,0.05418580775441595,0.006147348879323651,0.002574678291620399,0.002897479501664306,0.003436060493946937,0.008001927191833541,0.7800606324652689,0.06940098372269225,0.024128678544337437,0.007069451712863597,0.008048656082849827,0.006448249303858127,0.005957190771380804,0.005987248198698188,0.006928469660633555,5906.0,434.5,0.16
510,올리브인터내셔널,0.12422805524988835,0.08360581291420904,0.004803876917350011,0.0018038226521929705,0.002176808503439345,0.0030995069568290055,0.006021517884388146,4.704591662863199e-307,4.637524005033709e-307,3.399668821251477e-307,9.50652725778237e-308,1.0,8.072236001406752e-308,5.791021920171397e-308,6.001602570929337e-308,1.267744485691651e-307,4586.0,272.0,0.52
511,펫프렌즈,1.0,6.9406104613341e-307,5.458359327534621e-308,2.117962172594063e-308,2.507435334620463e-308,3.250661282497594e-308,1.2950998476412135e-307,0.19401938647346947,0.2948956077209565,0.054109224073209033,0.012487546722399368,0.02046958822876155,0.010232107333807841,0.008478205962093154,0.008565930179496636,0.012327895830447539,4799.0,610.1,0.6
