,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
268,텐바이텐,1.0,3.47616362301354e-307,2.642890393458024e-308,3.4809054030963574e-308,3.864350080120149e-308,0.8759889987852163,0.021905724189067596,0.013283854858616353,0.008187514526561203,0.0084431832070024,3434.0,352.0,0.73
269,쉥커코리아,0.15381021625276867,0.1722498141768608,0.01360701354028954,0.04037536634369878,0.4612221351203898,0.6240189684088554,0.009640437832633676,0.005179899502227178,0.0042215802473338365,0.004312820327050066,5832.0,5193.0,0.22
270,엔에스쇼핑,0.5998088725464521,0.042933949351360176,0.003930778760922203,0.004912084281353116,0.005351520171156874,0.4928093079485652,0.017858879453639204,0.010773241068679027,0.0067177304631064715,0.006980991084393791,6360.0,5479.9,0.17
271,대성산업,0.6713438251909907,0.03421493177472768,0.0031516286882009585,0.003973962890793251,0.0042494520169653795,0.8678193976081097,0.009968288891654532,0.0051985338273622655,0.004461350806534611,0.004563913343844638,3139.0,58.3,0.24
272,포스코인터내셔널,0.630452805689257,0.04023535449612413,0.00375995207712941,0.004677615806937633,0.004970915204347193,0.7364004378908898,0.02095853214387393,0.012071680798608582,0.008272558405096461,0.008527043459082916,11581.0,30500.0,0.12
273,컴퓨존,0.733499922892186,0.038659774235509474,0.003932965299681614,0.004782307733796284,0.004911690027707403,0.760593399410257,0.03498508774920501,0.026947042184269458,0.012772874475926954,0.01277038163876384,4217.0,1100.0,0.22
274,엠티콜렉션,0.23073139294830122,0.014200207353189442,0.0014347318869426882,0.0016735912655163315,0.0017396591669799092,1.0,5.286874397421454e-308,2.847939856889029e-308,2.2406397114345616e-308,2.3098871648032893e-308,3647.0,657.4,0.84
275,에이랜드,0.9026955921337942,0.036905882744474296,0.004089116924848991,0.00485399017859642,0.005061655332273796,0.7372895052744588,0.01142101551792118,0.005935325636041486,0.005156203074288657,0.005267752897017132,1962.0,159.2,1.77
276,한국에스엠씨,0.49628350880705846,0.1565672394620163,0.00849123691751546,0.011341889783910115,0.013487637232646298,0.7088246360115327,0.013827319192605422,0.007632683420574676,0.005872146204238674,0.006010085993115856,6032.0,4967.6,0.07
277,한국화이자제약,0.6738096281041456,0.18519207960800677,0.008244589843653585,0.011789163211527265,0.013840124672598486,0.5390629521452451,0.012075392377852275,0.006713986495146242,0.005021569903823243,0.005164704771616628,6032.0,1700.0,0.18
278,아가방앤컴퍼니,1.0,1.5048582437110212e-307,1.653948994499568e-308,1.9715119665728767e-308,2.06079351448126e-308,0.9567943101023068,0.01235646538073018,0.006405627459086592,0.005629155642753023,0.005739453525549991,3731.0,1415.3,0.45
279,부산교통공사,0.9130860466800867,0.04350894519756876,0.0031041147558028338,0.004128157066449277,0.004817127816044645,0.8857468811060676,0.04622043014309238,0.03574375853953254,0.01599969521848924,0.01628923499281847,7395.0,2298.9,0.06
280,비티지,1.0,3.682377714978144e-307,2.622758181931519e-308,3.4873405755174663e-308,4.0675513863176047e-308,1.0,6.508615300495604e-308,3.53489224485395e-308,2.6637609044696157e-308,2.764487437379474e-308,3771.0,252.8,1.27
281,삼성물산 상사부문,1.0,2.141528726089816e-307,2.2159311524999513e-308,2.5676581561062005e-308,2.7570917125523956e-308,0.8794728230545125,0.008560629248606635,0.004502436926263019,0.0037947532452850003,0.0038860613301601515,6032.0,21100.0,0.1
282,교보핫트랙스,0.9050621837161602,0.0745356999016639,0.005362119944264949,0.007125893553513151,0.007914102884397768,0.6240864980190738,0.014611722729118412,0.007766045101164764,0.006189205283854423,0.006392159733789537,2514.0,948.3,1.5
283,트라이씨클,0.5955622900058221,0.030097800431492176,0.0028551304860803396,0.0035645837175386054,0.0037421918923602145,0.6929965361374083,0.011252859546570383,0.006117063785862066,0.004780517990685253,0.004913500790853288,4860.0,919.4,0.37
284,케이제이씨디스플레이코퍼레이션,1.0,2.382935399472795e-307,2.2314930925792643e-308,2.773696325683381e-308,2.8526778493128884e-308,0.537104083564199,0.09213057426538122,0.06316665465743117,0.021928409066427856,0.02331199506684066,4845.0,552.9,0.37
285,이니스프리,0.22084373504242918,0.023580349028490225,0.0020829606961876436,0.0024999346217400315,0.00258496017842285,0.4601622539821134,0.010932683822142325,0.006213287665928646,0.00458502001123943,0.004684323409682363,6032.0,3071.7,0.34
286,카스,0.6164061135009146,0.030036395969577315,0.003061603736425349,0.0037526614072730387,0.003859959404456034,0.9638371999602457,0.014832524827130884,0.00771920501495002,0.006740458917721131,0.0068706112799521895,4316.0,54.8,0.6
287,아이마켓코리아,1.0,2.1975782433945744e-307,2.2517837784345125e-308,2.615730410460657e-308,2.8100276732874493e-308,0.6482770685916964,0.016107487113312287,0.008588289707847144,0.006754292530113499,0.006988336910151364,6350.0,2400.0,0.19
288,비즈마켓,0.70275410318369,0.03745171142348296,0.003841023318155138,0.004468680502010226,0.004709116672479269,1.0,3.399422347681674e-308,1.7711219608931676e-308,1.52418471570273e-308,1.5593750709723255e-308,3847.0,317.5,0.44
289,필립스코리아,0.6840288131894601,0.03338826486364629,0.003613019422320993,0.004143011479671831,0.004364868919820586,0.9238817252395213,0.011524307062685177,0.006904153940826425,0.004557781954684384,0.004642377117928033,6032.0,3366.8,0.25
290,한성자동차,0.6346766517311547,0.025654425525213423,0.002653439368497677,0.0032105311890108456,0.003351067328408971,0.8801469135257366,0.008482824624018408,0.004481883682954169,0.0037739622398613136,0.0038517439245447484,5815.0,3300.0,0.13
291,스와치그룹코리아,1.0,7.0652523370881915e-307,3.4964673831588275e-308,4.901453878301126e-308,5.313019773806435e-308,0.5356924294677022,0.06394841614945186,0.042213453653692404,0.016963955971087442,0.01819726570724869,4518.0,3530.8,0.28
292,진에어,0.23704035496765163,0.012702886521017698,0.0013583654311935009,0.0015631363535920752,0.0016635392955288968,0.6742985166697038,0.011551519266558258,0.006160462579611921,0.004935338662800814,0.005089148700744933,5580.0,2471.9,0.27
293,비에스케이코퍼레이션,0.586132102224245,0.025905120686091868,0.0026909394133025626,0.003285658964059219,0.003396496692007134,0.6351260654588604,0.00984566267605035,0.005128678929561887,0.004449239820128769,0.004540631220904088,2531.0,672.2,1.61
294,에이치디엑스,0.6238689974762512,0.1306733075178688,0.00806077982924109,0.01056455529192696,0.012047814851660796,1.0,4.974662256785594e-308,2.7056188330573736e-308,2.1427328367238577e-308,2.190753485542408e-308,4142.0,619.9,0.3
