,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1539,에이엠텔레콤,0.9232574217559385,0.027603086236943502,0.015845459783068734,0.006091863897891874,0.005499589373294177,0.021702578952863257,0.7942233396957535,0.024947892431087436,0.008858533656514796,0.003930011076021954,0.003986506559464413,5658.0,663.9,0.22
1540,우인인더스트리즈,0.721861613210852,0.03173760244450401,0.01960595073184899,0.006788457187027541,0.005948137560933682,0.021451512819830307,0.43724008621687493,0.031120785771037496,0.0105145390040213,0.004340869738502497,0.004462889476920168,4978.0,1338.7,0.27
1541,케이투코리아,0.9197729884764455,0.02901285884186482,0.01663937327290632,0.006409558130912847,0.005790889813715224,0.02237433146415521,1.0,9.907735896954846e-308,3.537673195814355e-308,1.5876715367632735e-308,1.606293170132814e-308,6032.0,4022.0,0.21
1542,테크로스,1.0,1.657544043401801e-307,8.524044730002104e-308,2.8571795342185113e-308,2.2660522198367164e-308,3.730673469244164e-308,0.6877405665643345,0.0785789345866579,0.020786938741721737,0.008111862692387195,0.0080898366937601,2765.0,1820.4,1.06
1543,에몬스가구,0.2601482544562422,0.2702580250738897,0.05611214139689614,0.017619811701641702,0.01082311793544916,0.006355063162767667,1.0,1.1810443478228052e-307,4.1702403205099657e-308,1.8473401216501067e-308,1.8723574183569557e-308,4709.0,1398.7,0.34
1544,천호엔케어,1.0,2.1254612940418756e-307,1.2223126807266613e-307,3.7866209873086653e-308,2.9358083176813053e-308,4.672409461107616e-308,0.7712798697455052,0.03560061695102627,0.01292310947170368,0.005844401926307032,0.005923505924878013,3991.0,427.0,0.17
1545,두원공조,0.6517770783011742,0.05931419776307309,0.035722763317598605,0.009036273093699683,0.006636156103780167,0.008129747465829862,1.0,1.0297998920466758e-307,3.691980642399067e-308,1.639069247250208e-308,1.6672052531789166e-308,6032.0,8841.1,0.11
1546,삼부정밀화학,0.2404435464242318,0.0071047327534978395,0.004122737185011558,0.00153305245300205,0.0013645850923486725,0.00782386147931268,0.6407540902258239,0.035321614326147596,0.011410675726372195,0.0048200326271314,0.004868973070299473,5247.0,1396.7,0.56
1547,서진캠,0.7817061797422037,0.02560970873635172,0.015357478865168622,0.005264389520017222,0.004550850832962727,0.03298658039698379,1.0,7.77868852431131e-308,2.830977059695393e-308,1.28475098080396e-308,1.3010441901653857e-308,7094.0,3180.9,0.07
1548,한국브렌슨,0.751623493085797,0.04161115812609787,0.02323484137001291,0.00928028793266671,0.008467491802272685,0.02737347340885702,0.7050328007040232,0.024862242769718497,0.008872869392843208,0.0039853222753760366,0.004030586772735013,5653.0,328.7,0.38
1549,독립문,0.24720613186328888,0.21535839861998982,0.0788389575263477,0.322918683974193,0.046087806803351616,0.0072547458284777915,1.0,2.1933777199119667e-307,6.645302243446069e-308,2.732402455511775e-308,2.749432323754526e-308,5576.0,1139.1,0.38
