,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1810,한국해양교통안전공단,0.4123590224158885,0.0769613464125992,0.010550218205673572,0.0026050890510684573,0.0029842280932780795,0.003864975288907185,0.0047030430321745266,0.03676715581886217,0.8624107979404066,0.056326770945410776,0.015106264786549764,0.013655157796754143,0.012533395720761729,0.005534344068202466,0.005100415436090391,0.005139020539767136,0.0059327692778907495,6105.0,643.4,0.24
1811,나노엔텍,1.0,8.599113492955766e-307,8.816050273977723e-308,2.189070983483501e-308,2.5007356374158147e-308,3.2680813834393893e-308,3.8230327071690964e-308,9.17571665076796e-308,0.509842753264674,0.07753941487604293,0.016465881292005744,0.014266324453170467,0.012628940523580608,0.005329888999857763,0.00479122146281211,0.004829617653439902,0.005861681055980904,4909.0,342.3,0.23
1812,오디텍,0.30371556258881816,0.3092346828048942,0.02381952181488148,0.005492767960279287,0.006511439024960365,0.009404770724860423,0.012148238460315805,0.014783485047263132,0.8864017043344143,0.049006660699327985,0.014481411624964082,0.014049734920452193,0.012697733522973365,0.005945560941983261,0.005556840894859008,0.0056370031274653246,0.00622334993356041,4534.0,469.0,0.34
1813,만앤휴멜코리아,0.19455180561900343,0.35499839086926227,0.02030831672857442,0.00418804807361821,0.005304211617934764,0.007406124372501787,0.009609530480797962,0.010250656285934759,0.5183474475361701,0.04386566547775797,0.011668814794076266,0.01131753509662748,0.009957029855964715,0.004604945575410692,0.0042459432320877824,0.004317707914247639,0.004867847819537625,5989.0,2142.7,0.15
1814,아남전자,0.7081393700770247,0.04035089362906281,0.008688636588329817,0.0024188833780712533,0.0026382646983417173,0.003115930945004293,0.0034619048599530762,0.007214696683027011,0.5103336989634597,0.03018288604395173,0.008785770140006071,0.008395547840703742,0.007626498791314051,0.0035286948815380285,0.0032922813310765848,0.003332779506244877,0.0037101628048745736,5988.0,3491.2,0.15
1815,세경하이테크,0.9008561984608683,0.044890264509921424,0.009238705791399453,0.0025689436723894984,0.002809065915364195,0.0033652961974823207,0.0037380959789565338,0.0075903933807575435,0.38981151849578344,0.3306920891757699,0.04864374241086476,0.04337920432344443,0.03327065045306085,0.01350247258065212,0.011635744812712163,0.011783094182957506,0.015415266532227407,5318.0,1332.9,0.28
1816,쎄믹스,0.15259566420450132,0.17855978020286317,0.3850456967813657,0.017462417317152427,0.03253697566575306,0.04475503801853934,0.039454287335825386,0.007532704112258591,1.0,1.3478742272306596e-307,4.1390749258458616e-308,4.0431238112609563e-308,3.684710894489336e-308,1.7416104347112343e-308,1.6370537619863386e-308,1.660822080001666e-308,1.8130599362163203e-308,5730.0,1780.9,0.17
1817,에이케이켐텍,0.07528210761177492,0.05611285963568576,0.045172195551977434,0.20630182557751747,0.03714939979559696,0.01299564570998627,0.00914324993233691,0.003670261708041791,3.926657251597459e-307,1.773961906176705e-307,1.142862271099034e-307,1.7614688696175325e-307,1.9764879010033895e-307,2.4399307620955275e-307,1.0,3.7332215202725505e-307,1.2957584971266547e-307,3041.0,2765.5,1.13
1818,인알파코리아,0.4413913664475046,0.08551900379271704,0.012641657848852792,0.0032437932327316786,0.0036534341637581335,0.0046019870896351475,0.005342617766222313,0.02441644832401499,0.8770442063654957,0.021573778405124054,0.006792133672971358,0.006486066398639804,0.006050817891056735,0.0028197882610294287,0.002659829473666329,0.002686496631209377,0.0029436232151061467,5652.0,2233.0,0.14
1819,피플웍스,0.15787013822285273,0.18682020254266818,0.1271494394233511,0.016019672653502605,0.027617952200510713,0.21867104791803624,0.06227384374283289,0.007634911540195044,0.7861771856208732,0.0245596515535769,0.007847931663090476,0.007595379717254089,0.007055131800123384,0.003329177345326229,0.0031508033366197713,0.003186351682489405,0.003457728000185637,4903.0,2126.0,0.23
1820,대성하이텍,0.2576840165465361,0.023233914633792898,0.004736709528615854,0.0013126731682527465,0.001435934609474033,0.0017199386655477782,0.0019102108764579855,0.004018850086263226,0.9339081580440728,0.024025698537640475,0.007581042022197806,0.0072571075754006165,0.006755875743611219,0.00315692828139537,0.002980465243261265,0.0030102279023150403,0.003292111228752696,3532.0,55.9,0.66
1821,비아트론,0.23625818438190516,0.5729874031466451,0.04138288514570618,0.007920899896084356,0.010554476337858784,0.017264419875993392,0.02469831634865811,0.011610001268596121,0.673697541646957,0.04981541266041269,0.012589220450109356,0.011442108670337677,0.010291395964934816,0.004540458017597434,0.004158632192067717,0.004197583336137422,0.004884054288398079,5912.0,783.5,0.25
1822,티엠씨,0.1503057281190972,0.4951923669303127,0.09640075729394308,0.01275469497664671,0.019047499636470608,0.028991400010226032,0.02959332268926776,0.007541762843102195,0.6406415426076595,0.01729935915168552,0.00545737684139358,0.00523695095436933,0.004871542284801136,0.0022793668798965308,0.0021511264538935536,0.0021740776021449155,0.0023761419611913236,5669.0,2418.2,0.29
1823,동아전기부품,0.12571302092341624,0.12485894520508303,0.252605645367527,0.02371121984069002,0.05417130936484054,0.031772187917342466,0.021910347907167445,0.00602333893948549,0.6020044465306282,0.03658723335458305,0.010511491961737774,0.00993595909968505,0.009041694702277156,0.004147151562217924,0.0038621341251857343,0.0039042996487371725,0.004375980524020657,5172.0,785.4,0.4
1824,린데코리아,0.2342938346669363,0.056272388593725124,0.008381261659110179,0.0020788438398586582,0.002371411328531876,0.0030172033334161957,0.0036363117392859967,0.49119636898683394,0.38446917639568284,0.3115403658379343,0.044542490617422714,0.031584928200966346,0.02974324796036379,0.011190391741579315,0.009921853577401295,0.009864514387874907,0.012785551115095639,5269.0,3.1,0.46
1825,미원스페셜티케미칼,0.13303294879580627,0.1556236672514262,0.13139029407839845,0.01133300690673307,0.017193398713851248,0.03833599088896551,0.08564315940389894,0.0066516112974658505,1.0,1.9103662026416377e-307,5.530291080718701e-308,5.174383267213953e-308,4.763117451337561e-308,2.1664858847193044e-308,2.016296207670343e-308,2.0369346344738957e-308,2.2914330411961847e-308,6430.0,5348.0,0.1
1826,에이티아이,0.35188165548262074,0.3952660548125264,0.017707389138746144,0.004257327422979521,0.00494644720737913,0.006787689247303241,0.008221280114403026,0.014233288282263319,0.1823752542005872,0.27077903141118176,0.07394045393522078,0.07109552567285184,0.04066958830241239,0.014424575706493501,0.011623737653430263,0.011712398332579707,0.018054377997403,5358.0,349.7,0.14
1827,현대비앤지스틸,0.646767067619009,0.1095963741222213,0.012780367168384063,0.00314190864011605,0.003605991364711433,0.004722431451510145,0.005718714249272173,0.02850364195452946,0.6389344013617526,0.04509781458229832,0.012566922528913827,0.01183028074730854,0.01066700880031924,0.0048637544898882295,0.004509655544148176,0.004558917569823133,0.005152553848811309,7832.0,8549.5,0.17
1828,미래보,0.21669044567751364,0.5445283176502894,0.08971064658424711,0.012563621821137108,0.01823009514646316,0.035601573178958075,0.07178833706186866,0.010886962879522904,0.7299747344601413,0.028109237646614764,0.008969187983496756,0.008681957510965437,0.008060032603636816,0.0038030679000488786,0.003598388327648694,0.003639337072655897,0.003950417462618168,4470.0,338.7,0.17
1829,삼원색,0.7692988679401348,0.052913495930439446,0.010323278539503123,0.0027950022648848575,0.003077465329911701,0.00368904699050295,0.004150936702888509,0.011376274940039422,0.48060050467962206,0.26019620258686815,0.03692819893402907,0.03444752174115646,0.02713100570943476,0.01150452681858673,0.010060503098965617,0.010227403017061305,0.01284305878366955,4087.0,423.6,0.99
1830,서보산업,0.13878945316501387,0.11677463670527777,0.12864198115066047,0.04788069909619922,0.12291927040507525,0.029463802758565253,0.0195353156901666,0.006514913476490152,0.06887297436342252,0.031980111628329616,0.021510375484096438,0.03324472155751426,0.04153917033777711,0.04665324355313661,0.12244266897913837,0.04476068677310705,0.027100300611074702,4570.0,162.9,0.32
1831,세종공업,0.4323952263519321,0.26265271419545977,0.025941708605394825,0.0061196703337065275,0.007178013336818687,0.009939843718902223,0.012793118044147067,0.023260504446894547,0.9450650830568701,0.023480374983217596,0.007019441280850393,0.006829977829045691,0.006183401128636332,0.0029055950251054494,0.002720460897134826,0.0027600027025294514,0.0030356630966101765,7803.0,4035.3,0.12
1832,에스텍,0.7607085782907588,0.06764122058119645,0.013975400603359653,0.0038505630607351057,0.004216628146019471,0.005018568981950808,0.005607081472253539,0.012414382293392371,0.8819352890591557,0.045418773979427694,0.011364804036053423,0.009734207059187181,0.009028488929018775,0.003828265957696059,0.003493509336952728,0.0035062678969809973,0.004171257826172088,5259.0,4.5,0.47
