,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
147,유신,0.7665218009922348,0.008353573799668949,0.0016143544781252542,0.027074612827824626,0.02499019087391481,0.0012516456240471558,0.001624155589491813,0.0017988408854426176,0.0038533275450791816,0.8399366636115683,0.030913711373995532,0.033716628615054436,0.006577115447772534,0.00721492330669162,0.005982461552141158,0.0061540267937931605,6285.0,2622.4,0.14
148,에스지씨이테크건설,0.3462706866576157,0.019598189480683894,0.0034085565827836973,0.08017843553214134,0.08424444329708691,0.0024414906770244826,0.003460694628941139,0.003906024487684661,0.01063773379777384,0.5735040018762644,0.12187837052830269,0.09665787593667285,0.0150284587502259,0.01830605655071701,0.012564675964911615,0.012731822677374915,6082.0,1300.0,0.27
149,아이에스동서,0.10998990722722297,0.45022161119630544,0.028475281217573638,0.20781802811738725,0.08833994894050357,0.011871371773648491,0.031191166948760982,0.05996175799988074,0.012130926578716974,0.16654952665157874,0.20020165583694077,0.07649044595555891,0.03641175480505592,0.1036058970344569,0.02067845782128299,0.02172012368604943,7256.0,1300.0,0.16
150,세보엠이씨,0.061540948946160565,0.22275963936894422,0.012055588976900119,0.1548347686227629,0.0516606414595274,0.0054518011735351785,0.012170579037895923,0.018372638155157377,0.0071661822170048925,0.7925931294876234,0.014891992260315266,0.014572755232069736,0.003265464973555406,0.00352020271561805,0.003019028012354718,0.003090952525354975,7112.0,4306.8,0.42
151,코레일테크,0.09696183565441116,0.1423421770823954,0.01056777867218148,0.44139707659497346,0.08951202244301584,0.005813786969489886,0.010323524356704705,0.01326779597574635,0.01408173295269595,0.40318126292924933,0.06329627922486866,0.05811822532064879,0.008790086712715112,0.010670705666674196,0.007360640151496129,0.00750844335066116,4696.0,2440.9,0.76
152,한국종합기술,0.365413684285681,0.027536720254772763,0.004519026892698848,0.13439656346399625,0.15079096926141103,0.003164862475969402,0.004629566703812413,0.005287299113065784,0.015187258772382948,0.9177411196814389,0.028687526915708226,0.028665138564367178,0.006304535205548251,0.006807088793738486,0.005822652448688432,0.005971938390510395,2393.0,6.0,0.16
153,한국산업단지공단,0.18700050080469346,0.04685277847877957,0.006687271727079412,0.44444494361548076,0.19804586215942735,0.004367848283007281,0.006642241876482237,0.007822329579017661,0.03900476035677605,0.6042891378434202,0.13121276411977553,0.1464283958257389,0.018074129879310136,0.023440369701441793,0.014353743033929644,0.014928428377767521,7509.0,4831.6,0.23
154,서한,1.0,1.0648249462432297e-307,1.897765823258559e-308,4.073003602832461e-307,3.950756357800863e-307,1.401520303352946e-308,1.924765011580941e-308,2.153082355917147e-308,5.504297055776148e-308,1.0,1.066792082293888e-307,1.1046621954262702e-307,2.168744278215039e-308,2.386386362989555e-308,1.9665233175399085e-308,2.0096589346075425e-308,6233.0,6088.2,0.28
155,다원앤컴퍼니,0.5670641518699563,0.020008685563386495,0.003648033602239291,0.07305587667650845,0.07844825923519028,0.002710059046889175,0.0037180253254520553,0.0041705511968619996,0.009855260842554288,0.5492773689090865,0.03161307897702845,0.04984781185570205,0.005915773975168729,0.006823973458805886,0.00514796947719514,0.005318589377217945,5124.0,2425.6,0.87
156,해안종합건축사사무소,0.3349745871506988,0.02928409217717209,0.004770636772973844,0.1370921424279381,0.19743892393315982,0.0032932947067269573,0.004917730308291851,0.005690449356085204,0.014926823198920183,0.7231542478772144,0.08246162697917403,0.09480530017158716,0.011422614732059654,0.014190289384017759,0.009377730222836316,0.009653899824991884,5931.0,1896.6,0.14
157,한솔이엠이,0.02950295662489323,0.02083779665618517,0.002165135789022271,0.10795888841581229,0.029475935050150684,0.0013761612563954395,0.0021640734192722396,0.0026082156748361294,0.0046915734188915205,1.0,9.778207970100728e-308,1.0030632937221828e-307,2.0255311418229943e-308,2.221616320046672e-308,1.8398990975123917e-308,1.883308146913077e-308,2864.0,1747.7,1.18
