,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2130,일성신약,0.9215213842846649,0.046192430019446,0.013925357291878916,0.010738281361185348,0.004182254011426915,0.0034402930313979477,0.796812293228391,0.05554330972955446,0.023384215397379005,0.019994529889779265,0.00947580885492849,0.01167545625323378,0.007569070577307085,0.007752540764273655,4925.0,420.9,0.39
2131,시지바이오,0.07679872481455159,0.12871668241596712,0.5947305807331928,0.09033799658249013,0.02302552628460265,0.011028179094011725,0.7593179318504694,0.04439434233930235,0.021658598099671203,0.013041598893196548,0.009062458062209736,0.010104372255738712,0.007831162623171685,0.007900502322491407,4898.0,945.5,0.44
2132,하나제약,0.7081243276833052,0.1196117702385853,0.03764280355456059,0.028832796546022325,0.011305023929885473,0.009075099376040131,0.1914694279714774,0.3885724387564311,0.04379657652680032,0.017410245132410844,0.011594073912257422,0.013919732555605203,0.008480415455642706,0.008285968147670447,6220.0,1964.1,0.2
2133,종근당바이오,0.1472774332392352,0.6091678202879324,0.11196449185558638,0.09849777016296571,0.020431572725174513,0.012660911729105717,0.6103015703336746,0.06588682856077878,0.026707247480628298,0.019126152955000947,0.01068328302287363,0.012583032836382065,0.008741187556523502,0.008825128608626448,6256.0,1420.4,0.15
2134,경북대학교병원,1.0,8.737346794269268e-308,2.923161853464214e-308,2.203496325895843e-308,8.888887148252765e-309,7.562384793558755e-309,0.8262035318994689,0.019022293123259548,0.01093348376627323,0.006534295212999727,0.005134447087669861,0.005557490572474967,0.004741990730149473,0.004822270201067049,6939.0,7137.2,1.21
2135,동화약품,1.0,1.2296503502371045e-307,3.6079620027992355e-308,2.7239855940448776e-308,1.0639730858719704e-308,8.73728785068596e-309,0.7812842037203418,0.015198979644489907,0.008885592175597163,0.005207125221723026,0.004199032386333937,0.004511189567787379,0.0039075948653143925,0.003971545054353189,6896.0,2722.1,0.09
2136,제이더블유신약,0.5106245442132408,0.060769099234167734,0.016238653536414623,0.01305102111916913,0.004792765786085137,0.003948431215505967,0.7633267548927378,0.016679023713932314,0.00957404732210839,0.005624750718743611,0.004459418107056577,0.004808606719388399,0.004114055660753441,0.004173545065065972,6987.0,885.7,0.24
2137,비씨월드제약,1.0,2.7846263641636738e-307,5.716119010514066e-308,4.826574830154028e-308,1.6377796278012287e-308,1.282886027262616e-308,9.384125282327379e-307,5.048765478467982e-307,1.0,1.1545590729946775e-307,1.6768709142458637e-307,1.9874885581626085e-307,9.522586720926461e-308,8.983906699993359e-308,4085.0,608.5,0.22
2138,사회복지법인 밀알복지재단,0.7745602752418961,0.13186303647879216,0.020496831876519524,0.017466672256700632,0.005673211213621774,0.004306301043251619,0.6238871767623344,0.02250809453629278,0.011805374133272753,0.007110296671172484,0.005175272391404753,0.0057029845239555945,0.0045898751526246,0.004642622245753876,3365.0,726.7,0.88
2139,삼아제약,2.644388663900752e-307,1.0,2.1444957617908512e-307,2.0147718975629648e-307,3.8079318023124694e-308,2.3540745575453614e-308,0.7534437403488226,0.014136059476284737,0.007841364145049557,0.004579537651712477,0.003545398155640086,0.0038411214436596198,0.0032195400704802565,0.0032547353607868938,5572.0,546.7,0.17
2140,영진약품,0.18080461745121207,0.4673449835927511,0.13417234829308475,0.10787338514560227,0.025224953322896773,0.015381167231566522,1.0,8.413903024249558e-308,4.768582408897648e-308,2.775340841042271e-308,2.189214146920111e-308,2.3612791106873324e-308,2.006671541423659e-308,2.0313283668519847e-308,6514.0,1960.7,0.26
2141,유유제약,0.5386634042917102,0.09896259995440651,0.0269321708516202,0.020610076093865094,0.007890119740017274,0.006221952527990953,1.0,8.639034533705326e-308,4.878048622399358e-308,2.83505148331538e-308,2.229326304059995e-308,2.406745875001779e-308,2.038098999682533e-308,2.0631874492867695e-308,5006.0,912.8,0.34
