,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
1895,쏠리드,0.24052476087581987,0.01515980005531384,0.006161207904500067,0.0019307585765231308,0.0016746073037260316,0.0025080031109648124,3.200144498524802e-307,2.874668133900072e-307,1.0,1.3966566129048138e-307,1.375453685006265e-307,8.93853873185509e-308,8.007544942729993e-308,4133.0,46.0,0.15
1896,하이게인안테나,0.21038925271805914,0.17027725621577214,0.10208714617601436,0.03124552395212952,0.015773093748349985,0.18093681598176056,0.05299433617235971,0.03356180816732708,0.028459182214436437,0.04485188309402239,0.01812159091853421,0.12378706788857649,0.11094246211818827,4956.0,507.3,0.28
1897,에코프로,0.6450210933254513,0.0377546456420747,0.015793388926410204,0.0049914755554411085,0.004230918711155009,0.006398218935515195,0.8963675052733998,0.04442262917781013,0.01846437261583356,0.008590944424236142,0.009319369186932719,0.007954180140338097,0.008141251584315477,6929.0,173.6,0.2
1898,대주전자재료,0.15760945394484663,0.09048359343182752,0.1884498816066712,0.4466352686616356,0.030088873701234194,0.026666216810843708,0.7580375701104218,0.03631142028666778,0.014700583051994372,0.006695355834379704,0.007334998060925795,0.006131677429185774,0.0062656360630275795,5728.0,1525.0,0.15
1899,코칩,0.16932069102362043,0.09305455873525935,0.1362999496927586,0.5310255006882761,0.04098078129783752,0.02931851856224798,0.11971666197933532,0.13557940538138466,0.14630628472517193,0.06340387390740802,0.18050536409754955,0.029247341881118067,0.030148432417096565,3506.0,473.1,0.43
1900,모팜,0.711107647303022,0.06288262181556153,0.024345733711613124,0.007679240730451957,0.006386782289602584,0.010331424228771511,2.3892011522787043e-307,1.4621331801306516e-307,1.278099632729035e-307,1.760325331481105e-307,7.352246805112319e-308,1.0,2.59860242629678e-307,4289.0,703.9,0.46
1901,비츠로셀,0.2001355969599566,0.15239674103747075,0.08749752796875121,0.029483317802752953,0.015394463099813164,0.3505791233358706,0.9300351340814961,0.03147443092128471,0.013481444691545493,0.0063146665994263575,0.006766844914319622,0.005904898358288859,0.006022580433638766,5121.0,1116.6,0.13
1902,티엘비,0.8541808973727932,0.020394677837498498,0.008494407002824401,0.0025925645450104997,0.0022063832561893845,0.0032506065610119856,0.752599794945939,0.04466837771913844,0.019012170263667527,0.008926913716352243,0.00959774100415818,0.008335378017355606,0.008516531310522824,5548.0,1781.0,0.23
1903,씨제이씨지브이,0.6109310139494641,0.05864017614033716,0.020513674841906755,0.006286726169449465,0.005173320140011534,0.008850322415727823,0.10543502867028046,0.08688832048192516,0.09012917194164757,0.4416886120283578,0.07674740858419656,0.05051339727067715,0.05202895051455332,1240.0,3286.1,0.15
1904,씨제이이앤엠,1.0,1.0268466452012808e-307,4.709741835799999e-308,1.4980437896457157e-308,1.3159870320617286e-308,1.812574412438248e-308,0.669994102293839,0.14832779627550313,0.04366151968791758,0.016677298387313896,0.01944849449786235,0.014044877253908745,0.01429303552112128,5208.0,1300.0,1.02
1905,웅진씽크빅,0.946200584717342,0.027806221579680473,0.013214943764713986,0.004179475255028992,0.003667559627923636,0.004931215055310855,0.8867143593513597,0.056878492473857546,0.020637730616486993,0.009098282685798749,0.010259156775894104,0.008089184044141237,0.008322794052461802,3931.0,6865.0,0.43
1906,문화방송,0.6135175522244759,0.14303381718969496,0.03050408470916817,0.008972421928917146,0.006701609110705389,0.014839269416998096,0.8246633641649783,0.034914924059139804,0.013679382728290192,0.00604952376447747,0.006684777548068258,0.005469439288474954,0.005575319579914066,6082.0,7774.6,0.15
