,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
934,디케이비엠시,0.09663251220617983,0.12845875482391883,0.37144108253495434,0.04910336656240603,0.0243703444819312,0.029957500460645416,0.021801397550172744,0.09013190136829374,0.04107998435358669,0.07860076744376511,0.29342683364710315,0.04937166360182797,0.05993364063798698,0.0375406238197491,0.031685811285617385,4595.0,176.3,0.26
935,평화이즈,0.5170072825294562,0.40736146842013504,0.027927075731858576,0.007970933372857052,0.006696840348568688,0.010578947672687963,0.012835690051367846,0.6852171091122614,0.051392680236823945,0.021476252552846627,0.011248264392610952,0.005556625192932865,0.0050537782029591635,0.004691325535701271,0.004715951732420129,5639.0,557.2,0.23
936,위메이드플레이,0.17337598772524032,0.03912271867517566,0.0045370079840169365,0.0013165371326862775,0.0011394019891599902,0.0016671675777109615,0.0019719010986948035,0.23678655809569876,0.20234955578047809,0.02962331935273229,0.013699535747647816,0.0064083246221280825,0.005641789444907258,0.0050982761220273376,0.005068143428805844,5482.0,740.8,0.26
937,아이디에스앤트러스트,0.16434003044502127,0.47036932802434533,0.05319115544561699,0.012801889851756164,0.009519307329382713,0.02297657457736514,0.042138558504545905,2.2075793348452606e-307,8.5796214801935e-308,1.2686146366399762e-307,1.2652802600989697e-307,8.452963310730063e-308,2.4688156341822927e-307,2.9582867177736273e-307,1.0,5187.0,150.1,0.51
938,삼양데이타시스템,0.1475138340547259,0.7282081038817569,0.032595418254075914,0.008204242013425489,0.0063325589335847905,0.013029239693275966,0.020605821241907255,0.5187380436158866,0.03914359524621173,0.01792481136567324,0.009384761344013635,0.004746171940372829,0.004313152548943101,0.004002443117463994,0.004047622876129589,5638.0,842.6,0.33
939,어드밴텍케이알,0.7369875693526216,0.13498591761073422,0.022575505948079517,0.006794033420146666,0.005994224256590116,0.008272972672721297,0.009436314784277294,0.39730526058595067,0.11134412632293547,0.03942455945232557,0.016652149479765708,0.008570662892111868,0.007331519054430754,0.006526805410041847,0.006632309109848036,4958.0,949.3,0.33
940,핸디소프트,1.790738565227056e-306,1.0,7.898085519951417e-308,2.2858698864818526e-308,1.9368649437115517e-308,3.0122996253971246e-308,3.6156741549445605e-308,0.6784478981507054,0.042089775168715086,0.021836603147389708,0.01211866039470231,0.0061138110759453345,0.005667137095558275,0.00533709277805488,0.005386055678736189,4689.0,170.4,0.44
941,맵퍼스,0.726532316892376,0.1090683883686203,0.018814969233299977,0.005661054032679221,0.005015817328593727,0.0067760565824568604,0.007657585339281656,0.48183778699595914,0.229617988838302,0.044211881355369895,0.02009159144502916,0.009714846621273011,0.008499580664602937,0.007672047242919488,0.00767473537456716,4767.0,97.7,0.39
942,하나아이앤에스,0.09344481552741075,0.11287398491101684,0.13035762070500467,0.25459825886228615,0.061427784767999684,0.029037203734327683,0.017982456597005644,0.054223822257513654,0.02129199108221949,0.03106113255162265,0.03696009803243651,0.018953412650856358,0.04623913016445959,0.40198309859906417,0.05921052916842463,6082.0,2553.6,0.11
943,한국콩스버그마리타임,0.8377706060392227,0.11535492433642314,0.020002090996813424,0.006070132801202059,0.0054094357331210185,0.007262015566910273,0.008130794526307406,0.5239513302016546,0.03913514813699934,0.01970047504954739,0.01078783237297245,0.005448249078163138,0.0050264140150334145,0.004717142691263701,0.004762936892411234,6032.0,1302.5,0.12
944,대교씨엔에스,0.14736197888876337,0.39895038833518026,0.054493606965678024,0.01225977335279366,0.008985153112267498,0.021154311271327133,0.03872069253951444,0.4939259649754177,0.05137302090372767,0.020787079518392627,0.010525118804860994,0.005292879872243698,0.0047608119297973695,0.004386006536136514,0.004429066224078675,4997.0,311.6,0.18
945,밸로프,0.11930509165451893,0.5230522157192844,0.05385607762658866,0.012294299522253737,0.008757436540110703,0.025165633675638933,0.046902753277869344,1.0,2.489880805934018e-307,8.156617552368965e-308,4.127273616071052e-308,2.015773326028956e-308,1.8151935249944716e-308,1.6729679171782213e-308,1.6758765715236847e-308,4038.0,140.2,0.55
946,트윔,0.1334854305086356,0.7168630215912599,0.025794412450952355,0.006796425378549266,0.005455732180337989,0.009361634084256958,0.011358259721426204,0.3609438528841369,0.30930764083154827,0.13665481826272768,0.043347475509159,0.022455727328676962,0.018097302279094278,0.015525570658871642,0.015760703243935584,5012.0,216.0,0.49
947,메타빌드,0.08735439401193296,0.15096882583643476,0.37792993830013966,0.021727647842045585,0.011627701514028994,0.03405289341965998,0.033982730978128754,0.4526997092106782,0.16824238097965843,0.052005416831373684,0.020631626385116786,0.01046830925076307,0.008858084840667036,0.007828918772484974,0.007931810602033375,4778.0,281.7,0.24
948,퓨즈,0.7335765641882159,0.1435076551656065,0.028124136787282473,0.008612205295553383,0.007749432901098998,0.01008786862074188,0.01120592255304621,0.06358887343776118,0.02913868598288159,0.06329664650858137,0.05604303851360966,0.6323295029130308,0.045220981201744365,0.02174343446713814,0.0226232792074249,3875.0,25.5,0.21
949,티쿤글로벌,0.1955568159415882,0.5679132375107615,0.05024809004437534,0.01227700360756038,0.009402917365077642,0.018612054775569892,0.02619033312850299,0.2890154003731495,0.3264285999417577,0.14472872837285655,0.051195992362809924,0.023829590636191802,0.01938740572419903,0.016605837772112667,0.016469077388274685,3526.0,75.1,0.93
950,교육지대,0.06814528056207038,0.09295701939274982,0.38834630857670904,0.049616919200557906,0.01796981835176949,0.026655750215367965,0.016354506727982342,0.5323960796809281,0.03782270093564455,0.017868094487597616,0.009648715660212887,0.004847546663014751,0.004451431461807819,0.004164144587514137,0.004196815027740522,4095.0,188.3,0.7000000000000001
951,비에스지파트너스,0.0983290129326926,0.16184400096462276,0.12018363555464953,0.02989103240847951,0.015970222264712147,0.08908256853339618,0.03190345447158197,0.23055290975039242,0.23936887745435395,0.051006630290513305,0.02039621510138779,0.00948259972890355,0.008079322510437232,0.007139121141227598,0.007102997077544514,5574.0,540.8,0.27
