,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
2079,일동제약,0.7050165522588291,0.019342943434519335,0.0034816231518744745,0.00413234972623314,0.005071727753965526,0.005591599677266293,1.0,3.645148243558467e-307,1.5616841695761301e-307,6.204657481021346e-308,2.5704576962910564e-308,2.405898790889695e-308,2.4154296445378255e-308,2.7592302010337897e-308,2.6449359255612017e-308,7847.0,5591.5,0.31
2080,씨젠,0.8601028534934457,0.018920721027582344,0.003536290245563553,0.004132527289868962,0.004994817669076751,0.005460261265373959,1.0,9.513725605897675e-307,2.550792106970642e-307,9.740513599588585e-308,3.5897028725050362e-308,3.2459793793175285e-308,3.257553594543485e-308,4.0388138529663285e-308,3.827786679883726e-308,1027.0,8.8,0.33
2081,신흥,0.24045415832790515,0.007247591225347089,0.0013887761620799473,0.0015505487631909253,0.0019390906766485298,0.0021722226394494553,0.8377245760577005,0.07212020416311081,0.028728301023958795,0.011787413228045522,0.004775631625156707,0.004434182593790661,0.004472713095116035,0.005134586206097626,0.004829386715838391,3579.0,888.6,0.33
2082,셀트리온제약,0.7586540509950712,0.018316169695516672,0.0033932010089460563,0.003981962990677851,0.004775511799332911,0.005227334941861744,0.24049105562613624,0.3860411734718199,0.16378293590161408,0.06807443910708064,0.016838147592322782,0.013957735904937645,0.014095470268932772,0.02127677237740362,0.018535313039340445,6693.0,3987.4,0.3
2083,대원제약,0.41478434870233427,0.2047100432602743,0.015448389189030558,0.023722291074359088,0.050014886042882074,0.15960348193118448,0.7912391944464247,0.06522651441102847,0.03359718650033595,0.013836882934980237,0.0060253163869864535,0.005723414467714724,0.0057759602432821385,0.00630185393937974,0.006005643591282873,8367.0,3390.8,0.15
2084,일양약품,0.8848416900980551,0.020294763247298044,0.003885135521068913,0.004471590566028038,0.005341341783185194,0.0058204202206944,0.3815219402288935,0.0854050721849756,0.02272951029351933,0.008996415321726448,0.0034845070349199102,0.003206523438135118,0.003212333486934918,0.0038297792977161345,0.003632390367021647,7395.0,2302.7,0.16
2085,한독,0.2525657963393304,0.3440286081780309,0.017849701864643384,0.037181936592823206,0.05100753859888744,0.04603260950087065,0.6030108662105474,0.0630746803338329,0.02469475357946253,0.010112983473693517,0.004083036355990746,0.0037871218435242115,0.0038194235273361922,0.004397264296276642,0.004136266739051687,7126.0,5111.5,0.17
2086,휴온스,0.5877354949637552,0.03272889586971517,0.0053624517768516575,0.006359299248262632,0.009285348349391057,0.011645117999844922,0.6980681160158021,0.05703412149412703,0.027051309011748976,0.010868005061712323,0.004623208133351608,0.004356414108455449,0.004383875321482652,0.0049057210474676375,0.0047013062483862635,5884.0,4036.0,0.25
2087,동국제약,0.7553621545587295,0.01921385821754629,0.003461453029218725,0.004107167193123787,0.005059425214161552,0.005616363934668415,0.42908034070249623,0.04410694329876218,0.018949894027790362,0.007533074760780472,0.0031211168786496814,0.0029178550345606773,0.0029330289201502054,0.0033506409255510522,0.003208269184796621,6276.0,5153.8,0.24
2088,마크로젠,0.8567536020124225,0.03476887392056777,0.0048155594303995325,0.006308102119279065,0.008842296040761794,0.0106503769392252,1.0,8.023724495330523e-307,2.447920179023884e-307,1.0516814413405511e-307,3.891954830824842e-308,3.515724748989224e-308,3.568992877884742e-308,4.2840322796182866e-308,3.8976742815418626e-308,5113.0,1000.9,0.2
2089,한국장애인고용공단,0.797611925125442,0.021839210373531613,0.003741287241803615,0.004539879041208437,0.005857974985943711,0.0066211491432518095,0.4678400568724413,0.06075936125119733,0.023936639686233087,0.009644398746242608,0.003930890747506517,0.003665687176800881,0.003680397305636883,0.004231621397223929,0.0040203316749505705,5475.0,3940.8,0.18
2090,바이오니아,0.868658093003776,0.01477110799535378,0.0027914098491492166,0.003228291295385238,0.0039368583750879595,0.00429966517887196,0.5038078465276686,0.04592266926304245,0.023684488833437052,0.0097454691613654,0.004243880153874433,0.004029109590308558,0.004068430412567597,0.004439708870526089,0.0042318621685555075,4879.0,1272.6,0.26
2091,에스티팜,0.7770857723161648,0.10042725935782237,0.010980368155822547,0.01594697278769324,0.03681792122388869,0.05874170615860831,0.2613332981999296,0.5321986725206364,0.05546225186892739,0.024777793470795048,0.008186861599917014,0.007217693683551021,0.007313963967651792,0.009310406252663191,0.008261562159720482,6540.0,1391.4,0.12
