,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
379,디에스브이에어앤씨,0.7645959603771069,0.1279421141924723,0.010388191734402669,0.01073295996596562,0.0038313772278056424,0.43472641525066963,0.42817568721512517,0.03504956236579369,0.012467364132134284,0.014421686435611567,0.012536813314262806,5187.0,2542.1,0.17
380,씨이오인터내셔널,0.7349822785495228,0.15620897333090428,0.014390745883647464,0.015316299661979145,0.005424784992140695,1.0,5.319608386331824e-307,7.272087355119291e-308,2.8077472406822154e-308,3.143086258594558e-308,2.8347289539541054e-308,3971.0,489.6,0.67
381,디에이치엘글로벌포워딩코리아,1.0,5.7714431183426956e-307,5.313966444696682e-308,5.456432762201993e-308,1.9807183769526385e-308,0.5532519665805293,0.0908724061345347,0.013977937407601814,0.005600473865805682,0.006179220493574036,0.0056552334505989245,6032.0,4072.2,0.15
382,칼자이스,5.511168600543122e-307,1.0,3.378159217898406e-307,2.9664003921926204e-307,5.035738921211267e-308,0.3090266306369488,0.2050391371840057,0.015102715211862884,0.00573622711233658,0.006486303896334452,0.005849786790367356,6032.0,2258.0,0.14
383,한국팜비오,0.6335021593775236,0.13543333317195397,0.012004910936491347,0.012604225936725423,0.004447617392596909,0.35874830477742736,0.38482518715258995,0.031610813039041286,0.010739653412060315,0.012618563527607546,0.010802337961949633,5840.0,920.1,0.16
384,일룸,0.5183398406073094,0.1414594166906578,0.01041910786876799,0.011084111312375267,0.0037900739152274157,0.199249395336288,0.15104883243013079,0.015044843602733761,0.00531816788073592,0.00616678103837386,0.005391198045266482,4738.0,3710.3,0.34
385,대원미디어,0.20932552517181421,0.6424874753670196,0.030857895144324,0.03589042354360419,0.008759603390598959,0.5635524993632024,0.05104046296267822,0.00919741926835694,0.003880540177317677,0.004195331598926616,0.003937987807218894,4636.0,2337.9,0.28
386,힐티코리아,1.0,6.258972213980544e-307,5.45235352719413e-308,5.665697942191403e-308,2.015473037024596e-308,0.4169078708939791,0.04387156235782767,0.0075056880905470386,0.003118582818171647,0.0033931828353666485,0.003164739061807255,5856.0,932.6,0.1
387,씨티씨바이오,0.11753506216217084,0.1679206507215659,0.1769670257700613,0.26627011784475635,0.02815759010303644,0.4049971932557337,0.5072824083864519,0.0235487620419787,0.00871307612224084,0.009952310047435709,0.008880055147534387,4646.0,1037.4,0.22
388,디에스이엔,0.47282990190109314,0.06069579832381435,0.006554396329097267,0.006806891539319146,0.002660933480224482,0.9397795562946368,0.04152912825823613,0.008012557819674183,0.0034656109077180574,0.003705031076232719,0.0035081156435023196,5589.0,840.4,4.13
389,케어캠프,0.4611961176901887,0.06773652146446694,0.007083569445363987,0.007270207658318668,0.0028271690709617972,1.0,6.605221737525056e-307,7.870130868917602e-308,3.072763953127666e-308,3.433057881172949e-308,3.1299360221822685e-308,4172.0,6907.8,0.27
390,풍림무약,0.8481360726280315,0.09115086652192537,0.009087900089159832,0.009515417711247233,0.0035261323982443533,0.8198602111348208,0.04703183222183433,0.00951731588133577,0.004201020287069715,0.0044503970195633935,0.004241051344946534,4706.0,789.5,0.28
391,젬백스링크,0.21260308996562516,0.3234537629083688,0.01734264195245075,0.018309837829347086,0.005590101933410948,0.5248839040902019,0.04770225236175402,0.008923416499714495,0.0038142804134818184,0.00409960282632581,0.0038663706956426295,5018.0,1097.2,0.47
392,체리쉬,3.2669372342676943e-307,3.3897818916574963e-307,1.3911187516168747e-307,1.813556447962495e-307,1.0,0.07343252407851228,0.0767545957301904,0.04090102197698513,0.12323094520187672,0.06743523402082616,0.16501208140243617,4750.0,157.6,0.74
393,코레일유통,0.8885860770437305,0.08500212907990284,0.010397965018413545,0.010564715621649567,0.0041318648523851614,0.4796415258271305,0.04621395734603604,0.008693535246892835,0.0037240817886616826,0.003999164423894871,0.0037780603795612,4793.0,2074.1,0.87
394,히타치하이테크코리아,0.6831458848293781,0.08933680957830165,0.008827210544323729,0.009234679891413008,0.0034145109159824617,0.6818389829934531,0.07965645163886996,0.01190598084143282,0.004786257663879848,0.005279510378532141,0.004857271622757975,6032.0,1187.4,0.06
395,뮬라,4.016363193298705e-307,5.160237056621778e-307,3.3312502684697462e-307,1.0,1.4817171683867884e-307,0.1255142698568401,0.3873986679855709,0.05015606211588118,0.013538979617773747,0.01716141683447685,0.012927892790112179,4795.0,418.4,1.08
396,제이씨현시스템,0.8133668836724158,0.1274229811560799,0.010890496936385271,0.01127948556801597,0.004017541200477608,0.8347178058153694,0.07676947783917847,0.012420779128008434,0.005086256777880346,0.005567080160456598,0.0051577756718300125,4941.0,1989.7,0.33
397,메틀러토레도코리아,0.5068719209178775,0.13665941591453656,0.010469909860773594,0.011015739509843782,0.0038032443978824144,0.9360560717354491,0.03478385840686915,0.007222010400480051,0.003223974819940314,0.0033986319878523217,0.003257696335377885,5460.0,649.5,0.24
398,아이씨뱅큐,0.5507338199790033,0.16636916726082568,0.011301518501461204,0.01218509854310507,0.004082172387511132,0.14735137167081058,0.4698877071896902,0.0560752809406416,0.01355220454068563,0.017839233827825603,0.013545327563849276,3344.0,408.1,0.38
399,천일정기화물자동차,0.6761417371013267,0.10017579890882775,0.009509164833303985,0.009851221456698487,0.0035469755038703326,0.6053877703227475,0.15587592549956686,0.020037698746096462,0.007732107929717308,0.008663677932905737,0.007813868622732988,4146.0,1824.0,0.16
400,파나소닉디바이스세일즈코리아,0.6556534383023169,0.07447726327580889,0.007725275884970975,0.00805175569791516,0.0030164930126811043,0.4309356025972805,0.027177553230563166,0.0054991178442298505,0.0024261014366876057,0.002570937935306861,0.0024526203592255542,6032.0,5871.6,0.15
401,한국애보트,0.20894151996116134,0.29599611263800507,0.015812033597019402,0.016647565990217734,0.005255952364749763,0.06897715523440197,0.09179229612436075,0.07259705748818147,0.036056127875899374,0.654343840759549,0.03662948984546724,6032.0,2050.5,0.14
402,한국에머슨프로세스매니지먼트,8.078282758815414e-307,1.0,7.742165124069952e-308,7.854886494387587e-308,2.5427902106850286e-308,0.3969006430821173,0.43928930199220567,0.02722351113726974,0.009923023874514058,0.011405275954776905,0.010108105414368136,5458.0,2.1,0.06
403,코리아이플랫폼,0.8604993099718622,0.0511827765886254,0.004343870621392605,0.004470147812537863,0.0016096870817215562,0.533850015588246,0.04305926597918583,0.008040944107360207,0.0034340159249038734,0.0036913827899949596,0.003470995627903805,4820.0,4967.1,0.3
404,투쿨포스쿨,0.6836350321871925,0.06994419623477104,0.007705934460503412,0.008070574017326835,0.003016734404854289,1.0,3.996325914606907e-307,6.277686232683595e-308,2.5577595918591204e-308,2.8062183559164715e-308,2.598874041471212e-308,4066.0,705.2,0.42
405,머크,0.5195854396949193,0.06032901156266276,0.006619621704475241,0.006773708979615687,0.0025921556909095996,0.5866358454558269,0.08141550327055377,0.013065396350813756,0.0052762014642203136,0.00579918410510848,0.005315903984898485,6032.0,3858.5,0.13
406,케이지케미칼,0.3667795332932463,0.1366235096406524,0.010631415539606474,0.011194594217585034,0.004089303988608619,0.5422877514968757,0.027053706728698317,0.005337604119029074,0.0023302334869260703,0.0024807842321783553,0.0023537164215589705,6098.0,1601.4,0.18
407,뉴트리원,0.8572985956358763,0.09581576547366868,0.009872215697186121,0.010221166957845414,0.003794938420628763,0.7592069924612337,0.14200954392235549,0.020728851201029443,0.008193533619152699,0.009095123401180905,0.008273823520929306,5742.0,2686.0,0.25
408,선진로지스틱스,0.536480276287072,0.15563889593837477,0.012893814205753373,0.014011147242800445,0.00487601691028753,0.8248213493054785,0.057694589208273625,0.010578435056133189,0.004484956792352837,0.004835757243272729,0.004531830237666246,4724.0,540.6,0.34
409,디만트코리아,0.13671547250123076,0.26955269276809324,0.052380433026240174,0.26166585231975165,0.012835234789435055,0.1860852452677821,0.6611415738495292,0.07717519781851882,0.01802252863386854,0.024337234627207528,0.018641107198603523,4186.0,209.3,0.39
410,서영이앤티,1.0,5.737389319444579e-307,5.241167467811563e-308,5.440523934399181e-308,1.954056590540145e-308,0.8705351249321903,0.047647474456318964,0.009415751163363916,0.00411074401280935,0.00437486004942427,0.0041510841067391654,4367.0,822.9,0.48
411,버버리코리아,1.0,6.49827431149332e-307,5.379160650481844e-308,5.600467603294554e-308,1.992729980943637e-308,0.10984103178175367,0.7110926910340196,0.05557160392296902,0.011818008966638186,0.01620572378459643,0.011852191344124092,4345.0,2431.1,0.46
412,퀴네앤드나겔,0.6856030058624811,0.11835739984782134,0.01091438510041158,0.011364451507274484,0.004046895442329461,0.9113087691952851,0.044307206381775516,0.00860731088059401,0.003732661562444853,0.0039849361546621664,0.0037687873651385314,6032.0,3098.4,0.23
413,더블유컨셉코리아,0.3130229654380217,0.18920962860095242,0.011431441245568693,0.012405699041180617,0.004306030229855363,0.5615545133866172,0.37648912687810865,0.02849852789766657,0.010617503278105067,0.01207779141667903,0.01076253714282355,5224.0,999.9,0.15
414,한국일본통운,0.6428859662244405,0.04762946624078538,0.0054769512462734486,0.005584002324704827,0.002133764723452459,0.13218575986877323,0.48129003107884444,0.055362673706477294,0.013270782005365238,0.017502153383675514,0.013091588154905487,6032.0,1682.3,0.15
415,자안그룹,0.11686161103272152,0.1641773303050693,0.11592443215705941,0.15452190532465024,0.02820746577371268,0.09588857724205294,0.10429954629265423,0.05284099818462806,0.2115039411461541,0.05953793742339071,0.05886780341963489,2099.0,495.7,2.04
