,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
29,삼성카드고객서비스,0.11911067092167274,0.07249984980591757,0.23545535766520745,0.027448637513044733,0.08143825006817015,0.06863990233591534,0.04292486933961621,0.028664237030005826,0.007001651172352791,0.40494970502774486,0.1596164312420203,0.09409675012276558,0.021410405846602663,0.020422423586859494,5553.0,1079.8,0.2
30,미래에셋대우,0.47218752342507475,0.189871859428354,0.02532035345991771,0.005697235954619771,0.006707745258483064,0.006891439233087389,0.00916561947646262,0.01046946025810889,0.01907142530807911,0.880967944063225,0.015283414721454003,0.01460527994991383,0.006209570133510822,0.006299825142027688,14057.0,12800.0,0.14
31,한국주택금융공사,0.3850819629508499,0.11875238759211007,0.03995645225814126,0.007160069859775803,0.008653801290900607,0.009915380339325762,0.011983998583930547,0.01450889411995424,0.017091156884202142,0.7577432254577334,0.014814585096782278,0.013768630614081276,0.005973778958803853,0.006005579138100144,8845.0,3800.0,0.42
32,삼성생명서비스손해사정,0.14822745270792634,0.07123097837715549,0.27246530132980595,0.013209773996873059,0.02092192953282178,0.03157851554444142,0.03293277347048463,0.031159662374908737,0.007499200747345093,0.8379811969334515,0.022762483945614684,0.020910265089769425,0.008442784845189127,0.008532037679906674,5887.0,2090.2,0.14
33,현대해상화재보험,1.0,3.3716391483377955e-307,2.20867191407964e-307,3.01338619451017e-308,4.0674951535877664e-308,4.693130841597798e-308,6.689323078235379e-308,9.121776618080254e-308,3.9774504001493845e-308,0.4478480158385343,0.041912007580769586,0.028614068886718295,0.010141632583339577,0.009917692042221857,11280.0,16700.0,0.1
34,케이비손해사정,0.14532702950685186,0.6125319866730576,0.013972046149613879,0.003525282078418735,0.003962460893845186,0.004082282748249427,0.004819173092026677,0.00530713208531671,0.01300114705173837,0.7428380741336738,0.030639349897068333,0.025238996091920263,0.0098016262509222,0.009745923855989968,6082.0,1261.9,0.17
35,오케이저축은행,1.0,7.470877915265587e-307,9.0530246625185e-308,1.935403659747311e-308,2.2893050364742415e-308,2.450956332500145e-308,3.050177689658508e-308,3.57429164152376e-308,1.5056404740870406e-307,0.6757542050055949,0.014587694733443369,0.013231042923971708,0.005597543689146504,0.005615723281112613,5817.0,8892.8,0.38
36,대신증권,0.33524578166796754,0.09789624534360555,0.05495527965394739,0.008270813010412414,0.010395698738322478,0.012140998691384077,0.015708013381138138,0.019718062325008584,0.01229428251717122,0.7536715368662221,0.016792936097492578,0.015566778933096236,0.006577760402206066,0.006629555222808641,12177.0,2300.0,0.14
37,신한카드,1.0,6.078718296549207e-307,9.80453689591489e-308,2.059048078566885e-308,2.452156961202322e-308,2.608604186682863e-308,3.358404442722589e-308,3.892476184302874e-308,8.278514936038177e-308,0.21927134345937,0.10384898704208873,0.5710210133021953,0.031845810367692205,0.028382852349182582,12741.0,3700.0,0.08
38,라이나생명보험,0.2454578269807064,0.09054542009958678,0.09879640938141679,0.012807298811054357,0.018456277696346873,0.019750849255989123,0.049379859452031376,0.17898038895816018,0.00956442011000593,1.0,1.0815679333073766e-307,9.962026422491265e-308,3.819637574002294e-308,3.8746957273566143e-308,6032.0,2800.0,0.25
39,한국수출입은행,0.3016688629526323,0.08645647172220797,0.03511149256540378,0.005823545759026088,0.007340850140235353,0.008545130008529956,0.01011899748531005,0.012163361788995039,0.01096331421195734,0.8480741899339009,0.010676012917104953,0.009625709229111965,0.004112122193277795,0.004115730240767038,9680.0,7300.0,0.19
40,모아저축은행,0.3998524842573109,0.10456505029089372,0.036546613068524005,0.0067092798729114665,0.008236970603206913,0.008911847896007258,0.012582836507891453,0.015324701089263086,0.013199300228323066,0.662217278710545,0.01238696772910893,0.011449136218970148,0.004869298174455973,0.004902975866176456,5163.0,1450.2,0.2
41,메트라이프생명보험,0.19421271578803795,0.08523842957501288,0.10911858668862584,0.014137189651386798,0.02113768238019966,0.021952993854680667,0.08058927159119039,0.08051246335126915,0.009227936942678592,0.8243968278423609,0.03284263334391811,0.02897170461344598,0.010867425925121315,0.010946393893176429,6032.0,2300.0,0.13
42,한국씨티은행,0.13671417887478785,0.7419224720197676,0.012683291219147928,0.003113066284519237,0.0035094009570084067,0.003703901998895859,0.004230539402801895,0.004685831641383461,0.014712663723146812,0.5004145814523127,0.019561578859433756,0.01660504603812207,0.0065967004601116255,0.006577409891512242,14011.0,3000.0,0.24
43,현대커머셜,0.4954120352727132,0.15738819895839634,0.07221497511652118,0.011099789256141477,0.014582449114512591,0.016746957095363727,0.021954080327116578,0.02871392769501546,0.02032029849756272,0.639971296455977,0.040158300054629434,0.03030751278816374,0.011497532278597953,0.011317663440305326,10392.0,4776.7,0.22
44,현대하이라이프손해사정,0.2628865039621337,0.08104178053890716,0.045187136978218634,0.007112494105725823,0.009502076274310413,0.010293853844220782,0.016854754047380873,0.02803651249675114,0.009284976837398243,0.9133915087077199,0.009413305547395374,0.00898804977801125,0.003982488667125101,0.0040192640567422,5601.0,719.0,0.17
45,롯데손해보험,0.12555211507721115,0.058348607427259315,0.11586122675095298,0.01042293937235216,0.016826949980294704,0.019409076092619923,0.05409985862197831,0.05608058724618374,0.005974916614422627,0.8981640933057827,0.009207547230432706,0.008859256384168956,0.003927093180261484,0.003969866912381596,6571.0,3800.0,0.28
46,한화손해보험,0.2600021009688761,0.55912445164427,0.015810493183857716,0.003703771298254502,0.00425264679142285,0.00450777963482834,0.005293397533172921,0.005952069791491785,0.02991197942442702,1.0,7.092530265003557e-308,6.876234820113233e-308,2.8111795658636773e-308,2.8717260504505026e-308,7632.0,8000.0,0.1
47,기술보증기금,0.75865933387655,0.0915494926179105,0.06251318528129261,0.008374753005360489,0.011321198392419168,0.01312371462245999,0.018600321740878605,0.02512716553087667,0.01073083493225213,0.6891779125080499,0.010920003748585129,0.010555293333806608,0.004774768097030052,0.004819415116670808,8979.0,3396.9,0.14
48,한화손해사정,0.14716015901647134,0.06403344404997229,0.4084472854245804,0.009425011228611072,0.013852473473786951,0.019110632783028023,0.02183800400692965,0.025154500867491218,0.006971976872821822,0.9685350446532421,0.011044796445481668,0.010778470390817581,0.004786184551423993,0.00485550395903452,4987.0,453.3,0.23
49,악사손해보험,5.378330966751796e-307,2.4166834184919766e-307,1.0,3.7144139820225674e-308,5.502470614077293e-308,7.802373193569169e-308,8.465256304998239e-308,9.400181632622904e-308,2.612548590757007e-308,0.8653472694300351,0.017196514106873242,0.015170821727414005,0.00621963173462481,0.0062296965526725916,5516.0,9294.1,0.28
50,흥국생명보험,0.10423041766666766,0.7927544434842609,0.01125606053625889,0.0028701468788850386,0.003212365469252699,0.0033278006914023296,0.0038292430971971084,0.0041784961347948926,0.009583001597436342,0.5824596079509458,0.04485589618357825,0.033371140629579694,0.012007860885743547,0.011841771405065558,7063.0,4400.0,0.44
51,다스카손해사정화재해상,0.11819112618661475,0.7443500633077043,0.012614739926405329,0.0032114584303089464,0.003598136014299108,0.0037258779991609504,0.004295860697888877,0.0046867163536367905,0.010789930636632796,0.7586746294389318,0.01449258451911576,0.013871519794300003,0.0058687276256585924,0.005957840811876681,3651.0,365.0,0.45
52,산와대부,0.019057475776046558,0.013528851111898488,0.011535530858732712,0.9326223295298257,0.010157786514006489,0.004874139509699859,0.00395885317398573,0.002976951856178205,0.0012880816696262767,0.09063301277971732,0.018033639381691578,0.04311760230950046,0.03717658327057579,0.19132482765480766,5519.0,6104.1,0.8300000000000001
53,케이비국민카드,0.12808616179415416,0.06785371701231342,0.3321674687817937,0.01446169241329527,0.02705640493289482,0.03513126964343242,0.0460669311852579,0.04982460604110124,0.006861372673797211,0.5769770979099812,0.07948492943063509,0.07346869844487786,0.020335194471658245,0.020484689296036387,12659.0,3100.0,0.07
54,공무원연금공단,0.12467702547134842,0.4382329092079975,0.011787729936142863,0.002951918799069184,0.0032800311547082034,0.0034448757125373395,0.0039556829647952076,0.004351082732058457,0.012937301677976252,0.7744713027194553,0.012112996671221666,0.01164320813965073,0.005243815478582457,0.005288927534576202,7088.0,15000.0,0.19
55,에이원손해사정,0.6067509865992217,0.158990616016684,0.022973630675561397,0.0048819000153866,0.005775043927450242,0.0061907731602808035,0.00770338228761646,0.008814957522345018,0.022522824087205028,0.5895987568388471,0.014176650990146568,0.013019498958013678,0.005449397976859004,0.0054869359654751955,3362.0,410.0,0.5
56,유안타증권,0.1276171274412477,0.7121750804826958,0.015407685488527199,0.004017132887000418,0.004465444431183098,0.004598119691526903,0.005258602716489497,0.005697568043378705,0.01136604682585808,0.4263616999943291,0.04513118597266057,0.029584830172582222,0.010222529972577108,0.009974358152354625,12542.0,2100.0,0.11
57,삼성화재애니카손해사정,1.404667625324015e-306,8.050023500656859e-307,8.061219884205992e-308,1.799140948193766e-308,2.075013768524875e-308,2.2375426289686157e-308,2.6595997155181394e-308,3.111757149510448e-308,1.0,0.9051822312964543,0.007934059697499059,0.007555232457943456,0.0033076443935087145,0.0033396764408856173,6082.0,2001.3,0.11
58,로카모빌리티,0.08174429987390547,0.5295516442708955,0.009869334809008236,0.0025855793213853855,0.0028512506859112658,0.0029424524427947834,0.0033604667157223055,0.0036508609835064387,0.007713019947888932,1.0,7.16327846260239e-308,6.965356564023488e-308,2.841133776338067e-308,2.904803071096031e-308,5188.0,1083.5,0.26
59,하나캐피탈,0.499915822500192,0.16598138459831613,0.016979589403862905,0.00370328627273419,0.004366326227430672,0.004670643595280741,0.005698732985285997,0.006707041234825595,0.06365587105032974,0.8173294186888816,0.011558543805002316,0.011161976643849915,0.005033508143988737,0.0050820513634682925,7070.0,6957.2,0.34
60,신영증권,0.09120415892210136,0.05107067971420074,0.19907731796870604,0.012492374873520942,0.023282622861794677,0.04374195815782038,0.026726453766150855,0.023860787278173774,0.005088518941832816,1.0,6.19941178878352e-308,5.824844512046719e-308,2.4686634756794604e-308,2.495566250064823e-308,11347.0,1600.0,0.2
