,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
1830,서보산업,0.20259100553342352,0.06825480367609321,0.09271023570869233,0.13458240345976663,0.039363012633082894,0.02824335720782689,0.006290419332809435,0.1405367537934539,0.06018937500240017,0.07925225790690105,0.09928329463370252,0.18321614226951502,0.08743176474744324,4570.0,162.9,0.32
1831,세종공업,0.6312093177421421,0.028078575561538234,0.013393423758965236,0.006205001239598234,0.005237116127821473,0.008597284536243638,0.02348861585774068,0.9153499624481214,0.018768773652267763,0.010193148965827493,0.004699061018436612,0.004378019936158026,0.004460874709782503,7803.0,4035.3,0.12
1832,에스텍,0.913693541141408,0.015422590146037413,0.00860992303520531,0.004114953656264216,0.0035994490270527,0.004915798244446158,0.012029209058278034,1.0,9.622743668874541e-308,4.539693633576401e-308,1.9756170563302287e-308,1.774788238750425e-308,1.7973531632434743e-308,5259.0,4.5,0.47
1833,웅진식품,0.23802584879092556,0.19442920961554055,0.0651742102951607,0.023261557304869816,0.013086900160699374,0.03635402620430649,0.006744981273633862,0.45213001302013356,0.30695740275514427,0.07362759376070638,0.024945705372793236,0.02008153209959596,0.020039013095527056,5984.0,2417.1,0.15
1834,유풍,0.9030007554190029,0.024713068564075836,0.012307866736342918,0.00576785604515917,0.004825412869769142,0.007576482788564446,0.022430527373789633,0.5807858544884431,0.021794191539670202,0.01122584548885543,0.005073845435616377,0.004663360911731785,0.004740400778360226,6032.0,3265.3,0.06
1835,조선내화,0.23117578618723336,0.11394183125640858,0.33919609422186553,0.08032710063908319,0.024356567880859697,0.03878610258967043,0.007244925878809941,0.6626718600661626,0.015885522715034232,0.008638180135543225,0.003984584571544045,0.003717205583854584,0.003780472657008491,8722.0,4394.4,1.48
1836,쿠도커뮤니케이션,0.9103206034892257,0.019536023686802864,0.010749135600287741,0.005139089147436137,0.004469709073608999,0.0062253444117742005,0.017113055488957783,0.6706409363204823,0.02624166075778777,0.012887796506963214,0.0057313410532397555,0.005208327594141186,0.005290520613474434,4748.0,874.9,1.05
1837,한국내화,0.8662102014827384,0.019801260203032963,0.010790681767152583,0.0051553108935822435,0.004477333446034644,0.006296860263014717,0.019257075708385585,0.6750258733642394,0.021899366937484198,0.010985423703205648,0.004911146202722887,0.0044831536468954575,0.0045468343419575626,6349.0,2180.3,0.14
1838,한국석유공사,0.7751640939776295,0.024729376863210282,0.012397367061650108,0.005762986988582665,0.0047905095911034415,0.00760106344425493,0.03754638512581641,6.8091152268892115e-307,1.0,1.8662893166726323e-307,5.659851688160426e-308,4.4131743483144823e-308,4.3714616918867306e-308,8570.0,3921.8,0.07
1839,경신전선,0.4449890299040323,0.02789868888139317,0.012559872423694232,0.00569912601364545,0.004669405418993597,0.00788007894017811,0.01177417355659463,0.8567658145286842,0.02504422099975034,0.013718860376678021,0.0063164426176055164,0.005893068532274062,0.005973190145878176,6032.0,6473.1,0.1
1840,범천정밀,0.5116623092500683,0.014684530609092049,0.007314854446926562,0.0034062882480715134,0.002909915856891591,0.004475399051410403,0.02278249976715329,0.9655892532747132,0.015259751690579942,0.008254555168523905,0.0037901191365650117,0.003526050092696291,0.003580270636921584,4572.0,1560.1,0.51
1841,일삼,0.20975274177302036,0.013441832156214247,0.005758175742427324,0.002600592201458879,0.0021061281019663773,0.003867135696529204,0.005045770520538802,0.665911186963238,0.027798913947648465,0.012743300620307544,0.005586526730718709,0.005006713992469164,0.005122612101939077,5196.0,720.1,0.14
1842,엘에스메카피온,0.4357000649808523,0.028161655149477476,0.012188011906195406,0.005582985272552676,0.004544700630065092,0.008381572476233869,0.011778813546936379,0.9283412476267777,0.03404108379334831,0.016600413920404077,0.0074094544816972925,0.0067228693621305775,0.006884930815642073,4705.0,452.2,0.19
1843,한국석유관리원,0.1238191966348649,0.08314209971128844,0.016640277405066663,0.006566500333342935,0.004360697859419014,0.010054321786430528,0.003276265731165206,0.4479014906574449,0.052072325689904934,0.02013336849121096,0.008334068775493498,0.0072313544355247054,0.007338901415713938,6356.0,434.6,0.19
1844,에이텍에이피,0.6776719723301703,0.0227460521568882,0.011273941565966904,0.005218195368682951,0.004315493836026775,0.006905274598225715,0.049333705009724296,1.0,1.5179937865847878e-307,6.559219241249922e-308,2.804658228809169e-308,2.474901598840355e-308,2.5198257059243624e-308,4886.0,1070.6,0.22
1845,쌍용씨앤이,0.9174299659829918,0.019595885521939308,0.009884430280719895,0.004630207160274009,0.00387317720172245,0.006105367536239284,0.02378194389931745,0.6172148491037515,0.02714130347291652,0.013024595765161528,0.005746561393854079,0.005193909803963418,0.005272799795971885,6082.0,1100.0,0.06
1846,엔티렉스,0.2916095015193031,0.17040112904836419,0.09526709831082203,0.03998695534701549,0.020204606836236108,0.16327746812300234,0.008474212730491025,1.0,1.614738911580484e-307,6.797946173773078e-308,2.881623824372963e-308,2.5310131759440157e-308,2.5729788545662507e-308,3804.0,485.1,0.22
