,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
20,한국투자증권,0.410470513632255,0.20615804918900738,0.028802842803313126,0.017135334372819822,0.1441972496130483,0.657096290759897,0.10350100253901404,0.017383259557511344,0.017881284245561502,0.015056664928227003,0.013309871186651282,0.013665632943995022,16010.0,9900.0,0.15
21,한국산업은행,1.0,9.43187578665229e-308,1.949204595927899e-308,1.706849591387234e-308,2.5487952048320775e-308,0.715496488644758,0.041193541748410216,0.008939989727441816,0.008943997746892538,0.008329931407872177,0.007880906468410508,0.00797540740492928,10264.0,24700.0,0.16
22,삼성카드,0.5889728042548504,0.01985291468244373,0.003892293240054587,0.0033549082851068637,0.00522444746173901,0.9005160151261201,0.05280261639047219,0.0102066711830458,0.010362125559576912,0.009175070437376158,0.008377503410162183,0.008559997893246574,14080.0,3200.0,0.13
23,한국자산관리공사,0.6879292434569115,0.04042395295805429,0.007585765869568532,0.00642271852490567,0.010331311712800424,0.8736874714337641,0.04300450122543407,0.009232140052177967,0.009182447191088261,0.008513414875508017,0.008023007954915633,0.008110702954231932,8352.0,6387.3,0.14
24,비씨카드,0.4056624716794906,0.39117568787439444,0.03703382519066126,0.021295732342407576,0.056271839144694975,0.5510421222439075,0.23997279037393038,0.03287368863518514,0.02738126402083112,0.022129162285884567,0.01875648312889566,0.01861645181082223,10852.0,3500.0,0.11
25,키움증권,0.895352591212119,0.027017480641365832,0.005322182472002004,0.004558403241711294,0.0075775116074034326,0.19291654380889095,0.32383268911463636,0.08126686717555372,0.09582354249935686,0.046549389080354914,0.031420311124793626,0.03172785570249767,13033.0,2600.0,0.17
26,서울보증보험,0.8623983869299404,0.08854996891621816,0.0147200019575895,0.011862674851782728,0.02246896734446928,0.7123850985932894,0.09736251114086755,0.01619670750732624,0.015308612622978135,0.01306550194448825,0.011583604437419199,0.011656957376664214,6082.0,2600.0,0.23
27,삼성증권,1.0,9.959178841470871e-308,1.9899036666060267e-308,1.7212055383167843e-308,2.590673040185435e-308,1.0,1.5647687282487825e-307,2.711735688974371e-308,2.7757480620690228e-308,2.3598605565639543e-308,2.0955364221406987e-308,2.153800118741849e-308,13159.0,6500.0,0.13
28,농업협동조합중앙회,0.5403192967085925,0.023847412467471938,0.004765918544315715,0.004104574377188735,0.0064443157694929745,0.790104331218023,0.06288256222153639,0.011878187975507954,0.011519180236930337,0.010188034462027337,0.009269491106027952,0.00935019794589427,6082.0,5700.0,0.17
29,삼성카드고객서비스,0.2305190768622218,0.32768715128186865,0.09555567739439347,0.02790847578904844,0.037891907584135305,0.11081194169725724,0.19573596378389035,0.11307692086362174,0.07137120530791424,0.033876486617822645,0.022063319145086496,0.02152968407912137,5553.0,1079.8,0.2
30,미래에셋대우,0.7972214904885608,0.03505158517265515,0.007189714903359886,0.006207005555128573,0.010169717517316205,0.7369663559197336,0.05029012524625251,0.009602134867110214,0.009631921563978886,0.008503994372980321,0.007746019594190992,0.00788638997915453,14057.0,12800.0,0.14
31,한국주택금융공사,0.4677281145369864,0.04717972534866898,0.008217752704531692,0.006719114872315042,0.011580161176155544,0.7127781713607764,0.050436526208519517,0.009948520943714513,0.009730880665623772,0.008740483806943634,0.008047846491497911,0.008112854061752633,8845.0,3800.0,0.42
32,삼성생명서비스손해사정,0.23507364209661516,0.24301620603220872,0.019815132745781394,0.012134584707942458,0.027022522603584363,0.7587042943735007,0.09654567470780116,0.015985255457453537,0.015725276917972215,0.01330673012949323,0.011773845343115923,0.011950423478836965,5887.0,2090.2,0.14
33,현대해상화재보험,1.0,2.6343040730477105e-307,3.9094016165314107e-308,3.0151060458727784e-308,6.716693871289057e-308,0.25426903183463495,0.3457462228263023,0.03613908880037954,0.028437651381833174,0.02156755845934206,0.017555345165304333,0.017384828410634476,11280.0,16700.0,0.1
34,케이비손해사정,1.0,7.327204327514919e-308,1.585534460262772e-308,1.428804946929544e-308,1.9607355877541306e-308,0.7251094562540386,0.1534614904646306,0.021485666748793503,0.01956584406658471,0.016014946629231114,0.013790971512289543,0.013804912977234246,6082.0,1261.9,0.17
35,오케이저축은행,0.7677698912599282,0.02213864084391476,0.004348583471563809,0.0037445519219688386,0.005962214412713487,0.8669041547293985,0.07350971944880845,0.013667867075102326,0.013183038066755286,0.011606972859400499,0.01052443926250109,0.010603808558033946,5817.0,8892.8,0.38
36,대신증권,0.4375234037029423,0.059254349106346076,0.009272113596742246,0.007314043774648533,0.014187412427892022,0.7003642319540685,0.06502218205994713,0.012116246622486145,0.01190494548555235,0.010467876240206734,0.00950177607932523,0.009607895454483067,12177.0,2300.0,0.14
37,신한카드,1.0,1.2579063768581126e-307,2.4517706673846977e-308,2.095017697151217e-308,3.506647525815227e-308,0.09369354041318305,0.09685840120797108,0.08953619354224633,0.5244823428403512,0.07142764548456912,0.03598943049761863,0.03323991907470988,12741.0,3700.0,0.08
38,라이나생명보험,0.6507110427889368,0.1263798847706561,0.020045023858064677,0.01416208346434511,0.05803032498261018,0.7514950302658003,0.14922324593993713,0.021130369686699128,0.020982165844614955,0.016990750549347688,0.014630076533408674,0.01492023025644782,6032.0,2800.0,0.25
39,한국수출입은행,0.7399026077881172,0.08242728916089397,0.014043197502402257,0.011394461175701108,0.019668730252569305,0.9089646238995491,0.0495934665439354,0.00946736803638916,0.009096934103569614,0.008085131181915436,0.007375116871615248,0.007417359363025964,9680.0,7300.0,0.19
40,모아저축은행,0.43519228604147786,0.042871045001211756,0.007581868619835676,0.0062172279373388425,0.012055219209041223,0.7658002614648886,0.06345158957993537,0.011970988915404114,0.011687214972681206,0.010318365768699208,0.009379475019390026,0.009484051972380031,5163.0,1450.2,0.2
41,메트라이프생명보험,0.29888715331302046,0.11811193424989253,0.01855071104021716,0.012242584297115774,0.09790139026303296,0.6537023220748174,0.2238772626457926,0.029994556096980204,0.02915707442649326,0.02328139186763084,0.01986186154557116,0.020125531342714564,6032.0,2300.0,0.13
42,한국씨티은행,1.0,6.943076409524885e-308,1.4678749137407006e-308,1.315875365339462e-308,1.8019764990688927e-308,0.6396272205828734,0.15744730695591916,0.02456442735566391,0.022860239645705754,0.019166778366312316,0.016788903579188708,0.016823875653886797,14011.0,3000.0,0.24
43,현대커머셜,0.7035901501425075,0.08462378773870943,0.013529297367534821,0.010704039503983038,0.021321894435948778,0.7138492725361731,0.19348396088198494,0.025233754092340542,0.021279381059884788,0.01716892501080396,0.014543266506883822,0.014441439911928807,10392.0,4776.7,0.22
44,현대하이라이프손해사정,0.23743940455983756,0.029905205062564125,0.005025493332044878,0.0038765255034830617,0.009461176478831289,1.0,7.342197976701871e-308,1.5190646762613393e-308,1.507149473622597e-308,1.3761436592865166e-308,1.2824697284490526e-308,1.29759226100608e-308,5601.0,719.0,0.17
45,롯데손해보험,0.49314084762181315,0.2483220927995501,0.032355311408345834,0.020700110052756533,0.1353737310380067,0.8477518022548164,0.03262314737154205,0.006787452016519566,0.006787361225153241,0.0062118510979321485,0.005805021855999418,0.005880106506950352,6571.0,3800.0,0.28
46,한화손해보험,1.0,8.617892281733782e-308,1.784015823106158e-308,1.583369819721131e-308,2.2682313891994755e-308,1.0,1.5066348670741758e-307,2.6393114827732227e-308,2.692562076995747e-308,2.2992553818654593e-308,2.047748343837522e-308,2.101828321187952e-308,7632.0,8000.0,0.1
47,기술보증기금,1.0,2.7201509670882053e-307,3.972263382123344e-308,3.053353063946476e-308,6.794861899336289e-308,0.7504433651859075,0.03470737141983223,0.0074844907798956185,0.00746827533660155,0.006937904461971807,0.006550551142174956,0.006625291167356736,8979.0,3396.9,0.14
48,한화손해사정,0.2676360733752765,0.348066947212512,0.013448486896308561,0.009225510161451397,0.020305133203318674,0.954244891966785,0.023181629662211666,0.00483909237692994,0.004873829446588211,0.0044596236290947245,0.004166978526480691,0.004233954391909822,4987.0,453.3,0.23
49,악사손해보험,0.22865703057807632,0.5774842567964178,0.012977381942507813,0.008730710335348108,0.018599710005541555,0.8790781849840521,0.0702137377689776,0.012016216665966615,0.01128101554495412,0.009700273382838936,0.008630756833996974,0.008679882282297694,5516.0,9294.1,0.28
