,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
1242,도레이첨단소재,0.21495048190621255,0.2645067333006396,0.03691545436623596,0.005099407673609453,0.006489998503000091,0.007108037017541897,0.009638088282481392,0.011607144889332654,0.7896095663898276,0.020288332114883432,0.020089517900677284,0.009240594339496021,0.00416874375838521,0.004248898366250437,6032.0,2000.0,0.17
1243,제우스,0.5021651539385475,0.0576339125413701,0.01932116583763866,0.0035784368925305767,0.0040671224047182175,0.004261505648065298,0.004953213451575602,0.016893333287116123,0.9434360321393878,0.01961145955271233,0.020247507196825817,0.008790803883608134,0.003918340941729655,0.003995856285736321,5755.0,2006.6,0.22
1244,에스에프에이,0.12585263178333378,0.23165377419366676,0.20566155119509225,0.011023480722667634,0.02134974095321259,0.024769815957938337,0.06735007884078677,0.006645655372893431,0.8575972876280765,0.02253933720519227,0.02387971611435591,0.01012035329793112,0.004494043393773686,0.004591638526331862,8395.0,7838.3,0.14
1245,풍산,0.12295182758582364,0.22478551828001692,0.22921247355007,0.010914921629038203,0.02120913885328699,0.025720255820835262,0.05665923257345188,0.006479292717578191,1.0,2.7998034556430347e-307,5.093014271626761e-307,1.0506218354048897e-307,4.0650542882630356e-308,4.1837397213129656e-308,8309.0,2600.0,0.08
1246,원익큐엔씨,1.0,2.330028013367447e-307,8.021682260844034e-308,1.403785981089184e-308,1.703029502077758e-308,1.77581784248269e-308,2.0639613230093475e-308,5.682854610255795e-308,0.598208399139763,0.020886115107281576,0.023163377734837974,0.008967272046369818,0.0039080208430644,0.00397754650461829,6451.0,3131.5,0.14
1247,엠이엠씨코리아,0.1508494495305984,0.3235783653923607,0.10241948142753948,0.007975934451056606,0.012260413023932945,0.015445987024720356,0.01841286330197737,0.008299677998904865,0.8155746989654712,0.03063816388465906,0.03325836099626171,0.012859725661609707,0.005575169994129333,0.005653835667475667,6032.0,2673.9,0.1
1248,삼성메디슨,0.03453029065228043,0.049315740096291985,0.8347509394162721,0.003538705398699772,0.00777825285839417,0.011599975298608558,0.011517912486564462,0.00188945696000235,1.0,8.648552082442786e-308,8.75578898100201e-308,3.9163853307889325e-308,1.7569276172760295e-308,1.7919081057898363e-308,9211.0,3973.2,0.08
1249,한국중부발전,0.10206701900336,0.24483522223733806,0.08153644781571569,0.005793529754263155,0.009246067359156942,0.011784136582279994,0.014622350542922918,0.005585768201752855,0.6900251026935995,0.02918250193817657,0.030660332763154663,0.012034768171707344,0.00520703095015599,0.00526526643980743,8628.0,5300.0,0.14
1250,태광실업,0.6456297626127341,0.10996954657480949,0.025764964966200714,0.0038668877668171647,0.004919655373856851,0.0053740815903056665,0.0064339005993099396,0.028821013764955942,0.22037086641227913,0.6251487299297002,0.06437876535102068,0.043326398442971786,0.012990326563443707,0.01274605206967565,6683.0,2400.0,0.11
1251,패션그룹형지,1.0,2.3167641081173856e-307,7.994589671133677e-308,1.402035041750901e-308,1.699717754997301e-308,1.770180638862296e-308,2.0597834525727857e-308,5.528822522460902e-308,0.6413353086981214,0.019334649970627473,0.02063600468086896,0.008463939834375092,0.0037249117850187167,0.00379468966145073,4962.0,2047.1,1.06
1252,에스에프에이반도체,0.12479149676045677,0.14834624788196363,0.1948036682608673,0.015566554698083757,0.029247478691593016,0.0482108871743249,0.03216469960212541,0.007319985144951314,0.632525795832694,0.03356373254176856,0.04245194026683406,0.013270205076460657,0.005553397939163537,0.005636567382933492,5453.0,6043.2,0.25
1253,대현에스티,0.41048463006786284,0.28947708434013325,0.04508480680153994,0.006765865033931087,0.008387562375240966,0.009074347342461654,0.011702118899347394,0.02349166365150461,0.6074451219287796,0.03452072259314825,0.04695778924443347,0.013520642853967861,0.005600723974310593,0.005696407375978276,5156.0,1469.2,0.32
1254,한국동서발전,0.10114626602158333,0.1129804219563432,0.293754465008786,0.01399314531460685,0.03870404299482369,0.09644979606465272,0.02785604884678298,0.005407980755382057,0.6393181628707794,0.026471359044009775,0.0279055829140799,0.010957311122718952,0.004749304147650165,0.004803225614890211,8519.0,4700.0,0.14
1255,이화다이아몬드공업,0.16747141648481645,0.2639659263987026,0.03362513171925195,0.004101081172554854,0.00572521395672386,0.006563802445937651,0.007829282587357277,0.009770729411530897,0.9572122978478808,0.014738538232013015,0.015359292953589667,0.006671813372526644,0.0029760784913860656,0.0030419791026034355,5824.0,3360.4,0.12
1256,한국지역난방공사,0.5984834578080351,0.07273384003067268,0.0235456088401326,0.00400336037175337,0.004878449983289443,0.00518908636890851,0.005927375627988767,0.024054330751897234,0.7930733131286174,0.03454618969804985,0.03835801168736205,0.013864436033249383,0.005898461402702004,0.0059643762263535734,7641.0,2500.0,0.05
1257,현대종합금속,0.8558890862452029,0.07638236835777903,0.027243426092070977,0.004895001494488272,0.005864317090594565,0.006081520630674586,0.007019617498667682,0.016624662590522005,0.6639984777521601,0.066822502245908,0.06862717178069298,0.021579765330242986,0.00848372065024271,0.008528526322696529,5730.0,5228.6,0.16
1258,신영와코루,3.82337431899206e-307,4.209460775336448e-307,1.0,5.665665383846494e-308,1.6329582209478455e-307,2.563033569024061e-307,1.158891693891139e-307,2.0926177455990806e-308,0.8304900009739477,0.02864222299490196,0.038511988861314114,0.011893904099501171,0.005031312753342541,0.005137809765833589,4612.0,1890.0,0.2
1259,효성티앤에스,0.4508787225501054,0.04402079234404637,0.015022173064398174,0.0025811429353659473,0.0031748395830288657,0.0033163081948483896,0.003863508890685603,0.011023976720152035,0.6267558072808365,0.050177387017228216,0.05815925016703111,0.018169425577032373,0.0073833497357440854,0.007455285798896633,6032.0,7328.5,0.22
1260,쁘띠엘린,0.12130511652626193,0.5743339839613623,0.10247406216067263,0.008049427104836675,0.01359321700921611,0.015564846786515506,0.029507551440584066,0.006589689699894898,0.7976554945530863,0.017946641607131178,0.018140761575808885,0.008096302750019265,0.003628891424806987,0.0036987555348580474,3761.0,501.6,0.44
1261,에스엘바이오텍,0.7661941265081651,0.1399415121092803,0.028317625720492547,0.004123962218996445,0.005344446916641869,0.005772416955883441,0.0072910443237129904,0.016292817556809235,0.20356651007997936,0.12181366669993068,0.09269214133896946,0.03726013271417332,0.010719088740720974,0.011067177086262665,3245.0,1197.6,0.28
1262,노브랜드,0.6906473899395985,0.19088649006996744,0.045680883165115586,0.006874701988797226,0.00868948897859477,0.009586569684164195,0.011158205164421483,0.03647627100934082,0.8575821527839865,0.013811438424923961,0.017074334398864653,0.006068865046394905,0.00262266954254805,0.0026924804286279683,5151.0,4683.2,0.32
1263,인터로조,0.13571700830408875,0.7150266998777024,0.090101706225385,0.007241910898517742,0.011283030280402801,0.013819810861015313,0.019366567927585596,0.007443265625302622,0.615570154856529,0.03419377772304741,0.044943661744799274,0.013109120751320931,0.005398600287855998,0.005475192577645346,4451.0,1163.6,0.27
1264,에이스테크놀로지,0.6253827285984228,0.10256028045678287,0.027499459352005467,0.004405441521269103,0.005401719802259071,0.00587029394720491,0.006837317106189726,0.03678065922295481,0.1742230744881884,0.11708242773581207,0.058409536425929186,0.5504411798851041,0.02752761206639989,0.030765349194293492,5518.0,1383.6,0.64
