,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1051,LG전자,0.7776602318707492,0.02369370686390155,0.005111018649599978,0.013180817461846224,0.004427109070296454,1.0,2.3138607502333414e-307,1.0520471606808921e-307,2.7764559503836418e-308,2.1875660534944086e-308,2.382151071876419e-308,2.026260051559166e-308,2.0107729315996247e-308,2.3068260359360153e-308,11371.0,27800.0,0.11
1052,엘지디스플레이,0.8765171588634502,0.02285290386240946,0.004914213693070321,0.012837827235501554,0.0042559437237124215,0.788509804448805,0.03388851549861893,0.016793300264231363,0.004418371329165065,0.0036285500067858396,0.003895811182153314,0.0034100751582765436,0.003386230952959671,0.0037806588856125756,9427.0,28400.0,0.12
1053,현대자동차,0.9444632831318719,0.015312498985871864,0.0032631240999119807,0.008811100391240704,0.0027901645948121855,0.6095749417544417,0.10174416380310532,0.032876364976272915,0.009168840702382743,0.006236464727730008,0.007122246350266814,0.005569438527725187,0.005531781447522025,0.006687432945692329,10523.0,55600.0,0.11
1054,엘지이노텍,0.7355793362167597,0.03151402291527158,0.006727272737311358,0.019480771039931774,0.005676938396236268,0.49900594399843706,0.30547117432482057,0.0725804311811161,0.021451984234489248,0.012408744482680999,0.014819263411387664,0.010747536695474366,0.010589615649530164,0.013561301995132998,7652.0,14600.0,0.5
1055,한국전력공사,0.6580887829258035,0.03370830149199746,0.006573991148425037,0.019006167386523422,0.005395542244261652,0.34798743634757806,0.36306223194830806,0.07383439685029985,0.01800082128439901,0.011259860474187366,0.013097777210387589,0.009665946518372026,0.009418756086159868,0.013030058083039702,7879.0,59700.0,0.06
1056,LG화학,0.7148591478130372,0.10675696081825788,0.01736317845035543,0.07958095797911528,0.0124407330832009,0.3122640953784797,0.16316344813708034,0.03994742311423943,0.01193905465525153,0.007015722757422545,0.008340457242477008,0.006112705445095438,0.0060297336282172055,0.007604675970290762,11855.0,22300.0,1.56
1057,에스케이하이닉스,0.14873927768707856,0.4339188043269612,0.09040967475616242,0.037864814713970615,0.02016589003950781,0.5577609001319594,0.05606257491615179,0.022800389957303695,0.006124174649257731,0.0045773757426440095,0.00507227183590797,0.004181825902614813,0.00414967188813514,0.004861207217550969,12710.0,41600.0,0.07
1058,아모레퍼시픽,0.6037004156927909,0.03844026061434126,0.007740520271950871,0.024892543985152574,0.0064030088689828535,0.6323056794706493,0.05307197143433456,0.023118248001859045,0.006319631378711567,0.00481906521837008,0.005303906245116267,0.0044559413306693805,0.004425024691175237,0.005038019582303043,6999.0,3500.0,0.25
1059,앰코테크놀로지코리아,0.7494435844530569,0.13460631699238335,0.016960624294224062,0.08767666523002388,0.011312809030311788,0.3742967129702373,0.24157357918187738,0.05823299590957882,0.014525116699685928,0.009352258601315989,0.010797223851904656,0.00810521914987308,0.007925242462864735,0.010672367690182679,5155.0,3100.0,0.2
1060,삼성에스디아이,0.10049924787960092,0.09950183591108741,0.010746258509120546,0.026579155686822648,0.005999628648439268,1.0,1.2876565437645323e-307,6.531827331711218e-308,1.729113234467576e-308,1.4340726463933776e-308,1.5348314423736306e-308,1.3546195256023348e-308,1.347197156005731e-308,1.483654282471414e-308,10747.0,11600.0,0.11
1061,케이씨씨,0.8173091716338861,0.04822554490640339,0.008896404805614768,0.031019641168022714,0.006772846732663368,0.8726682638143034,0.03418598422025763,0.016444425416591586,0.004367154832515624,0.0035217233993446754,0.003804169635372096,0.003297586761623507,0.0032727253079224013,0.0036721982134600476,3752.0,10.3,0.11
