,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
189,한미글로벌건축사사무소,1.0,1.9474889665748373e-307,3.876732863817245e-308,1.101022198516999e-308,9.95590104295169e-309,1.105485686584278e-308,1.280613532417057e-308,1.0,2.823721551889147e-307,1.8928380820950845e-308,1.7355244634916623e-308,1.884614685120528e-308,1.61734721274496e-308,1.64963133111124e-308,8151.0,1392.3,0.3
190,건일엠이씨,0.6251812586920977,0.16960413264205937,0.026352523000681128,0.006898325145758583,0.0058966793372980065,0.006901409000174913,0.008654520135286092,0.21039296760237455,0.7207487229138739,0.01749022920508556,0.012165235828162379,0.014721218368523446,0.010102148321512763,0.010248394533788212,4410.0,156.5,0.38
191,간삼건축종합건축사사무소,0.03575663522945841,0.058216588280299804,0.04627521329581852,0.04317628506773161,0.01087082599877045,0.6373477088974461,0.011164207914735203,0.1771510967201515,0.348346091596015,0.20481347182423457,0.04309230596677947,0.05513177016870376,0.028844893368747206,0.028318101737382032,5605.0,1162.4,0.18
192,이웨이,0.18045053133228645,0.5715833823105237,0.045335069016622515,0.009816285895039745,0.007636134113664599,0.01041911505289603,0.013941704765756032,0.3696651163655404,0.31403956652751563,0.009190568557734344,0.0076265178002687195,0.008948012878621465,0.006682613668931243,0.006877049855872253,3489.0,399.8,0.75
193,서해종합건설,0.7289711242792318,0.19350902273992565,0.03626672722076814,0.010104191682058825,0.0090265915731137,0.010080345102893138,0.012041997402008611,0.42727655216932325,0.06611584830130442,0.0035679626504731836,0.003130930396767093,0.003495125784500163,0.0028447739312556634,0.0029063174970612674,4843.0,90.4,0.13
194,대우산업개발,0.0814500908126593,0.209782964648867,0.39438703667152786,0.013422170985992058,0.008148963707393958,0.01368746471408489,0.03058749384924424,0.6342661106012454,0.15130448896692297,0.0074062798630544335,0.006249264516364826,0.007052240998545552,0.00558568964807749,0.005685235164384582,6907.0,5236.9,2.67
195,삼원에스앤디,1.0,7.032809534809377e-307,8.053349952024548e-308,2.0648736115803583e-308,1.6785286706314327e-308,2.1160133212401857e-308,2.616581050257285e-308,0.13644516188276778,0.33922398754621647,0.016828364694900504,0.010619755355522295,0.013233362213056876,0.008569057009891096,0.008665383034538739,4680.0,1361.7,0.77
196,타워피엠씨,1.0,7.131836445513977e-307,8.069289928856107e-308,2.0713216026282364e-308,1.68433980070845e-308,2.1179560130648676e-308,2.6296494361035794e-308,0.5614004131123229,0.18906199791655165,0.008207455579598996,0.0069664718875628775,0.007956585740944589,0.006204054542360209,0.006352111553939809,3605.0,1103.7,0.71
197,동일인테리어,0.11818307421126024,0.4171547546821002,0.1465512130062096,0.021277248900611428,0.01294532629469946,0.024499058568186845,0.039148683043547905,0.5030262812072471,0.09165297544786609,0.005103935382448555,0.0046007839141675305,0.005104098717244712,0.004219166687507351,0.004325484780118758,4529.0,1175.1,0.62
198,신보,0.08519577590188045,0.15805334018911968,0.35307297352157063,0.04007445749351048,0.017245492210669608,0.04544590572430931,0.0476872187973758,0.2826832005939914,0.45759764050455837,0.017154351163220553,0.013041738047082443,0.015644163925607378,0.01099639902211053,0.011247902537960782,4450.0,256.2,0.25
