,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
486,세이브존,1.2740043546521675e-307,1.7279643125043318e-307,9.580222653084006e-308,1.0,5.860850229976072e-308,3.7635279450393163e-308,1.1640357421354695e-308,0.45557032709785217,0.13264738851454155,0.037682663424639704,0.009430046264884851,0.009891016352671542,5057.0,529.7,0.32
487,한국엔드레스하우저,0.1016379856481878,0.21200028624992362,0.19119436089107797,0.021536965057701928,0.13593993788533482,0.07481998730688315,0.008913982273225731,1.0,1.3979254220932746e-307,5.628239134005751e-308,1.618722662463353e-308,1.6541631246634844e-308,6032.0,726.2,0.11
488,혼다코리아,0.30398095607508796,0.08085363564974819,0.004823518888582649,0.003395135240952856,0.010730724403872918,0.004895344321540606,0.0975041637777701,0.48034921280425574,0.08686542770714976,0.03004024801456139,0.007916725208294234,0.008284877248012391,5790.0,2892.9,0.28
489,케이씨티시,0.763877949421014,0.10777472862016005,0.006917621525040519,0.004774974504541657,0.015613427406716488,0.007138518357545292,0.028876117719436423,1.0,3.80495188494929e-307,1.098611585498517e-307,2.7824608715398505e-308,2.8452610936467745e-308,6251.0,4659.9,0.14
490,프리미엄패스인터내셔널,0.5970713425944031,0.20035572432828566,0.009307435817580012,0.006099876029475065,0.021004100913026846,0.009596974546691905,0.045386434767090526,0.6232634594659479,0.03314966754050684,0.013767995747579507,0.004017400512699008,0.0041104155204904295,2826.0,58.7,0.8
491,고려해운,0.6142376581438788,0.28649826654566135,0.011714783644760187,0.0076232428420314954,0.026399697153254555,0.01205976781852408,0.0414665838518894,0.8133250272471229,0.048359248837562846,0.021074435730319065,0.006324871574609133,0.006453848555016046,3731.0,5.0,0.11
492,한국스트라이커,1.0,1.880199886607074e-307,1.340701249370146e-308,1.0095006899689556e-308,2.932493515058323e-308,1.388428867542201e-308,3.932743640972086e-308,0.6096897105015759,0.05725905708636907,0.02022070400215392,0.005441118856809201,0.005644767196483788,6032.0,1485.8,0.2
493,한국야스카와전기,0.866764729699843,0.08487242593514958,0.006431872312110776,0.0048738103131610346,0.013979333442505692,0.006610345789141681,0.01646748250808814,0.5816821629440225,0.03745705294600334,0.015529903530968166,0.004539077508046909,0.004629464483465637,6032.0,2180.4,0.12
494,더클래스효성,0.14344630519286727,0.2611352494731183,0.36534364832560523,0.036117295415395746,0.11870869801953454,0.06243932975267369,0.01280947382080524,1.0,2.5491689255394293e-307,8.609774040247628e-308,2.2922998411281653e-308,2.3594888254837466e-308,5481.0,1400.0,0.18
495,피플앤코,0.08013371876075312,0.1553533138895909,0.0463159195089446,0.017307668596732446,0.10435638681799198,0.48470410600735786,0.006915448407105087,0.20165962954360397,0.43269892510771846,0.1268311303233421,0.021355856493168162,0.023073872771762573,3891.0,229.8,0.64
496,야마하뮤직코리아,0.11128000360236677,0.21582654869217552,0.35363695439576137,0.025619766832773967,0.11809798287174034,0.061745061244794924,0.00987780444605017,0.5275734636100617,0.08361810418686091,0.02904457507189606,0.007689389448907042,0.008036599204480424,5645.0,844.9,0.11
497,태영상선,1.0,1.7077136078854754e-307,1.3010372985894916e-308,9.865418619540836e-309,2.8198571062458503e-308,1.332791351196131e-308,3.3256566961850256e-308,0.559755792127909,0.028099798250935157,0.011738790605696995,0.003442197157674369,0.0035139221365064503,4829.0,999.2,0.51
498,넥스트플레이어,0.5915042904525201,0.17820640540290011,0.009858637184512856,0.00672488540503725,0.022742092356236997,0.010581973835223125,0.026114595702694476,0.8282033361096853,0.05727038454934792,0.023508844189475984,0.006801493284737385,0.006983759249750343,4356.0,144.7,0.86
499,우신라보타치,0.10165242760555163,0.2552873307111672,0.18159327812030487,0.017508085977474126,0.12028661974744942,0.05155125774992479,0.009065847884689492,0.21208392124829537,0.4482335881521002,0.10512341191983465,0.01933806961388074,0.020840423305484006,4259.0,212.9,0.35
500,공항철도,0.29104161997422395,0.41305425836099385,0.01147522420657028,0.006836738031225774,0.02792332925821751,0.012026414251969129,0.02307164853241202,0.8163891707178811,0.05122301499219818,0.02160739215432537,0.006352906180302003,0.0065070373554348025,6032.0,4186.5,0.07
501,복정제형,1.0,5.06703794816159e-307,2.18273592218368e-308,1.445972056072105e-308,4.914398407028129e-308,2.273458736661878e-308,6.449429567488784e-308,1.0,1.577048228782571e-307,6.241729628542644e-308,1.768600683475429e-308,1.825258695937101e-308,3147.0,1074.8,0.35
502,하니웰애널리틱스,0.6924802773780762,0.23377287106128583,0.009680994625805444,0.006158089284805773,0.022692911141310064,0.010287262301670572,0.024927594207046325,0.8344836668647799,0.03396564591566903,0.014219519100698338,0.004162140096560049,0.004262289216900238,2815.0,1523.9,1.18
503,아식스코리아,0.17804967820133086,0.7562697950467193,0.010143529984088859,0.005763992557028224,0.023343442412502385,0.010420579278745873,0.016008982519584533,1.0,4.6317328598368855e-307,1.2639166108534452e-307,3.137559194970203e-308,3.26039912023509e-308,3929.0,966.5,0.74
504,제때,0.11698327959411373,0.3589721251823561,0.07767856367175267,0.014441841635023,0.19275535639523145,0.05051012956704618,0.010417292180719443,0.7300014186573733,0.18771942723378177,0.05357821950359458,0.013550457500953917,0.01392485696703724,5310.0,2292.4,0.16
505,솔리드이엔지,0.13940096513365385,0.7679057200413975,0.01481828248378569,0.007543250998010191,0.03438334835631683,0.015268488365691904,0.012182507505390312,0.6053758550711196,0.04663353299970756,0.01843183547664131,0.005243083016398292,0.00536860948372547,4690.0,526.7,0.35
506,애터미,0.1187140566625199,0.6471215544493646,0.0360540458786449,0.012069320789362792,0.13249190512725229,0.0431116452766434,0.010437471816212,0.9176508050650495,0.03258471660024898,0.013891894097161694,0.004118360536727021,0.00420483195644132,6032.0,1100.0,0.06
507,엔투비,0.37727465261066195,0.08697855956203636,0.00526413027333028,0.003734186654644537,0.011706780662076546,0.005357384526742215,0.07089301774896108,0.8351568461894819,0.05251995873044788,0.022900853538526167,0.006872388842134016,0.0070175775959666915,1350.0,1.3,0.33
508,제이더블유중외메디칼,0.7839477240856562,0.14378776738878407,0.00849902638633715,0.005749821109589993,0.019530369427820556,0.008900356126166657,0.02958493547564532,1.0,1.4180900622939613e-307,5.691372677053947e-308,1.6339586952102546e-308,1.670331618001231e-308,3901.0,479.3,0.33
509,한국아즈빌,0.7894874045912652,0.1336549118644169,0.010385322611263136,0.007956840209318482,0.022460153473783703,0.010620114322894404,0.025435252927057846,0.6182694256650532,0.03703616861862531,0.015422909950320262,0.004518658069939065,0.0046078896773332914,5906.0,434.5,0.16
510,올리브인터내셔널,0.43095897952974327,0.2810964590202995,0.011377463409581743,0.007083006575412763,0.027294541077496938,0.012177792052461753,0.0242171054663611,5.1916145782505025e-307,1.0,2.6081127834011257e-307,4.89166039898255e-308,5.358313234381648e-308,4586.0,272.0,0.52
511,펫프렌즈,0.7195035594591928,0.15936604223882903,0.008315423112346197,0.005647893000596453,0.018711196382477143,0.008677718418932624,0.034382782062998093,0.6886009216188268,0.21457440876262224,0.058470951380723085,0.014368159264495252,0.014987015485990126,4799.0,610.1,0.6
512,한솔피엔에스,0.7649181893110162,0.12476952140560016,0.006801698525139488,0.004668630961861169,0.015204635414636474,0.00706444685961792,0.03117749219750049,0.4892640626274879,0.03590085201734238,0.013911405707663572,0.0039287573270456125,0.004023417795448248,5481.0,2573.2,0.14
513,리테일앤인사이트,0.18507777488811564,0.6456233143502426,0.012090229316956492,0.006636177394089648,0.027873386750588574,0.012349109286232176,0.016789902683366265,1.0,1.2585766008569646e-307,5.279863875646737e-308,1.5480643496653275e-308,1.5841796349560347e-308,3524.0,182.6,0.64
514,이상네트웍스,1.0,1.83495734013783e-307,1.330215195233546e-308,9.966362765548113e-309,2.9374025773041973e-308,1.3806086472407657e-308,3.8084037114917293e-308,0.6251244799391197,0.062432437093341876,0.02252743546810208,0.006103946808381574,0.006335540295526715,6265.0,291.6,0.29
515,디에이치케이솔루션,0.21608914531487106,0.3145138257767013,0.010028985929424878,0.005827254399296395,0.024705634940780187,0.010670937429609896,0.016431907894370556,0.9240696221101392,0.04541460103414389,0.01913944856203112,0.005617423641130231,0.005758904652555511,5837.0,217.7,0.11
516,온라인팜,0.15171728688882452,0.6572219080293215,0.03537460506466608,0.012699921257422912,0.09535547699692012,0.033990723678689196,0.013640078084155755,0.7006763089949705,0.2154718639400683,0.05583620948029892,0.013790861370329671,0.014224756214332673,5992.0,9165.3,0.1
517,페어콘라인,0.5094661876072395,0.14245927724051924,0.007942755539766035,0.0053844789973830605,0.01840863951495835,0.008508264980499074,0.02133977534837921,0.47448351134121286,0.03606318643387651,0.014545791189337581,0.004169736123677809,0.004285572063757376,4972.0,445.9,0.27
518,해커스 교육그룹,0.7849693639608314,0.12139802542385252,0.008769792217516137,0.006504998123580949,0.01915907325706307,0.009019286489863276,0.026332821759319582,0.6554832610358287,0.047764496095245884,0.018488675651360437,0.00521818451315592,0.005341653460501426,3350.0,24.2,0.95
519,동화세상에듀코,0.1273862953197264,0.6320660173116952,0.03428377234062093,0.013184469230105843,0.13159696849952557,0.05058824494745804,0.010894232350868066,0.8579272167085594,0.0904636944918269,0.03315006222670584,0.00911350797906883,0.00934551859383904,4682.0,1291.0,0.17
520,에듀윌,0.09891421046790769,0.24025082440097167,0.18127351659639745,0.015495798252905655,0.3692052959814078,0.07706468210503045,0.008704163324488843,0.2001029979760887,0.48323487425336364,0.08404731717126679,0.016666037762208354,0.01709487045789562,3707.0,1556.8,0.58
521,메가스터디교육,0.16887603451404942,0.6265442355337091,0.038685082838000734,0.014079458138532864,0.09993743670456139,0.03667435165605703,0.015203400615089582,0.0738930851728891,0.19258333481164372,0.24894022774780594,0.01667632683729879,0.01722398112656323,3011.0,6225.4,0.51
522,대교,0.10146148716672904,0.3246341509098418,0.022758467782043663,0.008588079845077317,0.05418837505001814,0.021318471521232667,0.009026373168156826,0.9084663938612982,0.0537646354634454,0.023500801618100448,0.007058462862546494,0.007209706194609346,1928.0,65.7,0.33
523,이투스교육,0.7285759019186849,0.13486832279705868,0.009487030498322177,0.006923491517871974,0.021002565948369363,0.009833724368670164,0.02953669280357188,0.8612953388522908,0.05186355058459653,0.02153049518216677,0.006265530527524062,0.006432582372860168,1284.0,1646.9,1.63
524,아발론교육,0.11585057221734786,0.23434507562430107,0.09946369529412206,0.02455107363188637,0.17803184939344813,0.19514353649122723,0.010136839288508167,0.5972886736983309,0.03471007737369457,0.01482956991449685,0.004391149615072224,0.004493954993900287,2607.0,299.2,0.89
525,한국산업인력공단,0.102726625297768,0.5220029214443083,0.04303472169649594,0.013058152127339693,0.07113059196978837,0.029919096659994815,0.009690572832248273,0.5095555312284971,0.028881597594061205,0.011926358973063766,0.0034767230333909477,0.0035485530865915185,5969.0,1100.0,0.14
526,한국과학기술원,0.07541338357322619,0.4090642821882381,0.007861128558590478,0.003973164783998536,0.019277978747622066,0.008414104930106404,0.006322630635315712,0.883699511243387,0.04396865468978659,0.018180230593178522,0.005301723449463248,0.00541548157704266,11264.0,8843.5,0.51
527,파고다아카데미,0.15282647951333822,0.03973214090653012,0.0030030290492002675,0.0023664316211214503,0.006527504084063077,0.003098115605952084,0.007937643293276458,0.940837455091341,0.03476384000282958,0.015181403588279452,0.004562531976888077,0.004654769340661687,3697.0,212.9,0.48
528,디와이비최선어학원,1.0,2.284564772466542e-307,1.543508413530654e-308,1.1252458901583877e-308,3.4772159055065253e-308,1.6264832822910347e-308,4.4290589781923527e-308,0.5428084102381712,0.048182569211150716,0.0183743938631466,0.005140473487396867,0.005271366872223069,4493.0,67.0,0.6900000000000001
529,에스제이더블유인터내셔널,0.7099822295306512,0.21711851837889076,0.009403262386993952,0.0061007326422606555,0.0218136684472496,0.009989676743784459,0.025591911870169206,0.8152923623302397,0.04905257053253071,0.01952144379728896,0.0055387833683871335,0.005721006912310476,3916.0,216.4,0.5
530,멀티캠퍼스,0.6710358972705174,0.13646236918122254,0.0095483308732883,0.007015016665294282,0.02078150782398124,0.009767746126759238,0.032449865986131955,0.6593777509134355,0.2511437129066194,0.060309135007600025,0.014295868880069165,0.01487353229227609,3854.0,2958.2,0.16
531,메가엠디,0.15460486292498526,0.03466409884800971,0.0024230902366880543,0.0018124624992012595,0.005373753169297115,0.0025001940481024798,0.00879359961631353,0.6302437310812237,0.036736500952473605,0.015533435458530167,0.004581864447060099,0.004682398255954441,3422.0,718.4,0.67
532,해커스어학원,0.7752598905884095,0.14292086267845977,0.011388413832034434,0.008849024742039394,0.024566364350880773,0.011667334012684416,0.02534810979549179,0.8608229974440995,0.08821106061763469,0.03268214280974169,0.009024914548757063,0.009258884579766705,2984.0,244.2,0.68
533,메가스터디,0.6171806532850107,0.2992871859367532,0.011049303319765922,0.0069543084234978975,0.025702563516887232,0.011633757543117466,0.028192227974967392,1.0,5.374583169323024e-307,1.3495654315003484e-307,3.277336627871322e-308,3.365492938976592e-308,4861.0,502.7,0.25
534,조선대학교,0.4681914316762586,0.42120712135470934,0.013823424760561386,0.008670782568065694,0.03119972359322634,0.014078841709240364,0.042828674337938265,0.09897948256283898,0.6166659897415019,0.12273320937872123,0.01742589759596735,0.01751346201800196,2519.0,2461.8,0.59
535,건국대학교,1.618984261322264e-307,2.9345268631535844e-307,1.0,4.363449702742579e-308,1.1365647365729864e-307,6.2804196419876075e-308,1.4947187409221945e-308,0.6415648982892043,0.10154331057792029,0.03356158567379208,0.008877834674451742,0.00913378515210262,3039.0,9528.2,0.33
536,케이지에듀원,1.0,1.887336048387684e-307,1.3872044082593604e-308,1.0397768659663953e-308,3.0152879704172635e-308,1.423029009595019e-308,3.9503119396473803e-308,0.3722694400439098,0.40488127242768357,0.05951562731217837,0.014027224619287243,0.014724033023325724,4382.0,623.4,0.61
537,데이원컴퍼니,0.12382372657154382,0.2654916522793181,0.09560714247314812,0.025615030734776386,0.1366331101529349,0.08568951905244131,0.01109802248211882,0.6169367829945454,0.1923035253577711,0.055527306403370266,0.013752713847582507,0.01433329985219954,3997.0,849.7,0.68
538,연세대학교,0.07462945519480269,0.2059776444909787,0.08074339538035175,0.010747611267700054,0.11853700763221625,0.037402126694552264,0.006617861498303238,1.0,1.899026483357874e-307,7.191021074959938e-308,2.0035931184001487e-308,2.0598731933281227e-308,1388.0,4895.8,1.74
539,캐럿글로벌,0.09497614232890306,0.3704284466940658,0.012838971933395582,0.0056434746047040445,0.0346214906377638,0.013327649847218787,0.008305588575196364,0.48758085903922005,0.31937960792630565,0.07090187866784764,0.016533775147407684,0.0173036997574686,4130.0,320.9,0.37
540,월스트리트인스티튜트코리아,0.150070320087371,0.2597899240964346,0.3102351960362039,0.0499198829249552,0.1237103067983186,0.0799165127893344,0.013172213880601533,6.0775901453874066e-307,1.0,2.1060277544083225e-307,4.473132097578895e-308,4.565809489996334e-308,3388.0,85.0,0.47
541,중앙대학교,0.06335514313512132,0.10862293152696167,0.736507461338435,0.019697127547616978,0.04196077369845132,0.024076235687722575,0.005780327065691268,0.7350591451430907,0.09080059102207906,0.030565437166725176,0.008139332170521691,0.008366999986253518,1776.0,6280.9,1.4
542,와이비엠에듀,0.7008663995445683,0.14362172056420475,0.010941782850679278,0.008247728893285894,0.023649361080439874,0.0111564497106182,0.028411669807801656,0.18579288231425117,0.2846136941708232,0.06907692309491206,0.013355611296696015,0.013989684863438944,2941.0,741.5,0.46
543,한국표준협회,0.5490951606708229,0.13432593991300584,0.010226994846656233,0.007670711346536736,0.0222872661520332,0.010488998608997841,0.026289991439526664,0.7361420534658413,0.18182475490514927,0.054066010826425925,0.013819029958311522,0.014148150844272303,6032.0,1233.7,0.2
544,와이비엠시사닷컴,0.125054794369083,0.6592849976647551,0.031096241400530248,0.012086355424088993,0.11927880923859613,0.042503561839441144,0.010695240063505532,2.8844316307567312e-307,2.8302624219687305e-307,4.289168623289875e-307,3.076110587244353e-307,1.0,4336.0,1164.1,0.22
545,좋은책신사고,0.6637572155375173,0.14992540288652145,0.010682519698010587,0.007848381146630962,0.023434536596455037,0.01099028913081746,0.034195470322155384,0.8141571524389882,0.1285291565582089,0.03782510057752134,0.00963914455317517,0.009849445872106231,5401.0,683.5,0.48
546,아이지엠세계경영연구원,0.572290914361491,0.1500207907697459,0.009019315485376862,0.0062129419711727365,0.02081655599514974,0.009640077106300817,0.02335142060739834,0.3570437689021034,0.21545010427762237,0.04588109507840968,0.010869873376704184,0.011342750695822136,5152.0,53.3,0.24
547,디쉐어,0.0956676477847924,0.41080049686127484,0.011939104764187256,0.006196527808687926,0.025826118503296316,0.011494986077212516,0.009252495298649611,1.0,2.1992706970472e-307,7.904108709855572e-308,2.155037857165167e-308,2.2142796850354163e-308,3336.0,556.5,0.88
