,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
1105,현대트랜시스,0.2263817391302459,0.39833420666960323,0.03935558043034197,0.010138443227827114,0.006723080802189966,0.01475806623308885,0.0209459599500341,0.012797341468259423,0.42310439086514334,0.022751608958642748,0.02543234187315231,0.016474266438830577,0.007860250734836342,0.006632166235261568,0.005949755044767141,0.006006383992041304,9756.0,6500.0,0.09
1106,한국단자공업,0.1802134772005719,0.591984714126093,0.07475497481553833,0.016336816937738884,0.009571028873742303,0.028571289858662436,0.050398943697901245,0.009894765598891095,0.8151924094980809,0.01435270216686884,0.015528745733350773,0.01268060694244337,0.006341668578694691,0.005822494393057692,0.005494724057118712,0.005549350807475978,6734.0,9076.6,0.19
1107,동진쎄미켐,0.7692351919537777,0.1236072166699438,0.015285785009906256,0.0046406257340202125,0.003632086440546651,0.005700114442051035,0.006538764720746695,0.024207242367819425,8.65575174462376e-307,2.3794969111633245e-307,1.0,1.3550763200171499e-307,6.586227841448726e-308,4.799932833994512e-308,4.037407977066559e-308,4.0711987122423094e-308,6812.0,7937.3,0.21
1108,네패스,1.9651300878071344e-306,1.0,9.56869965589614e-308,2.8266421236326266e-308,2.1836957985902024e-308,3.797183082744038e-308,4.544915353465635e-308,9.333182232264438e-308,0.9109376677015449,0.019725007754942757,0.023203652572406683,0.016520740903895915,0.008418067456256624,0.007423577377093943,0.006832747975470954,0.006938538258388174,4389.0,3454.6,0.37
1109,만도,1.876095383181335e-306,1.0,9.145234615466591e-308,2.7453025612573634e-308,2.130731317087013e-308,3.6567075143761075e-308,4.3154640642471226e-308,8.390650133367185e-308,0.7205848761721384,0.021319641868526293,0.023460767153890588,0.01687130983501098,0.008132591069824066,0.007083584334593942,0.006485552366434894,0.006533706565724337,9594.0,2900.0,0.17
1110,동우화인켐,0.18189259132496072,0.5396400707051783,0.05424100062390135,0.012900324849484793,0.007752874383316431,0.020504776672505193,0.03178126812125279,0.010047691999430402,0.8641582670351683,0.01678168002996891,0.018003911711726276,0.013327621974644273,0.006351910130278542,0.005558162696272107,0.005102770229533014,0.005128768498639239,6032.0,2500.0,0.05
1111,테크윙,0.15337161920518855,0.20714966386477324,0.24369455717164995,0.0584527471943038,0.01979510244957689,0.09117118114342622,0.04085537642896936,0.008009614001020713,0.5375811296052294,0.009792763210424382,0.010625578378067541,0.008322335071500913,0.004099966755706072,0.003690965515889796,0.0034428030010589315,0.0034734004667282947,5634.0,2225.2,0.15
1112,도쿄일렉트론코리아,0.6638961456761179,0.060333221953119034,0.009226851172085363,0.0028422337050189057,0.0022726700600281292,0.003369523040424251,0.003774494227253582,0.009400828177972827,0.463772211309357,0.029798796315708823,0.034274545859142906,0.02130055394136645,0.010009603930758662,0.008361976405388702,0.0074865249629054356,0.007525366483446518,6082.0,1200.0,0.07
1113,한국지엠,0.1334224137514081,0.17218976038569728,0.34575144874817043,0.04578572131242115,0.01848800156400009,0.030166229511445538,0.022681216141707195,0.006935662648918682,0.6907050295272177,0.022226264844017293,0.025387017083416098,0.017549048769565125,0.008613416543905331,0.007460858390558899,0.006801140233794587,0.006876993367290167,6132.0,7000.0,0.09
1114,영풍전자,0.6214712725782514,0.15080221560745335,0.015697624941930097,0.004689705750524946,0.003599619248661702,0.005874354136382563,0.006812640447175619,0.040503112849843294,0.7710181906172324,0.05997603876014666,0.07336252248009997,0.03897877169200061,0.017608805232263436,0.01415585140332957,0.012457558541798803,0.012442261273128107,4571.0,6667.6,0.53
1115,대덕전자,0.41424055261397236,0.3052875866360623,0.025581659227568148,0.007373055656101443,0.005588978618252346,0.009901584352505318,0.012754053202301715,0.02545579292686566,0.23378665986311684,0.25129453316459216,0.0861372924002899,0.16324581411422648,0.04519097643103821,0.030684800371366675,0.024330234555338233,0.02373824941676961,14562.0,1100.0,0.27
1116,코오롱인더스트리,0.6805331138124422,0.1368201947155961,0.012954716293240416,0.003807028413155205,0.0029120127643590685,0.004855704134786885,0.00586043805726549,0.043684612891338966,0.8207017401106095,0.009979938660990752,0.011040883675924068,0.008700171886222696,0.004380435385909515,0.003980418898426032,0.0037312290938178584,0.003775660979275473,7347.0,3400.0,0.15
1117,매일유업,1.0,7.534522778336518e-307,8.305333987106758e-308,2.473157933972318e-308,1.9120473598670586e-308,3.116596280194518e-308,3.728191719056877e-308,1.4867849249403958e-307,1.0,4.3702585984041696e-308,4.778428879213244e-308,3.7713460466789256e-308,1.869571830537845e-308,1.6905735862215446e-308,1.582448673750572e-308,1.5960574296794394e-308,6964.0,1500.0,0.16
1118,삼양식품,0.12310303641329555,0.19374533076791683,0.13704699246677962,0.01817390330484039,0.009815569774651573,0.03510518453184485,0.06330956146136751,0.006751859026788677,0.9013492408747633,0.012578847187805043,0.013780648998286238,0.010876567530466067,0.00541612492791379,0.004905886052558471,0.004593559446552323,0.004638695244830717,4307.0,6308.7,0.27
1119,네이처리퍼블릭,0.4329894134400316,0.24290991628063197,0.017841148042364925,0.005178032996368503,0.003908847509096224,0.006738516381898094,0.007991457800019898,0.01959399906477108,0.7859559557476736,0.016686063356490193,0.01798331025145608,0.014828294640798963,0.007431840493261812,0.006853910294095273,0.006482747569426257,0.006550396860562734,5149.0,1255.2,0.46
1120,청호나이스,0.07176927959599362,0.07621453023334741,0.07204551883851519,0.7209891441467772,0.02461513152209948,0.01920989893211152,0.011451370210190161,0.003705126520965488,0.5894749473866941,0.009336279982506347,0.010121545942732532,0.008094156806837467,0.00402192888663254,0.0036572338388442633,0.003430844867132585,0.0034643074468189523,3854.0,4210.3,0.43
1121,엠씨넥스,0.41765661145868815,0.3515233877321683,0.019846720324569418,0.005801760946953842,0.004319787197890773,0.007688751525187523,0.009044448249526552,0.01768504573760536,0.27480207460551337,0.010621535199395429,0.012320456418084713,0.00835798021858886,0.004177076382831681,0.0036111013458816803,0.003277473579696101,0.00333074184074021,5274.0,8176.3,0.21
1122,롯데케미칼,0.8874052244965701,0.06494338525204277,0.007941943018000561,0.002401523941770607,0.001934779908094827,0.002943282821115582,0.0033699945805081774,0.015639769972392387,0.9433539022748001,0.012370287351391613,0.01333229411984434,0.010928387939502876,0.005462627830296149,0.005021969232539918,0.004741077899816105,0.00478945335180921,9420.0,13700.0,0.09
1123,신성통상,0.6199927811636521,0.062316592890676856,0.00960478625497205,0.002970423732936932,0.0024741624804496378,0.0035310150645730476,0.003950604683280799,0.009214632308917056,5.949860981981519e-307,1.0,1.9511525374887064e-307,2.1487273056173967e-307,7.1176512360392e-308,5.243815464153646e-308,4.3910524738359224e-308,4.2765207001969463e-308,2238.0,16.1,0.11
1124,카페베네,0.8178912378876724,0.06494534158129428,0.009445923976189138,0.002919671737728048,0.002409781207574164,0.0034999658712532703,0.003907300774794978,0.009878629242803397,0.9097645244816389,0.019350800977028203,0.02092071621546692,0.01741135341998825,0.008796182886852867,0.008164387164457297,0.007750968087420487,0.007841066767147232,4645.0,181.1,0.8300000000000001
1125,엘앤에프,0.09054881059342614,0.7410663576340791,0.06818940904559005,0.013413772592774506,0.007410669921025837,0.018834536203131604,0.01939622783217723,0.0049008168476486124,1.0,5.143344142095911e-308,5.985864102818012e-308,4.349025816633769e-308,2.217414427900629e-308,1.968271602588712e-308,1.8181400386459916e-308,1.8464511032330266e-308,4951.0,44.5,0.11
1126,원익아이피에스,1.3076282290326162e-306,1.0,1.194185622118754e-307,3.36188022593667e-308,2.486192817161011e-308,4.716607206205126e-308,6.448232506622554e-308,7.901235327714334e-308,0.7442728154495362,0.008538961925183107,0.009813514351033732,0.006960370306555568,0.0034706073374207213,0.0030411341725341406,0.0027892992777908223,0.0028254963324170685,7565.0,1200.0,0.11
1127,타이코에이엠피,0.3969264420603387,0.09910700238740118,0.011018592367585883,0.0032945364942049238,0.0026633230704985623,0.0040974722237721315,0.004727943467028995,0.029611675214009165,0.4453170837613489,0.019721596173661454,0.021777288253127733,0.014999752576638407,0.007064362255250193,0.006044700130126611,0.005488101688843719,0.005506484907782836,5298.0,6499.1,0.43
1128,신도리코,0.6439483005900328,0.08338594688739041,0.011949229703414083,0.0036287115699078602,0.002874040157205885,0.004333026249202309,0.004908401241204357,0.01703506993958236,0.34139101976690844,0.034356911383795964,0.043396761560186264,0.022750579284166815,0.010634325308379922,0.008602977264886782,0.007575500464261572,0.007618271684002262,7127.0,3086.3,0.31
1129,현대로템,0.203859029237592,0.5614277810943495,0.07868032978776471,0.01820957116184412,0.010823370606439838,0.03572274056888858,0.08018739860665894,0.011089778936462426,0.6930354254921474,0.015788781043575523,0.01723830614281639,0.012624359634174537,0.006055220361605154,0.0052931307268702455,0.00486161803058786,0.004888277566776664,9467.0,2800.0,0.07
1130,성우하이텍,0.8595515902720086,0.080389746568436,0.012955453093328278,0.004014417619404694,0.003286653421931563,0.004703428864001858,0.005211994751116439,0.011724183303755286,1.0,4.125354111745652e-308,4.467714465792653e-308,3.5961367812088534e-308,1.795569940534424e-308,1.6394247538307583e-308,1.5404130895498347e-308,1.557387659287255e-308,3557.0,8.2,0.18
1131,한미반도체,0.7197316592440333,0.1732656450483746,0.014031272125230525,0.004108917987148195,0.0031611317470015042,0.005313107395118989,0.006423749332733519,0.03231100054417387,1.0,1.6915193818491883e-307,2.099386488980236e-307,1.0031156924254019e-307,4.742032426732383e-308,3.7073355122559734e-308,3.1902392678408446e-308,3.2276644099792736e-308,6219.0,3717.4,0.13
1132,세메스,2.1281208699400405e-306,7.529511703996919e-307,8.542476671424637e-308,2.48937279287105e-308,1.9999065651530953e-308,3.122174448259172e-308,3.7704662238033575e-308,1.0,0.9240033485596876,0.016398129665844946,0.017641281136418857,0.014692793968277395,0.007381844415670121,0.006839354434250553,0.006487787232851413,0.006555460586999315,10670.0,3100.0,0.08
1133,한국인터텍테스팅서비스,0.7082655164693279,0.07697745001285232,0.011711289407074336,0.0035929636780442802,0.002846364247271888,0.00426832362099353,0.004798566655492547,0.012982248873415952,0.12188017085429347,0.08265146791523768,0.04608831831049655,0.28665921593080423,0.06109833402334326,0.034898192338200705,0.024035898891552845,0.022874364318521932,4440.0,389.6,0.35
1134,쿠쿠전자,0.5427816777860791,0.05293026878785412,0.009021489679369086,0.0028010804087263788,0.002474851133976764,0.003252967389412666,0.003596191728978454,0.0077143428688481955,0.8423392592507198,0.014615440702580043,0.0160253109601391,0.012517392834064722,0.006218248778680696,0.005608728505663787,0.005236923541486713,0.005289509159008727,4914.0,6411.7,0.27
1135,온세미컨덕터코리아,0.6544857804987168,0.07043467424176214,0.010558235219721714,0.003251049837627586,0.0025936295415436737,0.0038741221729370655,0.004351250572167988,0.010969440799869504,8.639032861683686e-307,2.388208780656208e-307,1.0,1.358482886415409e-307,6.602778473358678e-308,4.808701479106233e-308,4.04356173532433e-308,4.0774268770726926e-308,5398.0,6350.7,0.28
1136,엘에스엠트론,0.1681414332609146,0.28497148083102286,0.09274609964810925,0.021240935357239,0.011940473999055685,0.0645376800910744,0.09331998693111529,0.008899045915462894,1.0,3.481482795487893e-308,3.855504634362194e-308,3.067880027378772e-308,1.5577898561991137e-308,1.424569671814402e-308,1.3393277884727126e-308,1.3579012320279682e-308,6619.0,9252.5,0.33
1137,한국가스안전공사,0.4743034206552206,0.043051123984470585,0.007170626954010649,0.0022221655824440573,0.001957353581544062,0.00259463504901029,0.0028781134713412914,0.006448644012401603,1.0,4.147026488281331e-308,4.484583022854585e-308,3.6112020817470547e-308,1.800240327668891e-308,1.642985160364663e-308,1.5435450520905284e-308,1.560065898711252e-308,6925.0,2104.9,0.15
1138,에이에스이코리아,0.4849932676917375,0.08396948890157635,0.011182934869656344,0.003432004825254841,0.0027195495382446415,0.004215440554100843,0.004796631493339202,0.012598486256784,0.17624911625554396,0.12258288314420132,0.14998860499820377,0.07602681687443166,0.05202230776108743,0.02704324791425542,0.01993720402918074,0.020435884425604185,5310.0,6516.5,0.15
1139,이엠텍,1.3126922576294833e-306,1.0,1.314678350033339e-307,3.638867132454461e-308,2.5834551305951125e-308,5.098956631935578e-308,6.456254016850499e-308,6.638627418325032e-308,1.0,5.272421787217374e-308,6.165508599922524e-308,4.446987941213265e-308,2.264225137229952e-308,2.0041765188714306e-308,1.849421163928228e-308,1.876978809021103e-308,4989.0,8.8,0.58
1140,한전산업개발,1.0,7.536963459343682e-307,8.402767370748411e-308,2.5060461348691524e-308,1.933670001330916e-308,3.125948534989235e-308,3.6831529193110365e-308,2.4185895463862355e-307,0.6869350228285529,0.027695467823029167,0.03210957074830072,0.020338135584848288,0.009589781684816391,0.008052908259255176,0.007240783075260825,0.007271279243908333,5718.0,3055.8,0.21
1141,빙그레,0.1629375464411888,0.37987740118161484,0.05594946080087245,0.012824090201597551,0.007554805112981483,0.019982559294024798,0.029888099167399148,0.00897898089404515,0.526309930179077,0.021103770420259467,0.023285787250896466,0.016403499583783877,0.007942449801257766,0.006881400905533158,0.00626873737231801,0.006331781496978755,6032.0,9840.0,0.11
