,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
979,다쏘시스템코리아,0.5318714762383943,0.15449819120267538,0.09931118211391204,0.06845886638164936,0.0675056636226101,0.010002761434602825,0.04316857867087729,0.025183280335278786,0.8121170965024337,0.09477940310647617,0.02634041570638799,0.008091522687429286,0.009308135298790685,0.011521889219662745,0.00794265810123939,6032.0,1761.3,0.12
980,코너크리에이티브,1.5035101220746825e-308,1.0,1.0046059543115412e-307,3.891423333217221e-308,3.8779033031422266e-308,7.50533257439571e-309,1.57800919283513e-308,2.006063900890063e-308,0.7580554716565883,0.03071171486120289,0.013063844783625765,0.005685615027016834,0.006012495900208268,0.0065221927444368815,0.005696553628587204,5095.0,18.9,0.55
981,코츠테크놀로지,0.36325411449641976,0.17580179907497917,0.08595718328824563,0.05170173612529197,0.04874392602709201,0.03818816747275634,0.03150782149151766,0.02032631409360157,0.7820181079147168,0.03196612757813781,0.012306062398017273,0.0050423794758857506,0.005461151888994306,0.006151792128323544,0.005055213082527598,5327.0,319.0,0.18
982,게임덱스,0.636584627074251,0.12927017213453784,0.06033316044052834,0.035454339538989056,0.03229880281667315,0.07085555297958755,0.02099991510292218,0.014203429912511093,0.4984694178696734,0.02614083962983141,0.009928707148548578,0.003999174995244089,0.004343659749765275,0.004927111555185621,0.003988648387107718,3698.0,123.0,0.1
983,다산네트웍솔루션즈,0.3992484570343739,0.23165186465690357,0.11411477101037146,0.06992111621362351,0.06417892693645881,0.05125963236112176,0.04303965066084191,0.026585581126304974,0.26355015627421197,0.2889445768634528,0.04200004682065128,0.013064932835538395,0.01664909213360072,0.02661422621002132,0.013088375031931476,5952.0,2002.6,0.12
984,오케이포스,0.5174281340847074,0.18315160990779294,0.09506067066465365,0.060446963488232384,0.05105065344833001,0.029746785598843303,0.04150314274024255,0.021612040067197576,0.904742372114271,0.027525398660150503,0.009943816116580028,0.003940167082595652,0.0043229182742608755,0.00496970744487764,0.00395382796776382,4388.0,307.0,0.27
985,퓨처젠,1.0,2.4045348031301385e-307,1.4651228603831493e-307,1.1834966637222209e-307,8.318376586537984e-308,1.894781339806014e-308,1.0073981925393884e-307,3.1783501796147286e-308,8.29504350552218e-307,5.3226017527448624e-307,1.0,1.1100632772424598e-307,1.563257378681124e-307,2.1501846196268145e-307,9.822574019715367e-308,5143.0,649.8,0.18
986,네이버아이앤에스,0.013489368739071667,0.21772342893171084,0.22263198247142113,0.06910473163953952,0.038231734762853964,0.004178625549015427,0.017880881054366006,0.019401550385545172,0.6128219268834817,0.02573856237872563,0.010204680507469057,0.004156208274386863,0.004474578578253154,0.0050002074037621014,0.004133459338274322,6032.0,199.7,0.31
987,다하미커뮤니케이션즈,1.0,1.1246233063605218e-307,5.287340764598979e-308,3.087743487864271e-308,2.894190475363225e-308,4.0494125586888893e-308,1.8354114579097194e-308,1.2916013537300264e-308,0.3169752004452617,0.4025849595082361,0.0753280477622807,0.014887290495702888,0.01835681750516451,0.025441053462861966,0.014254808046149783,4360.0,210.8,0.13
988,미리디,1.505722794646371e-308,1.0,9.94556581006312e-308,3.760957684518906e-308,3.8881971366224645e-308,7.237678952711013e-309,1.5452530291925616e-308,2.106726347924675e-308,0.7881274611296922,0.02714517394754496,0.011377900248255416,0.004942743779759152,0.005246030332187264,0.005722399379481998,0.004963957600828915,4169.0,193.2,0.38
989,삼보컴퓨터,0.028646326470131274,0.2206805126035963,0.1553978077729818,0.2554238035257064,0.06053590803540078,0.0076809239426219224,0.04255460083332394,0.023030273310605982,0.9286033610384036,0.03445320447261216,0.013285347325426322,0.005491662715091202,0.005948011261367649,0.00669610369502358,0.005522309492075664,3486.0,896.2,1.43
990,시티랩스,1.0,2.6241006179299343e-307,1.7414983303739542e-307,1.384167435877366e-307,1.310140022502713e-307,1.5534332022194396e-308,6.820386014338579e-308,4.1222705082255547e-308,1.0,1.26993543969618e-307,4.875685632045753e-308,1.9938211228630167e-308,2.160442222645064e-308,2.4380895892575666e-308,1.9962783769317116e-308,3957.0,171.8,0.51
991,디자인커뮤니케이션,0.025141368778494363,0.03028407515177172,0.013580219419204455,0.007819749014862851,0.007167345643602689,0.7252502166086323,0.0044412318098930054,0.0033122234296028767,0.09382151448308526,0.03487928628728425,0.03138019711178626,0.5513428613112751,0.039208063784794335,0.01663535398784933,0.04853732321490673,2916.0,10.7,0.86
992,아지앙스코리아,0.02199051863296778,0.17242146838198383,0.12285557648228529,0.5562930422745741,0.053818880163798724,0.0056438797532578425,0.028977865638832367,0.01862626481334037,2.054509530490763e-306,1.0,1.4991493943606981e-307,4.613973038496659e-308,5.500670554035558e-308,7.386711458863666e-308,4.589343264827482e-308,4798.0,67.7,0.63
993,키즈룹,0.05576473956397051,0.1332536592579476,0.09226749363138842,0.080183170829252,0.04451827662138935,0.007962946795800677,0.3679443005705195,0.019310212125081973,0.46113352909516725,0.24104290363651665,0.05017552487850861,0.014403101156807293,0.01759719868193858,0.025167783483863525,0.014183652252522223,5852.0,14.6,3.17
994,텔코웨어,2.1970684112426814e-308,1.0,2.0905903810406657e-307,6.714995784020698e-308,6.159304135714689e-308,9.151980385174563e-309,2.4569963302805604e-308,3.326391768616501e-308,1.0,5.350208434538036e-307,1.4500601741491982e-307,4.2129853573474875e-308,4.88466767561416e-308,6.151955175220552e-308,4.0942440694072483e-308,7396.0,348.2,0.09
995,리틀팍스,0.3864025980334379,0.2332512312163489,0.11303104820080344,0.06826360912756338,0.060220777615448785,0.0704816065448721,0.04240069242223125,0.02594843683929438,0.4809233136412478,0.025128814425791852,0.009570521165611016,0.003850581005297511,0.004179905865194742,0.004736498995305128,0.0038380963994840735,4877.0,119.6,0.4
996,소셜뉴스,0.010577308196481432,0.7289302048776958,0.07863794386007121,0.027589092568064588,0.030032984226943074,0.004452367728658037,0.01047410909907613,0.015696426698990962,0.2561191026285606,0.20364904027317304,0.10889313964195316,0.015278986870666953,0.0188231361504035,0.025135624577335793,0.014275960283088591,3178.0,105.1,0.42
997,쓰리디팩토리,0.9258434249629832,0.025987020469569466,0.012039107610505338,0.0070175011646978255,0.006464376917306591,0.015652426219250483,0.004123248173317791,0.002872894482369238,0.1978129503130181,0.10746032484135479,0.19569080633136499,0.038455753063069115,0.05983800275771038,0.05849991582273477,0.03136917622901721,3481.0,54.2,0.64
998,에이디앤스타일,0.009733597664483768,0.5982557422454076,0.06806878333510576,0.0255388661956044,0.025604030637974895,0.004708976028701951,0.01022194775469682,0.013163366383475232,0.9340884981468965,0.025757150824222322,0.010600189921101972,0.004531232251300825,0.004833142174353927,0.005311696107921781,0.00454733250633941,3930.0,59.3,0.28
999,유젠,0.819600608743123,0.0652194789366859,0.03660166444576335,0.024427758497475072,0.025637537812841928,0.005383642779829341,0.013666497368793025,0.009462811415488522,0.2014610988784753,0.11553334903153292,0.4507358840288476,0.031332664466955595,0.04406905395156425,0.052078611391963105,0.027018715563784622,5278.0,151.4,0.19
1000,지란지교소프트,0.05153319717058028,0.1564443010148093,0.1214012407370813,0.22145246066100463,0.09763532262234867,0.006557258271816628,0.03330344505944729,0.022055560848766517,0.9274971104986093,0.032743389632607964,0.014015858527308899,0.00612985595640638,0.0064709566497465655,0.006998246723217483,0.006144582012103718,2154.0,176.8,2.0
