,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1993,투바앤,1.0,5.017981571796364e-307,1.9877968879230882e-307,2.4796517130655227e-307,3.40745745477378e-308,2.7374990136814356e-308,3.70009598811906e-308,4.630012206710218e-308,0.6203955323323929,0.06991979210868786,0.0043416263064764106,0.009397772411549443,0.0047203003627991815,4377.0,150.6,1.07
1994,금솔커뮤니케이션,0.5853382741891688,0.18273246963768316,0.02597905708577225,0.017936102233320303,0.004923223243339323,0.004200863894390978,0.00508939894316547,0.0063071841245586685,0.19136700199291243,0.5534133119662175,0.013763985112156698,0.04049011781086735,0.016907723944351815,3659.0,59.9,0.8300000000000001
1995,상록에스,0.14386710315026915,0.0638300353117603,0.18044019768723293,0.049601199152921896,0.016742713767164803,0.010360712844916731,0.017869343861350324,0.0427209370498668,0.22887671666829848,0.4277615324824612,0.01134917378681752,0.027227934513910035,0.014085329437081358,2625.0,88.3,0.24
1996,에델만코리아,0.1315869491896221,0.06210358497295686,0.09047402904942912,0.2742282086996705,0.013587945408742653,0.008726205523793622,0.018201561535880154,0.019343282887860077,0.1208280774713824,0.18837565942254025,0.2714587792723231,0.10722098406732644,0.17192737016283804,4765.0,238.4,0.72
1997,서울비젼,0.06391314687841124,0.043901275390162,0.04457422805192868,0.015072295300788564,0.026435939925684954,0.5235560110645561,0.015782721499859678,0.01268718256220549,0.07059821715005021,0.08776914070615523,0.7777707669237961,0.036611280402048,0.0272505948179503,3496.0,1252.0,0.34
1998,한국경제신문,0.17608729453077024,0.7598867079114262,0.016112617557117345,0.009559292436738668,0.0033337111538401538,0.002982985983850838,0.003363902670653112,0.004005878681926882,0.6262478543343933,0.07560704726637563,0.004894638717656252,0.010532848723702894,0.0052922988760932075,6032.0,2306.4,0.12
1999,서울문화사,0.09778200734773919,0.5225189804693859,0.012375407736980757,0.007241273389485723,0.0026382108485179232,0.002394103884785597,0.0026862274534590336,0.003058050477685614,0.516608881017725,0.14848564187560093,0.006445953177909503,0.014334419875496714,0.0072884580691622985,5025.0,298.7,0.51
2000,아인스미디어,0.2285334548369624,0.4198900305785774,0.0160683888771985,0.010341485926461844,0.0032617609664700505,0.002878651181911016,0.0033174795884706276,0.003998445471498003,0.7858939893696663,0.08272205872069822,0.005054226978693212,0.010945823185220895,0.005508307465269448,4157.0,198.1,0.39
2001,매일방송,0.1307542761067418,0.08341810480139493,0.14618222955422913,0.04040438179930041,0.13090627519318754,0.045968421275865895,0.09615542113839423,0.035544233260731396,0.5779865677489342,0.3287499616733399,0.008200625142549049,0.018800044952451175,0.009484092463287271,5159.0,2425.5,0.14
2002,레페리,0.2530646678952125,0.23631114607670192,0.014649039528784342,0.008983441076999558,0.002934090391409193,0.0025816680455333814,0.0029564480650889837,0.003646986591186996,0.10079259979957082,0.7505374874145092,0.01130039180587682,0.03962746147977724,0.014395062642910213,4195.0,162.8,0.49
2003,동아사이언스,1.5760147441004107e-306,1.0,1.0141740189509795e-307,6.430836817457753e-308,2.0463962820604487e-308,1.802849479930028e-308,2.0768431575032653e-308,2.521439407348785e-308,0.8573208818999217,0.05960784799863458,0.0033647032685988378,0.0074407974269088805,0.0036946024968456124,4557.0,161.7,0.47
2004,이노브,1.0,1.152896353816393e-306,1.3129385107086853e-307,8.197323572023161e-308,2.5264271233150004e-308,2.1800932105927996e-308,2.585322296348129e-308,3.1919121410251674e-308,0.12298094002095919,0.3564702513032632,0.017816360259306115,0.04513772043284074,0.027767697373168344,4021.0,107.7,0.5700000000000001
2005,승일미디어그룹,0.496092604526265,0.2616513389165764,0.02893291250855158,0.021083765133584946,0.005732918951153356,0.004968724637958613,0.0059760448601806175,0.007070732882598058,0.21145654437187916,0.5429603897808035,0.012736216629449753,0.035013523690512915,0.015430981668843607,3223.0,105.6,1.34
2006,교학사,0.3585514555238964,0.11470845438883345,0.23952308474605355,0.07220380502225404,0.021264296942240746,0.014312819073484138,0.0226219750655284,0.04456827439511966,0.6884197394730648,0.0784390565257733,0.005337129016010769,0.011380656821426909,0.005735084353241083,2723.0,329.1,0.86
2007,지학사,0.10456858312886212,0.06049964488006102,0.22916658434758236,0.03454268260832499,0.04184171324821277,0.017140189531044004,0.03841058157319667,0.04692819534661557,0.4795524742060514,0.12654524565812628,0.005074886698173843,0.011352590583985838,0.005753732598926143,4226.0,415.1,0.19
2008,키스톤마케팅컴퍼니,0.12900890122082972,0.7613693661815167,0.01425690665079763,0.00878430312806065,0.003009227447010579,0.0027099469464231165,0.0030851624076530188,0.0035156774958388435,0.5954325459380779,0.1471990157835706,0.005664008297408577,0.013021240566240506,0.006427505499642883,4211.0,133.2,0.46
