,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
1395,평화정공,0.751893407988061,0.03742573939212933,0.005659950921716408,0.004886616575925432,0.016308899141400036,0.1553039595792394,0.1618178075421217,0.04470969527963339,0.019944644138268137,0.008178275001271915,0.006892803920922883,0.007079178679119665,0.010352007343562224,6631.0,6267.1,0.06
1396,한전원자력연료,0.9131702836943731,0.05027969238763698,0.00832645673643316,0.007567050121348173,0.020656517060208615,0.7220026140901046,0.049696743416725635,0.022109151474707066,0.013073291653892575,0.006108761947367189,0.005730520090284026,0.005814810358000441,0.006606939936293888,6070.0,3237.3,0.16
1397,크레신,0.9267918438686737,0.04223094195301856,0.0070626363849991824,0.006449388722324775,0.017465189070983628,0.449863532367675,0.02964620231107783,0.012895082399755647,0.007559961242299851,0.003539376151939658,0.0033064351968817743,0.0033613321327585566,0.003845995567474867,5983.0,2403.7,0.24
1398,그린광학,0.2410330623285749,0.13288682963582427,0.016157251624696993,0.011179885602187512,0.07848039752849234,0.13982308533059332,0.12155469475202216,0.4524115874201899,0.056043259832572107,0.015160903187791524,0.012571772489081463,0.012410058870624721,0.020008891806682548,4719.0,323.1,0.24
1399,동서기공,0.7655264247613084,0.1285081117087653,0.014856569628681142,0.011408255852800926,0.06311409569999764,0.6013857595799765,0.18011633258889892,0.04079423284147022,0.021620584108898333,0.009114890457482585,0.008208594345507138,0.008312765644174953,0.010462164643249464,1997.0,31.7,0.61
1400,쌍방울,0.7922380974384944,0.11573500833822084,0.009976332852481538,0.007937536210948237,0.033544614140751335,0.1803885247067333,0.19619800210854677,0.03665976713953341,0.016904175393846844,0.007062233607501425,0.006044790237732488,0.006203216377999606,0.008737242471466873,4093.0,919.6,0.36
1401,이노와이어리스,3.8413721131142316e-307,1.0,2.2431654789627734e-307,6.040904345857834e-308,1.1600461999411584e-307,0.3888229924832501,0.02685412410066643,0.011738945374793317,0.006879950582261783,0.003242771407438344,0.003030050232814734,0.0030843871359345046,0.0035219297557553923,6094.0,611.8,0.11
1402,피닉스다트,0.6406822215549354,0.03699722446653418,0.005266136767978894,0.004491263791697299,0.015403815636708455,0.4344949419429371,0.028795248602321983,0.011754297316171747,0.006811081405003213,0.0030858120061206763,0.0028669136984062525,0.0029037812176613787,0.0033835125157071814,3939.0,171.7,0.64
1403,에쓰푸드,0.8934158926902526,0.04006115578738033,0.006016056478109123,0.005249978731697523,0.01610865749960821,0.21717011762342117,0.353362241736754,0.07775918541517035,0.032477968658008095,0.01175533041484684,0.010009506958849787,0.010110442398990895,0.01472514228334766,2881.0,1.4,1.28
1404,현대삼호중공업,0.720586595231476,0.132562708179623,0.01657973590618263,0.012637752196096402,0.07853939579576534,1.0,1.6407315774220881e-307,6.749676970563644e-308,3.9087881056029644e-308,1.78809385334059e-308,1.661770498395401e-308,1.685815288206193e-308,1.959364502782042e-308,8445.0,4100.0,0.06
1405,정식품,1.0,7.573509771913739e-308,1.254089145387726e-308,1.1392017733728754e-308,3.132588262181472e-308,0.25930236067754003,0.39471582071285216,0.09813079342856516,0.040652404212349,0.01437044071698732,0.01227212692978077,0.012352613226713842,0.01792869823532775,3212.0,95.7,0.4
1406,하이비젼시스템,0.1408525064477047,0.4660868691153167,0.0811812488768055,0.021032478024087697,0.045075715672385164,0.11572844384099665,0.08549940297588832,0.359817632999278,0.08450578772910958,0.023442442538132987,0.017096582696426093,0.01722095953998548,0.04008190833109064,7702.0,2545.9,0.25
1407,지에스칼텍스,0.24426853196652606,0.26540976020425594,0.025069990488704338,0.014387115253108986,0.10980455614115425,0.13243799890979893,0.10217499834676609,0.6534624893110202,0.054909764698200324,0.014426878605768556,0.012135576699716306,0.011874284788334799,0.01857800864039496,15332.0,32500.0,0.05
1408,아이올리,2.9085748226606955e-307,1.881045351150259e-307,9.89894775394966e-308,1.0,7.277629090244311e-308,0.03835293041335453,0.018369428597473116,0.02028990721730462,0.0196640867986657,0.026364940955808876,0.7748402183484565,0.03735136306445214,0.012585360986028206,4313.0,1414.5,0.33
1409,에쓰오일,0.6985089980631154,0.15054846572828634,0.020694202673243886,0.015519916033037425,0.11472841750231719,0.9037213124871563,0.04507995747538643,0.019204022472167844,0.011162006275950417,0.0052465225135839766,0.004883875249518788,0.004975938507622975,0.00572636501861329,17323.0,24400.0,0.03
1410,현대에버다임,0.8508384256313631,0.05424371433436506,0.0069933590745494805,0.005944004479644906,0.01964832958900309,0.46376261730490476,0.024536950413459532,0.010720516934404057,0.006310484044770443,0.0029282406936488236,0.002740896565985408,0.0027799416913105836,0.003177016552753756,5370.0,2647.1,0.17
1411,현진스포텍,0.3705207825690326,0.09683278480488791,0.008605820922459007,0.006620305103023511,0.030545667249696283,0.856990109871297,0.0665253581533145,0.020187630632527022,0.010842863569321886,0.004776927533900704,0.0043044017942506976,0.004386366998450896,0.005460673407404929,6032.0,2334.9,0.13
1412,이미인,0.23225573787129833,0.1309719143499002,0.018987949960721846,0.012543908288055758,0.39914743781209727,0.8786671825196871,0.05199404302270646,0.021761057664912375,0.012678823476310285,0.005799208386706697,0.005400107155414068,0.005473345381509003,0.006335728456999087,3828.0,605.5,0.66
1413,인디에프,0.41697728315196925,0.02165374820432751,0.003198902318278382,0.0028313788514711218,0.00866944597376882,1.0,1.7136153498132672e-307,6.914852574495579e-308,3.9712279632026086e-308,1.8329578425192366e-308,1.69660114321293e-308,1.726286068602895e-308,2.0169390398139526e-308,5612.0,1483.8,0.38
1414,뉴파워프라즈마,0.9161967791205093,0.048927172261169084,0.007845320046652678,0.007050209110359933,0.019980519461308785,0.372725430909363,0.039043830788186816,0.014132673666615065,0.007941359331749004,0.0035338174950790753,0.00324033728919021,0.003287673303356198,0.003943263377125965,7209.0,937.8,0.26
1415,파크랜드,0.6303506216475407,0.03940320248309187,0.005184068374463692,0.004425225872684444,0.01438072608733631,0.28147843319303867,0.32467415703027014,0.08825875141272652,0.03869540758801491,0.01434926872591936,0.012386366694125545,0.012484021248486663,0.01764591389047283,3852.0,1564.4,0.27
1416,심텍홀딩스,2.896073533109571e-307,1.857282235864794e-307,9.577413218462413e-308,1.0,7.221085978702658e-308,0.04937169214749183,0.02421372341199848,0.028839197713790878,0.027306412015688335,0.05584780007601907,0.1421789189683553,0.07346245488535051,0.020203314459860847,9019.0,40.2,0.16
1417,로체시스템즈,3.812081789749179e-307,4.892965953731723e-307,1.0,8.94048616204076e-308,1.2976417817841916e-307,0.10750022182127739,0.06286948985034832,0.11064466415866203,0.21925511758899555,0.045228439622402264,0.029590310395574693,0.02760806571989225,0.07148025402706325,6678.0,1100.5,0.16
1418,인탑스,0.0879261429786207,0.085112855346388,0.021038226090479038,0.010654364949064195,0.07059444735542388,0.1039373385154946,0.05961355905388358,0.09636647523583022,0.3182392174239307,0.028932138733009236,0.0235579939702616,0.021032196509103925,0.03492245919253845,4145.0,4154.9,0.15
1419,안다르,0.754751856228704,0.05207824616903601,0.008748177781219196,0.00797625045730776,0.021651562530884086,0.7355093469754946,0.07609756021694308,0.026199379719952592,0.014379243460508579,0.006547960412033682,0.005943586041230437,0.006073661792831461,0.007396144630059221,4039.0,1144.2,0.54
1420,금호에이치티,0.49441483043517354,0.028490348022378854,0.004250137312546133,0.0037798470144343953,0.011295683630433992,0.30737878394867596,0.29024194953579574,0.06598684955624694,0.0301064639698658,0.012246229670614103,0.010518045339001476,0.0107465828787282,0.015127831727832433,4739.0,1973.1,0.09
1421,코스알엑스,7.318299079231246e-307,3.867086280202808e-307,5.284277617316469e-308,3.536869827366106e-308,1.0,0.7018801201861599,0.046372912825007336,0.01842711992479225,0.01055634850718943,0.004839113435582589,0.004474265188835369,0.004548776576206847,0.005334566786661849,4837.0,1233.5,0.24
1422,이라이콤,0.8085296206460112,0.03675577162439583,0.0054286390416041636,0.0046736942777082825,0.015569059001948493,0.04513048936978479,0.910125535826902,0.015009711129600107,0.006536792996944567,0.00235167383753446,0.002016156093028022,0.0020309109012251075,0.002904739372647111,5686.0,1510.9,0.25
1423,한화토탈에너지스,0.9382860971607611,0.035625936368267275,0.005800830650017931,0.005227038538265528,0.01506009728268812,0.8939829410830534,0.047536748611707556,0.021602605002893675,0.012846130757758069,0.006049447181750581,0.005689314173199421,0.005775318170223843,0.006517495019413377,6082.0,9800.0,0.07
1424,다다씨앤씨,2.9848134113923443e-307,1.954146366682144e-307,1.040849554892469e-307,1.0,7.66305492168652e-308,0.36304871369645597,0.0336242825077408,0.013957355045029452,0.008027321143338564,0.0037864357202641477,0.0035074477256931066,0.0035823629318202438,0.004156868236324964,5723.0,167.8,0.25
1425,로얄앤컴퍼니,0.20238897500244957,0.34671475844701616,0.03323621957430798,0.016583788002418477,0.08902499648983275,0.12295969907547696,0.1345917713963255,0.12593060680145512,0.03640861623992406,0.01091241751672469,0.009008082738960446,0.008999703700636257,0.014396456260639361,4295.0,460.7,0.42
1426,티디케이한국,0.7424126088954186,0.04053688277939964,0.0059041559253943925,0.005055382134247729,0.017194153093108448,0.33738790263985985,0.3200481354316568,0.08675776600496053,0.040649544387364414,0.01463694010659701,0.012813496457800602,0.012825106473474355,0.017556342843285267,5590.0,1284.6,0.19
1427,비비안,0.4954588957042028,0.027077731772339304,0.004013760202470973,0.0035191785085415444,0.011591993458311804,0.9257348798342642,0.03366080463761958,0.015093100569811857,0.008963002137387304,0.0041675204742298725,0.0039151753945697075,0.003966292074748154,0.004499224877369367,4486.0,1698.3,0.19
1428,에스피반도체통신,0.2614392790413712,0.016800918236786977,0.0022824540142746693,0.0019699048195673304,0.006715199135999323,0.2926567323127836,0.25081245613493214,0.07488432619283779,0.03475781397784859,0.012592001803802693,0.011026454669628885,0.01104249977813082,0.015118071338186873,3510.0,527.2,0.56
1429,웰크론,0.8402897728504376,0.047622593471102384,0.007935512996699819,0.0072098821178522635,0.01985632124498058,1.0,2.5539422118864803e-307,8.637879749249344e-308,4.797224036056967e-308,2.1052237066889384e-308,1.9228030385376936e-308,1.949653433166051e-308,2.3641529987410416e-308,4651.0,1100.8,0.24
1430,진주햄,0.14031000630646212,0.4376674033120866,0.03876387648264841,0.015036983896198603,0.04530628725650172,0.7361170042716118,0.05249037106375899,0.021176266843509393,0.012179274415005766,0.005593527785182763,0.005184638821268893,0.00526866089731636,0.00615009516296264,4781.0,1109.8,0.18
1431,삼화양행,0.394995457805176,0.061981295825716154,0.008509063983830617,0.007016583443228282,0.030842497834971176,0.38471943923089347,0.04925936879464963,0.016208662372912776,0.008927335449706447,0.0039907191912676426,0.003636312796231843,0.0037010070018128234,0.004496140424956131,4209.0,1189.7,0.15
1432,원익머트리얼즈,0.3335589373616751,0.11830232538851822,0.012350860838603728,0.008727163413047374,0.05424444333228845,0.15874177161704528,0.4142989929672764,0.06168672145445805,0.025566318741141444,0.009341510671154967,0.007927299717749964,0.008016630834720722,0.011804870786832572,7219.0,2994.6,0.09
1433,파인디지털,0.3170362131701319,0.13232092064946804,0.012856062938062126,0.008726361777150957,0.05640103542645929,0.11294301076384138,0.07327048838652052,0.19812088298798297,0.1526261495634835,0.0314374303606946,0.021834937822807602,0.02142522725329535,0.05917588711176619,5068.0,851.2,0.34
1434,금호석유화학,0.844463590905193,0.04886086758479045,0.00795907588400923,0.007155711407241887,0.020627790990445108,1.0,2.7981825945514754e-307,9.646111917301479e-308,5.37706376058012e-308,2.3476092867985454e-308,2.150008750928218e-308,2.1762238204980224e-308,2.6284940059254176e-308,14012.0,5500.0,0.05
1435,남양인터내셔날,0.32959480929715196,0.10700431533351988,0.01056068232619945,0.007692127429738553,0.039482924494248194,0.11995800615202674,0.09090567543153877,0.1441540076149719,0.041250914580413425,0.0117511316242062,0.009869296607443932,0.009706402198925483,0.015130950630691293,4891.0,2142.4,0.25
1436,동원산업,0.742916745284993,0.028956021294945886,0.004335910001006874,0.0037572268506182206,0.012085986775802098,1.0,2.2997733798694655e-307,8.140345171011516e-308,4.500798743700233e-308,2.0575233600683186e-308,1.873521821222192e-308,1.9137993206696145e-308,2.313988103052072e-308,3728.0,433.0,0.29
1437,린컴퍼니,0.6955679492039987,0.03951095931671269,0.005244403777507092,0.004462634183080709,0.014931363854970944,0.7387817000205302,0.04466923343804994,0.018138446803365977,0.010474178313295723,0.004782255217839844,0.004437779744333091,0.004502878910993747,0.005250063191606519,4479.0,514.7,0.23
1438,희성전자,0.9273890840235969,0.03159369599403489,0.004550080254180004,0.003907910882029794,0.01301694990621237,0.7906561664192788,0.0495185314749272,0.022531390682992845,0.013419638805275264,0.0062930457251597054,0.005922267026956723,0.006005299069035051,0.006776798014504265,6032.0,1486.3,0.12
1439,동광인터내셔날,0.7244005388283947,0.044449566507798674,0.006224605515153545,0.005280558645975783,0.01873560108385874,0.2442357583154183,0.6678005008853879,0.03643216351405556,0.01752560141658987,0.007619586557783537,0.006592003854566116,0.006783165850918814,0.009251610602990823,4465.0,1305.5,0.38
1440,케이브랜즈,0.14782639190448021,0.15750592199785854,0.5989554269308152,0.042089144709767295,0.053623114457078715,0.8107009668143783,0.12040922940471425,0.029467384945233127,0.014998669683140418,0.0061691595420421685,0.005473533613219972,0.00555070137354316,0.0072303546237284565,1994.0,1299.4,0.8300000000000001
1441,큐엠씨,1.0,3.45280099798565e-307,3.442373626602111e-308,2.611278849122921e-308,1.3414428288259413e-307,4.773148190033854e-307,3.4925326483750528e-307,1.0,2.0109783053302232e-307,8.93380481798229e-308,6.393236731580551e-308,6.719354170463734e-308,1.6445198073185476e-307,4702.0,105.2,0.44
1442,코스온,2.9971212786608896e-307,1.9761833506160125e-307,1.0665213614622287e-307,1.0,7.753525015694209e-308,0.4579578547682454,0.3234708731351387,0.05274901174282088,0.02615547930293726,0.011537318965589597,0.01006748320739435,0.010356371164382951,0.01380329982810449,8030.0,874.3,0.78
1443,평화오일씰공업,1.0,1.4266317926294126e-307,2.102004510375435e-308,1.8018424005826195e-308,6.157023439800621e-308,1.0,1.798270399486339e-307,7.117154316054974e-308,4.0885433627862073e-308,1.845994971208e-308,1.70827024024194e-308,1.731651380779576e-308,2.034142676848396e-308,5377.0,2789.4,0.16
1444,메가젠임플란트,0.7015734929168566,0.1469839407055147,0.01987530420657112,0.01481444940481419,0.11675281276624322,0.34396001825284317,0.2684651426203627,0.07917222654614753,0.037209818003440386,0.01374970515438825,0.012067893484244627,0.012105700394558288,0.016447925996132262,4796.0,1654.4,0.15
1445,대덕지디에스,0.0586856634975499,0.03756370549919745,0.019203219398109452,0.8698994205584796,0.014647991046663603,0.052180707650019725,0.02497425094524746,0.027477499624870866,0.02562616394332219,0.04035201913272605,0.3621924229564168,0.0804431523035716,0.01760074026158827,5442.0,4566.1,218.0
1446,코튼클럽,0.902658072169227,0.0560547818232036,0.009416142804789158,0.00859311547631301,0.023277887726467262,0.1409075263278997,0.09847160417483611,0.23064091168821943,0.12027566604050893,0.023088833837734656,0.01848064669265003,0.017889388273899923,0.03224847137656085,4365.0,595.5,0.27
