,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2393,하이엠솔루텍,0.4029561124690021,0.05367462977393324,0.22221696863760848,0.04638883196619574,0.05811140682440913,0.0672461020195109,0.041553858413432405,0.03232882240655668,0.03657457527798285,0.6446413248310038,0.02785166358125279,0.010578998959108599,0.0062592908055009505,0.005369510045168216,0.004549355131197074,0.004859832820470117,0.004616878439632703,6082.0,2094.4,0.1
2394,요거프레소,0.03668476963868732,0.03040848707432497,0.7192049550527781,0.005752542840195528,0.02250819153308938,0.04070013737032711,0.03253099708207975,0.02235064082515017,0.062398536834168426,0.08641747776778938,0.043891183968281816,0.05880159359471203,0.013343330646812118,0.05696939570802404,0.03590295145536307,0.06974585868271287,0.032653628580268934,3020.0,201.6,0.85
2395,발렉스서비스,0.014918229144894934,0.11336444604949097,0.3409936436444387,0.0056225509817568655,0.016614374798836654,0.09721378475021966,0.02608133968815934,0.0354973110210828,0.029615647351125367,0.11679639916730074,0.05583475419237725,0.0567397205809235,0.018290552099366867,0.061612321008352004,0.05214638436483754,0.40020424988273084,0.059683518339128036,3655.0,2550.3,0.6
2396,강원랜드,0.18354682604255793,0.029002150565198913,0.1199781863951481,0.025796012094508946,0.031129215880645267,0.03602120363389786,0.022835769991490614,0.017625499671265553,0.019581751933232947,0.589850899514644,0.04036808513907279,0.011898084467195525,0.008289565629913509,0.006235969190884236,0.004744924557038005,0.0052737530986624445,0.004862662044691105,7662.0,7873.8,0.42
2397,디티앤씨,0.666538515090377,0.025659334162545965,0.1441328119384372,0.009487076446539544,0.05124194882659648,0.035369416978813545,0.029365116384856154,0.01691994241362986,0.021285837758204203,0.22715402886294064,0.2272260806473137,0.03069184532079828,0.02973842304073547,0.015653257988667492,0.008892317929517404,0.010808937313720875,0.009099039409573297,4318.0,406.4,0.24
2398,지씨셀,0.5527237152781543,0.0431103873109215,0.16773260145772845,0.06074599968319128,0.04028266227045539,0.05157668878933093,0.03187739269629097,0.024565803687284324,0.027384748826643008,0.4844348495976577,0.026156556636508108,0.00919192349433318,0.005723369002812777,0.004652263630347138,0.0037737988416576634,0.004098003277567204,0.0038343193648694486,5066.0,1593.4,0.24
2399,아데코코리아,1.0201552091037834e-308,1.0,9.654690035462056e-308,5.27679078726899e-309,1.1061641448138574e-308,3.6317431090584806e-308,1.3534312090495006e-308,1.610898338490779e-308,1.410116943204852e-308,0.2931361361579541,0.3168851107243364,0.023557286055113015,0.021796898805415046,0.012090461873403234,0.007523590893741207,0.008931661400474846,0.007696634521378141,3290.0,845.3,0.99
2400,나이스디앤비,0.8370195720620713,0.013086051434408275,0.07349181987004491,0.005208196419043581,0.019424992698788293,0.01778897190973182,0.012606319680625906,0.009371247819268817,0.012002828106017185,0.7430140269716349,0.05237430078098248,0.014713213341299516,0.009388968011499455,0.007215792691517323,0.005456238860178411,0.006058964961829546,0.005529211963343079,6223.0,647.2,0.41
2401,씨제이텔레닉스,3.8019351244873414e-308,6.06045893071985e-308,4.1052402807945324e-307,9.61314722516126e-309,5.168344109796478e-308,9.436077906530032e-308,1.0,3.0536561188923166e-308,4.2723319726142066e-308,0.8230207668294487,0.04214148342159959,0.016548066035387412,0.009773999087061353,0.008524746729880957,0.007355192456365622,0.007809278643070015,0.007480809547590909,4059.0,716.5,0.28
2402,인크루트,1.4706893915383394e-308,1.0,1.6907532269424553e-307,6.07511165173968e-309,1.495902392702995e-308,5.333983697562085e-308,1.886413115047379e-308,3.193851663190668e-308,2.558037988437031e-308,1.0,6.703575026104265e-308,2.697933389512991e-308,1.5636515673558627e-308,1.3790963963268913e-308,1.202648572787164e-308,1.271394241512418e-308,1.220514574639391e-308,4108.0,256.5,0.56
