,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
140,한화건설,1.0,4.157100380016166e-307,8.262202928544679e-308,2.1838926176763893e-308,1.850527191574349e-308,2.3082371991270967e-308,2.7577938907729187e-308,3.1648503582534394e-308,1.2815778370656902e-307,0.8259883448630764,0.021122220056459983,0.00862403878776484,0.009017141892443351,0.003907802207552242,0.003907259303697359,7903.0,2600.0,1.23
141,케이씨씨건설,0.7312339892066619,0.11819771843085197,0.018043924653892478,0.004736014539382126,0.0039941247679071154,0.004978280443001319,0.006109696520108086,0.006974454005427755,0.018743111229001453,1.0,1.3631123221085207e-307,4.961082323091112e-308,5.371669455664099e-308,2.1730739149415304e-308,2.1556046190873444e-308,5759.0,1400.0,0.22
142,대방건설,4.854600721922816e-307,2.9279602787428628e-307,4.0019581804244145e-307,1.0741567187960252e-307,5.73122088704045e-308,9.14567369427031e-308,1.0,1.7580714406691087e-307,2.631302097034434e-308,1.0,6.569163545639201e-308,2.696250228860633e-308,2.810089889296972e-308,1.2229445498570604e-308,1.2236958316534247e-308,1476.0,1.9,0.25
143,한신공영,0.6012916648686479,0.030735194522090722,0.010712519424724846,0.003158176057629888,0.002848143233777552,0.0032071051005205663,0.0036811855935035384,0.00400955786150371,0.008411158713118235,0.7569150765252908,0.0323744474611767,0.012777459452791403,0.013509605737136336,0.0057274018943307674,0.005715387115055137,6950.0,1300.0,0.34
144,케이알산업,0.2518227420644159,0.034622659825224396,0.00658846310163763,0.0017895052220154382,0.0015463636414592152,0.0018491062209540956,0.0022784839491376244,0.0026409486842202384,0.015445747391349178,0.650024979621364,0.21929276610785356,0.04341121880539269,0.054763038089901045,0.016451780665475205,0.016056216710013203,4065.0,12.9,0.16
145,계룡건설산업,1.0,4.073347657724578e-307,8.1444775654238e-308,2.161336727424953e-308,1.83364888132068e-308,2.2795042357892896e-308,2.7268548212163046e-308,3.1306190297385476e-308,1.3980772334293831e-307,0.8581753631358413,0.029832330244479066,0.011587023816481414,0.012102813525444647,0.0051138338748064555,0.005130466892191908,6868.0,1900.0,0.24
146,희림종합건축사사무소,0.156777259196351,0.12362570304161036,0.21328077593728897,0.023484241731537996,0.014306893034560463,0.03199572039553042,0.03797744303652569,0.048111100869901766,0.008939114362356494,0.648152868357943,0.1211982628929219,0.0301298124637253,0.03654658276891692,0.01198374847750577,0.011723344908789825,7198.0,2118.3,0.18
147,유신,0.6038712323445535,0.026188768012756346,0.009041044621261304,0.0026552480376845007,0.0023736754671714387,0.0027032876143347224,0.003098458797255137,0.0033839467177663404,0.007179973456684604,0.8368523788655355,0.037763151342854503,0.014493152244952054,0.015128015616807211,0.006359440085241735,0.006382408541231737,6285.0,2622.4,0.14
148,에스지씨이테크건설,0.7991731239981147,0.06126546687891072,0.01659303116305101,0.004740703683071545,0.004156509728467704,0.00484419538329469,0.005739047664251075,0.006336384365021266,0.018373982132217782,0.6527775464771073,0.16729898661867987,0.0372553857833562,0.04758654498646656,0.01453061662856216,0.01414549724632747,6082.0,1300.0,0.27
149,아이에스동서,0.2933295260870824,0.3752244041996972,0.09406892824933122,0.02093136845775749,0.015182926405954077,0.021361423838206776,0.039844673105144515,0.0661545582483201,0.01613657817786293,0.12608133030187454,0.11880816857929835,0.1355013784401136,0.10888124955640605,0.020266469793648854,0.019492010870197748,7256.0,1300.0,0.16
