,average_salary,total_sale,turn_over_rate
393,4793,2074.1,0.87
394,6032,1187.4,0.06
395,4795,418.4,1.08
396,4941,1989.7,0.33
397,5460,649.5,0.24
398,3344,408.1,0.38
399,4146,1824.0,0.16
400,6032,5871.6,0.15
401,6032,2050.5,0.14
402,5458,2.1,0.06
403,4820,4967.1,0.3
404,4066,705.2,0.42
405,6032,3858.5,0.13
406,6098,1601.4,0.18
407,5742,2686.0,0.25
408,4724,540.6,0.34
409,4186,209.3,0.39
410,4367,822.9,0.48
411,4345,2431.1,0.46
412,6032,3098.4,0.23
413,5224,999.9,0.15
414,6032,1682.3,0.15
415,2099,495.7,2.04
416,3575,636.2,0.71
417,5747,5805.7,0.18
418,4768,966.1,0.37
419,6032,1400.0,0.08
420,3512,275.8,0.61
421,4069,262.4,0.52
422,4148,3023.7,0.48
423,5287,8783.5,0.5
424,3993,200.2,0.23
425,3904,671.1,0.38
426,6032,5442.3,0.23
427,5614,650.5,0.19
428,6032,2383.6,0.14
429,1912,5715.4,1.48
430,6032,3413.3,0.09
431,4207,185.1,0.22
432,4816,891.9,0.32
433,2745,7.8,0.2
434,5911,1651.9,0.18
435,5378,9256.8,0.13
436,5386,2994만원,0.25
437,3267,255.3,0.5700000000000001
438,7133,6478.0,0.27
439,4081,386.2,0.34
440,4731,626.2,0.17
441,4047,2700.0,0.45
442,4943,509.1,0.12
443,4119,501.2,0.3
444,4019,50.6,0.21
445,4732,6605.0,0.22
446,3167,41.6,0.8200000000000001
447,6107,5432.0,0.12
448,4325,1779.6,0.23
449,4561,650.4,0.61
450,5932,1565.6,0.17
451,5538,4630.2,0.24
452,3241,74.4,0.3
453,5704,1365.2,0.16
454,4999,7657.9,0.22
455,5422,6138.6,0.26
456,5690,1476.8,0.09
457,4816,451.5,0.44
458,6032,1204.8,0.26
459,5867,312.8,0.24
460,5726,3181.1,0.29
461,4328,1364.5,0.34
462,"8,210만",3500.0,0.1
463,5348,1307.2,0.28
464,3439,757.8,0.35
465,2410,7843만원,0.33
466,6032,2004.5,0.09
467,6032,3271.9,0.06
468,5373,598.0,0.3
469,5384,1122.8,0.2
470,5426,229억,0.12
471,5195,6534.3,0.27
472,3369,110.5,0.81
473,4156,927.6,0.4
474,6032,1204.5,0.18
475,11252,5000.0,0.14
476,4742,931.0,0.21
477,5604,619.0,0.13
478,5932,461.2,0.19
479,6032,2656.8,0.13
480,5206,680.9,0.25
481,5847,1151.9,0.11
482,3616,224.1,0.31
483,2717,40.8,0.67
484,6032,2449.0,0.17
485,5161,2141.6,0.19
486,5057,529.7,0.32
487,6032,726.2,0.11
488,5790,2892.9,0.28
489,6251,4659.9,0.14
490,2826,58.7,0.8
491,3731,5.0,0.11
492,6032,1485.8,0.2
493,6032,2180.4,0.12
494,5481,1400.0,0.18
495,3891,229.8,0.64
496,5645,844.9,0.11
497,4829,999.2,0.51
498,4356,144.7,0.86
499,4259,212.9,0.35
500,6032,4186.5,0.07
501,3147,1074.8,0.35
502,2815,1523.9,1.18
503,3929,966.5,0.74
504,5310,2292.4,0.16
505,4690,526.7,0.35
506,6032,1100.0,0.06
507,1350,1.3,0.33
508,3901,479.3,0.33
509,5906,434.5,0.16
510,4586,272.0,0.52
511,4799,610.1,0.6
512,5481,2573.2,0.14
513,3524,182.6,0.64
514,6265,291.6,0.29
515,5837,217.7,0.11
