,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1579,한국인삼공사,0.16507771661845275,0.5689352310472774,0.01035225972951352,0.09629075303693453,0.025015470795039876,0.024826140003244367,0.008017455096395358,0.010633333132776044,0.029426712710570936,0.5829863875745057,0.2256359210990271,0.0375305812610566,0.013826615416335696,0.005773553489739259,0.005273419779922709,0.005299661886267532,0.006484157610152398,0.006321232266436138,6082,1300.0,0.19
1580,영원아웃도어,0.013418114651699963,0.6406419285363496,0.009857735622315815,0.18815117434923598,0.0278774039380849,0.03492688006566434,0.006436350565585446,0.010359688222970436,0.02153341401329415,0.22202346095364067,0.34459275741774725,0.04155936103520776,0.01395237695982517,0.005849951981099712,0.005268510647563938,0.005319963096799075,0.006695952780018089,0.006414297058834885,6032,5444.8,0.12
1581,윌로펌프,0.009144985373301934,0.1761723041893305,0.3520763465625448,0.12681934253404992,0.07607817671366345,0.06761635118724382,0.039815093262001125,0.05110349408815606,0.01164880436525,0.5621659284386596,0.15338095212296582,0.029340785045628065,0.011426962560355804,0.005058812202328514,0.00467837111225063,0.004728188302774213,0.005571023678045376,0.005392273417701657,6032,2084.0,0.08
1582,디젠,2.68938503660878e-308,7.226120812765452e-307,4.286027407437342e-308,1.0,1.3934112900386918e-307,2.6973646482330404e-307,2.2951072850105165e-308,4.2876457217537897e-308,4.613860847534956e-308,0.5638237676030877,0.08893906692225115,0.02235996525432575,0.009442025369496551,0.004370534228702259,0.004123769476490363,0.004168150200810123,0.004687692252465671,0.004554471891959321,4254,107.4,0.21
1583,원봉,0.28215372981439973,0.4163888120816984,0.008331380195453823,0.07685546096155975,0.01979945121357103,0.020469262507401373,0.0064602299775004994,0.008478013348530445,0.024308400937130107,0.1951930942345541,0.22600671700072425,0.03480514622748397,0.012301837938949877,0.005042116365266435,0.004574084691777142,0.0045857919306167205,0.005734950370636914,0.005567856003845684,4157,1361.0,0.22
1584,창성,0.006267073928168113,0.14265864908381848,0.021405237155596276,0.2318776537154303,0.08696304326626285,0.07015490032176433,0.008880253364021118,0.019792319310805436,0.009312898714349269,1.0,8.196361953566876e-307,1.3766487140424311e-307,5.221273142067908e-308,2.2823645322339966e-308,2.09933751058826e-308,2.120888886174957e-308,2.532697906750032e-308,2.4483463515359563e-308,4323,21.2,0.38
1585,조광아이엘아이,0.169697292039476,0.4817673539819901,0.00889817886690278,0.08437694481413223,0.02133292893093535,0.02233971607019691,0.006903340877671844,0.009128524855501538,0.026384663866127294,0.4482665134933966,0.06364681707215485,0.015635898792706413,0.006535987792574971,0.0030186756617280046,0.0028403294454749373,0.0028733701305507023,0.0032488041324110414,0.0031502894771435743,4274,314.6,0.44
1586,화천기계,0.00854025776073268,0.25438766209907965,0.007964342069869606,0.44556516878351293,0.024549816085025628,0.021827286104174573,0.004845387000131881,0.008205048512367641,0.016358646904471686,0.060275529550854724,0.11648312607808231,0.14906972739796023,0.045077573754491805,0.012624578753342877,0.009795779213862706,0.00972284496576574,0.019057691896449465,0.01752811488837671,7025,1759.1,0.21
1587,미팩토리,0.008725304397788717,0.16462156561052238,0.3393035367207919,0.11118328348977713,0.05997084484400593,0.051300093419403545,0.10170102892583442,0.04785893962774648,0.010604485735458934,1.0,3.557596900729139e-307,8.588541882869176e-308,3.5542112565542076e-308,1.655619923918334e-308,1.5517344465096553e-308,1.5773419584962657e-308,1.7871245576609043e-308,1.7231216379883426e-308,4172,268.5,0.45
1588,비케이브,0.0026399239812601775,0.05286891878066563,0.04189569688592113,0.04177896979760589,0.029765412001019426,0.02822432405411606,0.008527327701785981,0.021375454128586293,0.003454907601182021,0.04305060179499974,0.06601454406640059,0.07381641032587276,0.06476614788457949,0.023355380741965182,0.014220677950539171,0.014073883821559458,0.0676142155810127,0.05502580352662986,3865,1595.2,0.77
