,adv/dadv,lr_mae,lr_rmse,ridge_reg_mae,ridge_reg_rmse,lasso_reg_mae,lasso_reg_rmse,xgb_reg_mae,xgb_reg_rmse,lgbm_reg_mae,lgbm_reg_rmse,gb_reg_mae,gb_reg_rmse,rf_reg_mae,rf_reg_rmse,dt_reg_mae,dt_reg_rmse
10,8_6,0.13814623913467713,0.17245526418082122,0.13814509115803028,0.17245427789262877,0.13815130890675217,0.17247812975720958,0.12570208670256972,0.16852758667007442,0.12227949457394321,0.16579816032843434,0.12519123134762483,0.1690276219090155,0.12109108225108228,0.16401757562880734,0.12280724499793577,0.16577901146224386
11,8_7,0.13787610035109563,0.17216742055110662,0.1378753059016197,0.17216591862340538,0.13815182446549512,0.17245109989354723,0.12809549676907528,0.16992947081266246,0.12157362248310483,0.16363026892610777,0.13382554658961146,0.17768611722240332,0.12602839826839826,0.16818350477871982,0.12598720732470953,0.17408268324141193
12,8_8,0.13738410092382763,0.171933655569418,0.13739056724838702,0.17193415046224156,0.13825019634788294,0.1724796107748915,0.12374090845708723,0.16680808426410523,0.1204675368200529,0.16380702385013413,0.12640099363503624,0.17023516810529243,0.12194744588744588,0.16462447812077277,0.12249776835483778,0.16391602366036476
13,8_9,0.13869240360551852,0.17267063101390187,0.13869061750964373,0.17266739651571775,0.13838614013921613,0.17285614111764086,0.12711885942138118,0.16889359455413658,0.12222473379692736,0.16286331181376684,0.13579654257688964,0.17959023482876152,0.1235754112554113,0.16656299690406132,0.12392687021772719,0.1656321450325475
14,8_10,0.1390446814879319,0.17376936016353006,0.13904235543461882,0.17376498107383379,0.13843535645154906,0.17330897282024388,0.12637202081742224,0.17061857098938432,0.12308092657780118,0.1651605709122831,0.126901084538209,0.1721671736827878,0.12345307359307356,0.16487958011650178,0.12297418755248457,0.1641456851221372
15,9_6,0.13879748015122248,0.1731228775003187,0.13879299814847043,0.17311538604916482,0.13842754994385512,0.17272500860445636,0.12500316429318803,0.16764888730827457,0.12211748733380641,0.164068014375473,0.12572065600112592,0.16772823361470568,0.12087367965367965,0.16161638366328546,0.12708214640870363,0.17058324535108865
16,9_7,0.13771070329952986,0.17231951718025412,0.13770839360325918,0.17231516642663355,0.1380354672303252,0.17238707556704833,0.12316964036587515,0.16459878941024908,0.12250924879558016,0.1618912156090299,0.12565196141265608,0.16803903927620847,0.12406285714285718,0.1634577889406558,0.12242170906361652,0.16527513928422222
17,9_8,0.13896033803514107,0.17378573892378332,0.13896078488045183,0.17378533070007846,0.1384188366250917,0.1727307016268586,0.12492085191336544,0.16747192794990637,0.12108287067182347,0.16393654597787713,0.13121212729561615,0.17283014188347648,0.12503350649350647,0.16330117168469152,0.12497282214480197,0.16669766681595302
18,9_9,0.13846581768153582,0.17254491962635007,0.13846578990521394,0.17254340655498612,0.13833334414955417,0.17276250994302078,0.12448028023108776,0.16816022108831197,0.12255823566246522,0.16463839912692146,0.13142915379819275,0.1785050207418301,0.12207896103896101,0.1644592801349648,0.12404599711873716,0.16999413280555464
19,9_10,0.13842903294906012,0.17259429092838735,0.13842838273618827,0.1725941578272184,0.1379764191209159,0.17300324658718907,0.127249146929551,0.1705355749668392,0.1217168097225662,0.16434931044477405,0.13027514601443524,0.17322288712989614,0.12356138528138527,0.16686099535669974,0.12254758482042655,0.16428534778963322
20,10_6,0.1378602994299669,0.17227304667105595,0.137855920740546,0.1722706826974466,0.1379199873962428,0.17230938605426946,0.12338143525959609,0.16818260162156198,0.1196205882692402,0.16308427829581074,0.12948816767983376,0.17447843653371048,0.12354987012987019,0.16509871401587892,0.12352086464666472,0.1671907345243284
21,10_7,0.13821061376204455,0.17264951625534844,0.13820571664395873,0.17264216622153172,0.13791008058669058,0.1723710096435796,0.12428055015864312,0.16611704149011502,0.12270143301222391,0.16377796262213232,0.12437519098528178,0.1695415825438794,0.12511038961038962,0.16704671935345888,0.12655775644792444,0.1695995096686175
22,10_8,0.1397650161820463,0.17347667404920294,0.13976237073892867,0.1734709865678069,0.13835730758778747,0.17242282193391373,0.12676435767314134,0.16874981885803056,0.1220930575928323,0.1627308531699268,0.13027296208967246,0.17155491113981838,0.12209541125541122,0.1618804989846373,0.12002997390834114,0.16020168427131262
23,10_9,0.13883015543309504,0.17364398700343528,0.13882402048437573,0.17363783727994447,0.13798339866584866,0.17221684204942497,0.12345766427584025,0.16657793381050806,0.12289191392571534,0.16398613848558405,0.12622373995292321,0.16970839004723837,0.12400571428571423,0.16406513316468652,0.12088761266687416,0.16447033414305676
24,10_10,0.14035813440642878,0.17400004728101182,0.14034499020316923,0.17398748582095544,0.13888853890795294,0.1725247237755399,0.1271374935943843,0.17044798564198893,0.12168766467460003,0.16485780082989013,0.13175024785733377,0.1751296191403099,0.12478069264069268,0.16499133326838614,0.12570632892836,0.1707217530056725
