,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
33,현대해상화재보험,0.886699780048159,0.05612724427029481,0.00880303769577515,0.006401105285817891,0.014320205179365393,0.019352565365967234,0.008296062154620431,0.44140768018449855,0.4511937698213821,0.0515421450509611,0.014604086205748644,0.011592129431227956,0.011252465969561762,0.018407723336619834,11280.0,16700.0,0.1
34,케이비손해사정,0.7829928666974613,0.02276023192696145,0.005059455865465799,0.004436575005925081,0.006064426486270014,0.006788460414033283,0.016001268753819003,0.756996843696278,0.08213274692783376,0.03130148907419376,0.010271063852356828,0.008667878417890261,0.008604690131644124,0.011846446617301127,6082.0,1261.9,0.17
35,오케이저축은행,0.9095163746916985,0.027958411419391163,0.005683238043974525,0.0047080226595077245,0.007410068192001402,0.008915321103226877,0.03580856389019967,0.7541914987737037,0.03074739988353357,0.012326351650774846,0.004831378845128029,0.004319426397842698,0.00432629716015638,0.005260649876071114,5817.0,8892.8,0.38
36,대신증권,0.20211237046914488,0.022815844507010654,0.003680595721683363,0.0029047138336857074,0.005487836535823914,0.006761984941423755,0.004148989255956328,0.7512649042147241,0.03837850303203468,0.01588654934981109,0.0061926665837344136,0.005534790760095784,0.005572695153893418,0.006706339912046099,12177.0,2300.0,0.14
37,신한카드,1.0,1.1481083172192418e-307,2.327745389028638e-308,1.9213562258476403e-308,3.1417204928848116e-308,3.749348403687472e-308,7.103313806485326e-308,1.0869964975151273e-306,1.4950461618207646e-306,5.57204323966363e-307,4.032168373827295e-307,1.7931313858055827e-307,1.6098226665553773e-307,1.0,12741.0,3700.0,0.08
38,라이나생명보험,0.25662466545827195,0.0855507695151661,0.014070509301265233,0.00891648307101413,0.033476269248623965,0.26258716082585326,0.006956864445311782,0.6955425155708194,0.052614829738333646,0.024031535593900803,0.00771208436286981,0.006502300915865318,0.00661247990462761,0.008724221782628846,6032.0,2800.0,0.25
39,한국수출입은행,0.33374607714675886,0.030804779372973188,0.005379726974779339,0.004282650785970581,0.007347286120233249,0.008721113890590632,0.008072645664705294,0.9567164877989323,0.017970718441931405,0.007132105348731642,0.002836426168869929,0.0025483537550711616,0.0025470070940608316,0.0030813641149268225,9680.0,7300.0,0.19
40,모아저축은행,0.3642597932044784,0.028064723870670185,0.005155800721905199,0.004004925627664205,0.0077037557881959266,0.00979351380641163,0.0072761150251802655,0.7065639148421757,0.031545758033328104,0.012858065428265585,0.005083056295564352,0.004559884788744706,0.00458809611175425,0.005500938703892105,5163.0,1450.2,0.2
41,메트라이프생명보험,0.26279354876933303,0.11046876964613331,0.01813340801761451,0.012044565734177365,0.05818244539811263,0.07648880227034083,0.007836072709525565,0.6527878951775278,0.06414816159586575,0.02882484303929375,0.008841724086220826,0.007377524310822786,0.0074490030102178665,0.01011147555209418,6032.0,2300.0,0.13
42,한국씨티은행,1.0,6.38144054168143e-308,1.3783983291069154e-308,1.203335007095453e-308,1.64551411252293e-308,1.853480552090072e-308,5.942430234638501e-308,0.7622905212541585,0.07975809160444484,0.0312007098110149,0.010727067739524922,0.009184817614674616,0.009131781002586655,0.012178071736975193,14011.0,3000.0,0.24
