,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
484,박스터,1.0,2.71120368714165e-307,7.55308538149171e-308,1.8541663983305536e-308,2.188946410819391e-308,2.8146072870183653e-308,0.23288343003957848,0.3447616684148802,0.04332702410887505,0.030756614858698794,0.013872998159158862,0.013646706951080551,6032.0,2449.0,0.17
485,세방익스프레스,1.0,1.1693117431969215e-307,4.682881988976745e-308,1.2839744096788603e-308,1.4358409820817e-308,1.7057084890264357e-308,0.792159064745283,0.053789492270952574,0.010962550293423266,0.005802910531919455,0.004938819940434159,0.004954967603002102,5161.0,2141.6,0.19
486,세이브존,0.16561375096485206,0.0826646475852084,0.09386898696268994,0.41487930962571706,0.07186645841285873,0.02869729614186701,0.42876430722461056,0.2664150757946663,0.022270634684012976,0.012453190113098579,0.008573705810749802,0.008641789984701517,5057.0,529.7,0.32
487,한국엔드레스하우저,0.12826446066012312,0.11586411276284506,0.26444358151835223,0.015843769165682094,0.03298229864264637,0.05076032751206615,1.0,2.52386804263337e-307,4.624306744186881e-308,2.5129906047107653e-308,2.040064748379055e-308,2.0396505984092683e-308,6032.0,726.2,0.11
488,혼다코리아,0.4604662837422543,0.03833506459655321,0.012941169274299405,0.0032734283493511132,0.003792861380595079,0.004675997339923528,0.47557953523512,0.1907743259640682,0.018365125962023006,0.009804712672378785,0.007367213576507138,0.0074713210692889205,5790.0,2892.9,0.28
489,케이씨티시,0.9112558825940874,0.04710918913892821,0.016280556199125384,0.004203954033153816,0.004848608700080036,0.005990737719057405,0.3582427150876996,0.3883735136353894,0.019543445680325462,0.01303764097674813,0.007965568003398623,0.007772186902869922,6251.0,4659.9,0.14
490,프리미엄패스인터내셔널,0.5914294503765921,0.06045813388209668,0.01810243780176063,0.004476769381399789,0.005253768022014278,0.006685897515896333,0.8546606927563131,0.05967292414656464,0.011581830228562651,0.006146160550774228,0.005150538027565954,0.005169673333070966,2826.0,58.7,0.8
491,고려해운,0.7433856285487616,0.08902494428108483,0.02548511591975212,0.006243883647841411,0.0073584777136546245,0.009428025338115348,0.6215491569310073,0.04275518511588394,0.00927910883929566,0.004821142974904004,0.004231613315569597,0.004254307329832783,3731.0,5.0,0.11
492,한국스트라이커,0.9791815840223589,0.01168881041900166,0.0046915320146959285,0.001288235280521591,0.0014398698205916863,0.001709968442830343,0.7738648189821091,0.11950046414051126,0.0149039406362667,0.008115310331374278,0.00615759843955803,0.0061975274277743,6032.0,1485.8,0.2
493,한국야스카와전기,0.7931187757772117,0.04269843846803408,0.017992166127394762,0.004969022766067358,0.0055288476024728354,0.006470117819462919,0.8014890701253392,0.06323693236820806,0.012283496619447653,0.0066287504285169226,0.00549383646581695,0.005495949929748365,6032.0,2180.4,0.12
